leg,sym,pass,score,nbpR,segpos,rf,oneop,ops,win,sizing,smaP,slowP,mult,step,tpR,trailR,half,mgmtTF,stack,extop1R,nmonster,addtrig,lineplace,nback,buffer,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,w22,w23,w24,w25,w26,w27,w28,w29,w30,w31,w32,w33,w34,w35,w36,w37,w38,w39,w40,w41,w42,w43,w44,w45,w46,w47,w48,w49,w50,w51,w52,w53,w54,w55,w56,w57,w58,w59,w60,w61,w62,w63,w64,w65,w66,w67,w68,w69,w70,w71,w72,w73,w74,w75,w76,w77,w78,w79,w80,w81,w82,w83,w84,w85,w86,w87,w88,w89,w90,w91,w92,w93,w94,w95,w96,w97,w98,w99,w100,w101,w102,w103,w104,w105,w106,w107,w108,w109,w110,w111,w112,w113,w114,w115,w116,w117,w118,w119,w120,w121,w122,w123,w124,w125,w126,w127,w128,w129
BtcGF,BTCUSDc,41,10.93,21.86,3,0.9914,32.55,423,49.6454,1,15,0,0.015,1.4,1.0,0.0,0.5,16385,1,14.744,2,0,1,15,0.0,2.982,2.979,-1.019,3.361,-0.631,2.985,1.977,-0.029,0.997,-0.013,-1.005,-1.005,-1.004,-1.004,-0.01,1.988,2.002,-0.007,-2.006,-2.018,-0.023,-0.001,0.985,-3.006,2.969,-0.013,0.999,-4.0,-0.583,0.0,0.995,2.096,2.992,-2.004,-4.001,-1.009,-1.014,2.342,-2.0,-3.0,1.04,0.11,0.969,-0.003,1.98,2.986,-2.001,1.0,-3.0,0.0,-1.0,0.0,2.013,1.986,0.995,-1.0,0.0,1.99,0.996,0.991,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.999,-1.0,0.0,0.0,0.998,-0.014,0.846,0.998,-0.013,-2.0,0.0,1.988,-0.004,4.965,-1.011,-0.004,-2.01,3.069,5.593,-1.017,-2.004,0.56,1.994,-2.016,3.116,0.976,3.614,-4.009,-1.991,-0.007,1.975,1.99,3.247,1.973,3.981,-0.017,-3.003,-3.001,-0.008,-5.003,-0.012,-5.005,-4.005,2.49,1.378,-2.003,-0.008,2.982,0.997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BtcGF,BTCUSDc,60,16.7,25.05,4,1.315,47.85,420,50.0,1,15,0,0.015,1.1,1.0,0.0,0.5,16385,1,13.064,1,0,1,20,0.0,2.982,2.979,-2.014,2.778,-1.007,2.985,1.977,-0.029,0.997,-0.013,-1.005,-1.005,-1.004,-1.004,-0.01,1.988,2.002,-0.007,-3.003,-2.018,-0.023,-0.001,0.985,-3.006,2.969,-0.013,0.999,-4.0,-1.007,0.0,0.995,-0.016,-1.003,-2.004,7.986,1.007,-1.014,1.605,-2.0,-3.0,1.623,0.004,0.969,1.998,1.98,2.986,-0.914,1.0,-3.0,0.0,-1.0,0.0,1.018,1.986,0.995,-1.0,0.0,1.99,0.996,0.991,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.999,-1.0,0.0,0.0,0.998,-0.014,0.97,0.998,-0.013,-2.0,0.0,1.988,-0.004,4.965,-1.011,-0.004,-2.01,2.979,3.154,-1.017,0.007,1.334,1.994,-2.016,-1.862,0.976,3.192,-3.009,-1.991,-0.007,1.975,1.99,-0.007,1.973,4.032,-0.017,-3.003,-2.002,-0.008,-5.003,-0.012,-5.005,-0.061,1.984,1.0,-2.003,-0.008,2.982,0.997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BtcGF,BTCUSDc,130,38.5917,46.31,5,1.8544,66.45,380,31.0526,1,15,0,0.015,1.7,2.0,0.0,0.5,16385,1,15.539,5,0,1,15,0.25,5.964,3.952,0.963,-1.0,-1.0,2.16,0.985,-3.0,1.994,1.954,-3.0,-2.007,-0.008,-3.0,0.084,7.984,1.993,-0.008,-0.013,-3.016,-1.022,-1.002,12.861,-2.013,-1.002,-1.009,-0.001,-3.001,1.887,-1.0,-3.0,2.447,1.398,-1.007,-4.0,29.765,-2.0,-2.028,-2.0,-3.0,5.609,-2.0,-2.0,-4.0,3.121,3.977,-1.002,2.998,-3.0,0.0,-1.0,0.0,-0.999,3.971,-1.0,-1.0,0.0,-1.0,1.993,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,1.999,-1.0,0.0,0.0,-1.0,-2.0,-0.008,1.997,-2.0,-2.0,0.992,4.274,0.992,-0.013,-1.983,2.991,5.776,-0.008,0.979,-1.022,-1.8,-2.011,1.996,-4.0,-5.0,2.966,15.548,-3.018,-1.971,1.986,4.953,3.341,-5.0,1.013,4.102,2.323,-2.005,-2.003,1.984,-4.006,-1.033,-6.0,-5.0,-0.891,-3.0,-2.004,-1.015,8.973,2.994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BtcGF,BTCUSDc,31,-2.882,-5.764,3,-0.175,0.0,385,28.8312,1,15,0,0.015,2.0,2.0,0.0,0.5,16385,1,-32.585,3,0,1,10,0.0,5.964,3.952,0.963,-1.0,-1.0,2.665,0.985,-3.0,1.994,1.954,-3.0,-2.007,-0.008,-3.0,-4.0,4.983,1.993,-1.008,-2.006,-3.016,-1.022,-1.002,-2.006,-2.013,0.334,-1.009,-0.001,-3.001,1.479,-1.0,-3.0,1.382,-5.0,-1.007,-4.0,26.816,-2.0,-2.028,-2.0,-3.0,-0.02,-2.0,-2.0,-4.0,2.752,3.977,-1.002,2.998,-3.0,0.0,-1.0,0.0,-2.0,3.971,-1.0,-1.0,0.0,-1.0,1.993,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,1.999,-1.0,0.0,0.0,-1.0,-2.0,-0.008,1.997,-2.0,-2.0,1.337,4.531,0.992,-1.013,5.21,2.991,-3.016,-0.008,-1.002,-1.022,-7.0,-2.011,-0.003,-3.002,-0.553,1.966,4.953,-3.018,-1.971,1.986,4.953,4.725,-5.0,0.983,10.339,-0.908,-0.014,-4.0,1.984,-3.005,-1.033,-6.0,-4.0,-1.07,-3.0,-2.004,-1.015,8.973,2.994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BtcGF,BTCUSDc,47,12.583,25.166,3,0.7617,93.1,402,36.5672,1,15,0,0.015,2.0,1.5,0.0,0.5,16385,1,1.737,6,0,1,15,0.0,4.472,2.97,-0.028,7.772,-1.0,0.994,2.976,-3.0,1.496,0.961,-0.508,-2.505,-0.506,-3.0,-1.522,3.482,0.995,0.989,-1.009,-1.028,1.464,-1.501,-3.505,-2.51,-1.501,-1.507,-0.5,-3.5,-0.345,-1.5,-0.505,2.76,0.196,-1.505,-5.0,3.215,-2.0,-1.024,-2.0,-3.0,3.34,-2.0,-1.0,-3.999,3.981,4.978,-1.501,2.0,-3.0,0.0,-1.0,0.0,3.081,2.978,-1.0,-1.0,0.0,-1.0,1.494,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,1.499,-1.0,0.0,0.0,1.498,-2.0,-0.506,1.498,22.429,-2.0,0.5,3.173,0.494,4.959,0.001,1.494,1.974,9.432,-0.034,-1.516,-1.451,-2.508,0.996,-4.0,-5.0,1.971,9.615,-3.513,-2.481,0.989,3.465,1.132,-2.507,3.979,-0.005,1.634,-2.504,-2.502,0.988,-4.504,-2.527,-6.0,-5.0,8.467,-1.503,-4.0,0.488,4.972,1.995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BtcGF,BTCUSDc,66,19.582,29.373,4,1.2207,71.91,390,38.2051,1,15,0,0.015,1.7,1.5,0.0,0.5,16385,1,8.25,5,0,1,20,0.0,4.472,2.97,-1.52,4.499,-1.0,0.994,2.976,-3.0,1.496,0.961,-0.508,-2.505,-0.506,-3.0,-1.522,3.482,0.995,0.989,-2.504,-1.028,1.464,-1.501,0.416,-2.51,-1.501,1.224,-0.5,-3.5,-1.002,-1.5,-0.505,-0.522,-4.0,0.982,-4.0,23.153,-2.0,-0.024,-2.0,-3.0,4.432,-2.0,-2.0,-1.497,3.766,4.978,-0.345,2.0,-3.0,0.0,-1.0,0.0,1.528,2.978,-1.0,-1.0,0.0,-1.0,1.494,-0.999,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,1.499,-1.0,0.0,0.0,1.498,-2.0,-0.506,1.498,3.012,-2.0,0.5,3.132,0.494,4.959,0.001,1.494,2.879,5.613,6.782,-1.516,-1.873,-2.508,-0.503,-3.0,-4.0,1.971,8.332,-2.513,-2.481,0.989,3.465,-0.033,0.0,3.979,0.09,1.484,-2.504,-1.004,0.988,-4.504,-2.527,-2.0,-5.0,2.983,-1.502,-4.0,0.488,4.972,1.995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BtcGF,BTCUSDc,125,16.4967,24.745,4,1.1298,75.11,405,36.7901,1,15,0,0.015,1.4,1.5,0.0,0.5,16385,1,6.159,8,0,1,15,0.25,4.472,2.97,-0.028,-1.0,-1.0,0.993,2.976,-3.0,1.496,0.961,-0.508,-2.505,-0.506,-3.0,-1.522,3.482,0.995,0.989,-1.009,-1.028,1.464,-1.501,3.585,-2.51,-1.501,-1.507,-0.5,-3.5,-0.345,-1.5,-0.505,2.76,0.196,-1.505,-4.0,18.572,-2.0,-1.024,-2.0,-3.0,3.34,-2.0,-2.0,-4.0,3.981,4.978,-1.501,2.0,-3.0,0.0,-1.0,0.0,3.081,2.978,-1.0,-1.0,0.0,-1.0,1.494,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,1.499,-1.0,0.0,0.0,1.498,-2.0,-0.506,1.498,4.394,-2.0,0.5,3.173,0.494,4.959,-2.492,1.494,1.972,9.432,7.353,-1.516,-1.452,-2.508,0.996,-4.0,-5.0,1.971,8.992,-3.513,-2.481,0.989,3.465,1.132,-2.507,3.979,1.485,1.634,-2.504,-1.004,0.988,-4.504,-2.527,-6.0,-5.0,5.152,-1.503,-4.0,0.488,4.972,1.995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BtcGF,BTCUSDc,29,-2.882,-5.764,3,-0.175,0.0,385,28.8312,1,15,0,0.015,1.4,2.0,0.0,0.5,16385,1,-32.585,3,0,1,10,0.0,5.964,3.952,0.963,-1.0,-1.0,2.665,0.985,-3.0,1.994,1.954,-3.0,-2.007,-0.008,-3.0,-4.0,4.983,1.993,-1.008,-2.006,-3.016,-1.022,-1.002,-2.006,-2.013,0.334,-1.009,-0.001,-3.001,1.479,-1.0,-3.0,1.382,-5.0,-1.007,-4.0,26.816,-2.0,-2.028,-2.0,-3.0,-0.02,-2.0,-2.0,-4.0,2.753,3.977,-1.002,2.998,-3.0,0.0,-1.0,0.0,-2.0,3.971,-1.0,-1.0,0.0,-1.0,1.993,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,1.999,-1.0,0.0,0.0,-1.0,-2.0,-0.008,1.997,-2.0,-2.0,1.337,4.531,0.992,-1.013,5.21,2.991,-3.016,-0.008,-1.002,-1.022,-7.0,-2.011,-0.003,-3.002,-0.553,1.966,4.953,-3.018,-1.971,1.986,4.953,4.725,-5.0,0.983,10.339,-0.908,-0.014,-4.0,1.984,-3.006,-1.033,-6.0,-4.0,-1.07,-3.0,-2.004,-1.015,8.973,2.994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BtcGF,BTCUSDc,87,10.076,20.152,3,0.7484,94.31,407,35.6265,1,15,0,0.015,2.0,1.5,0.0,0.5,16385,1,1.146,8,0,1,5,0.25,4.472,2.97,-0.028,-1.0,-2.0,0.993,2.976,-3.0,1.496,0.961,-0.508,-2.505,-0.506,-3.0,-1.522,3.482,0.995,0.989,-1.009,-1.028,1.464,-1.501,3.585,-2.51,-0.398,-1.507,-0.5,-3.5,2.489,-1.5,-0.505,2.83,-5.0,-1.505,-4.0,18.992,-2.0,-0.024,-2.0,-3.0,1.733,-3.0,-1.0,-4.0,3.876,4.978,-1.501,2.0,-3.0,0.0,-1.0,0.0,-2.0,2.978,-1.0,-1.0,0.0,-1.0,1.494,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,1.499,-1.0,0.0,0.0,1.498,-2.0,-0.505,1.498,4.394,-2.0,0.5,7.827,0.494,4.959,4.068,1.494,1.414,11.359,4.43,-1.516,-1.847,-2.508,0.996,-4.0,-5.0,0.971,2.46,-3.513,-4.501,0.989,3.465,2.452,-2.507,5.948,6.458,-1.018,-2.504,-1.004,0.988,-3.504,-2.527,-6.0,-5.0,1.797,-1.503,-4.0,0.488,4.972,1.995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BtcGF,BTCUSDc,287,6.833,13.666,3,0.4808,25.22,386,38.601,1,15,0,0.015,2.0,1.5,0.0,0.5,16385,1,10.219,0,0,1,15,0.75,4.472,2.97,-1.52,3.122,-1.0,0.994,2.976,-3.0,1.496,0.961,-0.508,-2.505,-0.506,-3.0,0.478,0.982,0.995,0.989,-1.009,-1.028,1.464,-1.501,-0.01,-2.51,-1.501,-1.507,-0.5,-3.5,-0.414,-1.5,-0.505,2.76,-0.403,-1.505,-4.0,4.433,-2.0,-0.024,-2.0,-3.0,0.414,-2.0,-1.0,-2.0,4.732,4.978,-3.0,2.0,-3.0,0.0,0.0,-1.0,2.132,2.978,-1.0,-1.0,0.0,-1.0,1.494,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,1.499,-1.0,0.0,0.0,1.498,-2.0,3.725,1.498,1.388,-2.0,0.5,3.173,0.494,4.959,-2.492,1.494,0.05,6.573,3.42,-1.516,-1.452,-2.508,-0.503,-3.0,-0.027,1.971,5.135,-0.513,-0.4,0.989,3.465,0.767,-2.507,2.485,1.485,1.634,-2.504,-2.502,4.908,-3.503,-2.527,-5.999,0.255,3.039,-2.0,-0.604,0.488,4.972,1.995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
