leg,sym,pass,score,nbpR,segpos,rf,oneop,ops,win,sizing,smaP,slowP,mult,step,tpR,trailR,half,mgmtTF,stack,extop1R,nmonster,addtrig,lineplace,nback,buffer,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,w22,w23,w24,w25,w26,w27,w28,w29,w30,w31,w32,w33,w34,w35,w36,w37,w38,w39,w40,w41,w42,w43,w44,w45,w46,w47,w48,w49,w50,w51,w52,w53,w54,w55,w56,w57,w58,w59,w60,w61,w62,w63,w64,w65,w66,w67,w68,w69,w70,w71,w72,w73,w74,w75,w76,w77,w78,w79,w80,w81,w82,w83,w84,w85,w86,w87,w88,w89,w90,w91,w92,w93,w94,w95,w96,w97,w98,w99,w100,w101,w102,w103,w104,w105,w106,w107,w108,w109,w110,w111,w112,w113,w114,w115,w116,w117,w118,w119,w120,w121,w122,w123,w124,w125,w126,w127,w128,w129
BtcGF,BTCUSDc,33,17.3347,26.002,4,0.7997,63.8,364,31.044,1,13,0,0.01,1.1,2.0,0.0,1.0,16385,1,9.413,4,0,2,0,0.0,5.964,3.952,-1.027,-1.0,-1.0,1.991,-0.015,-3.0,1.994,1.954,-3.0,-2.007,-0.008,-3.0,-3.999,4.983,1.993,-1.008,-2.006,-3.016,-1.022,-1.002,-2.006,-2.013,-1.002,3.857,-0.001,-3.001,0.978,-1.0,-3.0,0.141,-1.015,-1.007,-4.0,10.743,-2.0,-2.028,-2.0,-3.0,-0.05,-2.0,-1.0,-4.0,-0.018,3.977,-0.045,2.998,-3.0,0.0,0.0,-1.0,3.827,3.971,-1.0,-1.0,0.0,-1.0,1.993,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,1.999,-1.0,0.0,0.0,-1.0,-2.0,-0.008,1.997,-2.0,-2.0,1.218,8.159,0.992,-1.013,0.068,2.991,2.551,-0.008,0.605,-1.022,0.177,-2.011,-0.003,-3.0,0.035,2.966,6.912,-2.018,-2.001,1.986,4.953,13.627,-5.0,0.983,0.974,3.179,-2.005,-4.0,2.984,-3.006,13.589,-6.0,-3.0,4.18,-2.0,-3.0,-1.015,8.973,2.994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BtcGF,BTCUSDc,17,29.8253,44.738,4,1.8855,49.6,404,36.8812,1,13,0,0.01,1.1,1.5,0.0,0.5,16385,1,22.547,6,0,2,0,0.0,4.472,2.97,-0.028,4.986,-3.0,0.993,2.976,-3.0,1.496,0.961,-0.508,-2.505,-1.506,-3.0,-1.521,4.752,0.995,0.989,-1.009,-1.028,1.464,-1.501,-3.505,-2.51,-0.453,2.154,-0.5,-3.5,0.066,-1.5,-0.505,2.409,-5.0,-1.505,-4.0,23.177,-2.0,-0.023,-2.0,-3.0,0.208,-3.0,-1.0,-4.0,0.984,4.978,-1.501,2.0,-3.0,0.0,-1.0,0.0,1.485,2.978,-1.0,-1.0,0.0,-1.0,1.494,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,1.499,-1.0,0.0,0.0,1.498,-2.0,5.95,1.498,11.203,-2.0,0.5,4.892,0.494,4.959,2.015,1.494,-0.631,9.598,2.457,-1.516,-1.924,-2.508,-0.503,-3.502,-4.0,1.971,8.469,-3.513,-4.501,0.989,3.465,7.46,-2.507,4.884,0.965,1.978,-2.504,-1.004,0.988,-3.504,5.964,-6.0,-4.0,3.834,-1.503,-4.0,0.488,4.972,1.995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BtcGF,BTCUSDc,20,33.5047,50.257,4,2.1066,39.15,384,39.5833,1,11,0,0.01,1.1,1.5,0.0,1.0,16385,1,30.581,4,0,2,0,0.0,4.472,2.97,-1.52,2.746,-1.0,0.993,2.976,-3.0,1.496,0.961,-0.508,-2.505,-0.506,-3.0,-1.522,4.196,0.995,0.989,-2.504,-1.028,2.989,-1.501,2.835,-2.51,-1.501,2.353,-0.5,-3.5,-1.016,-1.5,-0.505,1.958,-1.511,-1.505,-4.0,7.508,-2.0,-1.024,-2.0,-3.0,-0.534,-2.0,-1.0,-4.0,3.471,4.978,-0.536,2.0,-3.0,0.0,0.0,-1.0,1.485,2.978,-1.0,-1.0,0.0,-1.0,1.494,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,1.499,-1.0,0.0,0.0,1.498,-2.0,-0.506,1.498,1.943,-2.0,0.5,3.33,0.494,4.959,1.791,1.494,-0.237,6.652,2.457,-1.516,1.56,-2.508,-0.503,-3.0,0.934,1.971,3.924,-2.513,-2.501,19.168,3.465,-2.5,-2.507,5.216,2.528,1.916,-2.504,-2.502,6.262,-3.504,5.964,-2.0,-0.014,4.493,-2.0,-1.006,0.488,4.972,1.995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BtcGF,BTCUSDc,185,10.36,20.72,3,1.0877,11.3,420,50.4762,1,13,0,0.01,1.1,1.0,0.0,0.5,16385,1,18.379,0,0,2,0,0.6,2.982,2.979,-1.019,1.898,-0.383,2.985,1.977,-0.029,0.997,-0.013,-1.005,-1.005,-2.004,-1.004,-0.01,1.988,2.015,-0.007,-2.006,-2.018,-0.023,-0.001,1.355,-3.006,2.969,-0.013,0.999,-4.0,-0.318,0.0,0.995,2.039,2.818,-2.004,-1.893,-1.009,-1.014,1.631,-2.0,-3.0,-0.629,-3.0,0.969,-0.003,2.794,2.986,-3.0,1.0,-3.0,0.0,-1.0,0.0,0.99,1.986,0.995,-1.0,0.0,2.634,0.996,0.991,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.999,-1.0,0.0,0.0,0.998,-0.014,1.01,0.998,-0.013,-2.0,0.0,1.988,-0.004,5.15,-1.011,-0.004,-2.01,3.697,0.972,-1.017,0.033,-0.585,1.994,-1.016,-0.036,0.976,2.888,1.332,-1.209,-0.007,1.975,1.99,2.268,1.973,4.389,-0.017,-3.003,-2.002,-0.008,-4.003,-1.012,-5.005,-1.881,2.189,3.238,-2.003,-0.008,2.982,0.997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BtcGF,BTCUSDc,32,70.209,70.209,6,3.8494,50.98,362,31.768,1,11,0,0.01,1.1,2.0,0.0,1.0,16385,1,34.413,9,0,2,0,0.0,5.964,3.952,-1.027,-1.0,-1.0,1.991,-0.015,-3.0,1.994,1.954,-3.0,-2.007,-0.008,-3.0,-1.025,4.983,1.993,-1.008,-2.006,-3.016,2.311,-1.002,9.658,-2.013,-1.002,5.306,-0.001,-3.001,0.978,-1.0,-3.0,1.141,-1.015,-1.007,-4.0,10.743,-2.0,-2.028,-2.0,-3.0,-0.05,-2.0,-1.0,-4.0,1.98,3.977,-0.045,2.998,-3.0,0.0,0.0,-1.0,7.469,3.971,-1.0,-1.0,0.0,-1.0,1.993,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,1.999,-1.0,0.0,0.0,-1.0,-2.0,-0.008,1.997,-2.0,-2.0,1.218,5.775,0.992,-1.013,0.068,2.991,2.551,-0.008,0.605,-1.022,0.177,-2.011,-0.003,-3.0,-0.965,2.966,2.938,-2.018,-2.001,35.786,4.953,-2.001,-5.0,0.983,4.086,3.05,-2.005,-4.0,2.984,-3.006,13.589,-2.0,-4.0,5.53,-2.0,-3.0,-1.015,8.973,2.994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BtcGF,BTCUSDc,98,-4.0773,-12.232,2,-0.366,0.0,368,22.8261,1,15,0,0.01,1.1,2.5,0.0,0.0,16385,1,-25.53,8,0,2,0,0.2,2.304,1.492,2.077,0.0,-3.0,-0.249,0.981,-3.0,2.493,0.495,-3.0,-4.0,-3.0,-3.0,-4.0,-0.512,3.002,-0.51,0.985,-6.0,0.708,-4.0,11.705,-1.516,-3.0,-0.511,0.499,-2.501,3.822,-0.515,-3.0,1.357,3.478,-0.509,-4.0,14.998,-2.0,-1.535,-2.0,-3.0,-3.0,-3.0,-2.0,-5.0,-3.0,5.47,-4.0,1.499,-3.0,0.0,-1.0,0.0,5.999,4.963,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,2.499,-1.0,0.0,0.0,-1.0,-2.999,0.491,2.496,-2.0,-2.0,-2.0,1.485,3.431,-0.516,1.831,1.992,0.978,3.871,3.857,-0.527,0.268,-1.514,0.496,-2.341,-4.0,1.495,12.208,1.261,-3.502,0.495,14.626,-4.0,-5.0,1.998,1.689,5.604,-1.507,-4.0,2.213,-2.507,-4.0,-6.0,-4.0,-4.0,-3.0,-0.728,-4.0,8.975,0.681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BtcGF,BTCUSDc,64,3.6255,7.251,3,0.294,54.59,429,48.2517,1,11,0,0.01,1.1,1.0,0.0,0.5,16385,1,3.293,0,0,2,0,0.2,2.982,2.979,-1.019,1.368,1.061,3.206,1.977,-0.029,0.997,-0.013,-1.005,-1.005,-2.004,-1.004,-0.01,1.988,2.015,-0.007,-2.006,-2.018,-0.023,-0.001,1.355,-2.011,2.969,-0.013,0.999,-4.0,-0.318,0.0,0.995,2.039,-1.003,-2.004,-0.9,0.34,-1.014,-3.002,-2.0,-3.0,-4.0,-3.0,1.156,-0.003,3.089,3.01,-2.001,1.0,-3.0,0.0,-1.0,0.0,0.99,1.986,0.995,-1.0,0.0,4.721,0.996,0.991,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.999,-1.0,0.0,0.0,0.998,-0.014,-1.005,0.998,-0.013,-2.0,0.0,1.988,-0.004,5.15,-1.011,-0.004,-2.01,4.414,0.972,-1.017,0.033,-0.585,1.994,-2.017,-1.724,0.976,3.707,-2.012,-5.001,-0.007,1.975,1.99,3.055,-0.022,4.853,-0.017,-3.003,-3.001,-0.008,-4.003,-1.012,-5.005,-1.181,5.843,1.223,-2.003,-0.008,2.982,0.997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BtcGF,BTCUSDc,124,9.8865,19.773,3,0.9628,16.68,424,49.2925,1,11,0,0.01,1.1,1.0,0.0,0.5,16385,1,16.474,0,0,2,0,0.4,2.982,2.979,-1.019,1.368,1.061,3.206,1.977,-0.029,0.997,-0.013,-1.005,-1.005,-2.004,-1.004,-0.01,1.988,2.015,-0.007,-2.006,-2.018,-0.023,-0.001,1.355,-2.011,2.969,-0.013,0.999,-4.0,-0.318,0.0,0.995,2.039,-1.003,-2.004,-1.246,0.34,-1.014,0.472,-2.0,-3.0,-3.0,-3.0,1.156,-0.003,3.089,3.01,-2.001,1.0,-3.0,0.0,-1.0,0.0,0.99,1.986,0.995,-1.0,0.0,3.162,0.996,0.991,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.999,-1.0,0.0,0.0,0.998,-0.014,-1.005,0.998,-0.013,-2.0,0.0,1.988,-0.004,5.15,-1.011,-0.004,-2.01,4.304,0.972,-1.017,0.033,-0.585,1.994,-1.016,1.575,0.976,3.404,-2.012,-0.525,-0.007,1.975,1.99,3.055,-0.022,4.853,-0.017,-3.003,-3.001,-0.008,-4.003,-1.012,-5.005,-1.459,4.717,4.217,-2.003,-0.008,2.982,0.997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BtcGF,BTCUSDc,187,11.2615,22.523,3,1.3216,10.26,419,50.8353,1,17,0,0.01,1.1,1.0,0.0,0.5,16385,1,20.212,0,0,2,0,0.6,2.982,2.979,-1.019,1.452,-1.014,2.985,1.977,-0.029,0.997,-1.013,0.332,-1.005,-1.004,-1.004,-0.01,1.988,2.015,-0.007,-2.006,-2.018,-0.023,-0.001,1.442,-3.006,2.969,-0.013,0.999,-4.0,-0.318,0.0,0.995,2.039,2.813,-2.004,-2.02,-1.009,-1.014,1.631,-2.0,-3.0,-0.629,-3.0,0.969,-0.003,2.791,2.986,-3.0,1.0,-3.0,0.0,0.0,-1.0,1.737,1.986,0.995,-1.0,0.0,1.99,0.996,0.991,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.999,-1.0,0.0,0.0,0.998,-0.014,0.75,0.998,-0.013,-2.0,0.0,1.988,-0.004,4.965,-1.011,-1.004,-2.01,2.969,0.972,-1.017,0.033,-0.585,1.994,-1.016,0.082,0.976,2.67,0.881,-1.193,-0.007,1.975,1.99,2.744,1.973,4.744,-0.017,-3.003,-3.001,-0.008,-4.003,1.995,-5.005,-1.113,2.698,3.318,-2.003,-0.008,2.982,0.997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BtcGF,BTCUSDc,46,-5.199,-10.398,3,-0.3672,0.0,352,23.5795,1,15,0,0.01,1.1,2.5,0.0,1.0,16385,1,-24.374,7,0,2,0,0.0,1.494,1.492,-0.41,0.0,-1.0,-0.502,0.981,-3.0,2.493,0.495,-3.0,-4.0,-3.0,-3.0,-4.0,-0.512,2.992,-0.51,-1.507,-6.0,0.708,-4.0,11.705,-1.516,-0.502,-0.511,0.499,-2.501,1.972,-0.515,-3.0,1.559,-0.518,-0.509,-4.0,15.47,-2.0,-0.535,-2.0,-3.0,0.441,-2.0,-1.0,-3.999,-4.0,5.47,0.447,1.499,-3.0,0.0,0.0,-1.0,5.343,4.963,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,2.499,-1.0,0.0,0.0,-1.0,-2.0,0.491,2.496,-2.0,-2.0,-2.0,1.485,3.431,-0.516,1.831,1.992,0.978,2.307,1.381,-0.527,1.294,-1.514,0.496,-3.0,-3.0,1.495,5.826,1.261,-1.502,0.495,14.626,-4.0,-5.0,7.834,-1.525,1.095,-1.507,-4.0,2.213,-2.507,-4.0,-6.0,-3.0,2.542,-2.0,-3.0,-4.0,8.975,0.681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
