leg,sym,pass,score,nbpR,segpos,rf,oneop,ops,win,sizing,smaP,slowP,mult,step,tpR,trailR,half,mgmtTF,stack,extop1R,nmonster,addtrig,lineplace,nback,buffer,segpos_ex3,h1R,h2R,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,w22,w23,w24,w25,w26,w27,w28,w29,w30,w31,w32,w33,w34,w35,w36,w37,w38,w39,w40,w41,w42,w43,w44,w45,w46,w47,w48,w49,w50,w51,w52,w53,w54,w55,w56,w57,w58,w59,w60,w61,w62,w63,w64,w65,w66,w67,w68,w69,w70,w71,w72,w73,w74,w75,w76,w77,w78,w79,w80,w81,w82,w83,w84,w85,w86,w87,w88,w89,w90,w91,w92,w93,w94,w95,w96,w97,w98,w99,w100,w101,w102,w103,w104,w105,w106,w107,w108,w109,w110,w111,w112,w113,w114,w115,w116,w117,w118,w119,w120,w121,w122,w123,w124,w125,w126,w127,w128,w129
BtcGF,BTCUSDc,20,17.8073,26.711,4,1.2961,20.67,388,39.1753,1,9,0,0.01,1.1,1.5,0.0,1.0,16385,1,21.19,2,0,2,0,0.0,3,-0.201,26.912,4.472,2.97,-1.52,2.746,-1.0,0.993,2.976,-3.0,1.496,0.961,-0.508,-2.505,-0.506,-3.0,-0.07,4.752,0.995,0.989,-2.504,-1.028,2.989,-1.501,2.835,-2.51,-1.501,2.353,-0.5,-3.5,-1.016,-1.5,-0.505,1.958,-1.511,-1.505,-4.0,7.508,-2.0,1.154,-2.0,-3.0,-0.534,-2.0,-1.0,-4.0,3.471,4.978,-0.536,2.0,-3.0,0.0,0.0,-1.0,1.485,2.978,-1.0,-1.0,0.0,-1.0,1.494,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,1.499,-1.0,0.0,0.0,1.498,-2.0,-0.506,1.498,1.943,-2.0,0.5,3.33,0.494,4.959,1.791,1.494,0.752,6.652,2.457,-1.516,1.56,-2.508,-0.502,-3.0,0.934,1.971,3.924,-2.513,-2.501,0.989,3.465,-2.5,-2.507,5.216,4.018,1.916,-2.504,-2.502,6.262,-3.504,0.664,-6.0,1.247,4.493,-2.0,-5.0,0.488,4.972,1.995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BtcGF,BTCUSDc,50,12.1813,18.272,4,0.9206,44.62,415,42.6506,1,13,0,0.01,1.1,1.25,0.0,0.5,16385,1,10.119,1,0,2,0,0.2,2,-3.641,21.913,3.727,3.723,-0.523,3.669,-3.0,1.735,1.98,-3.0,1.247,0.483,-0.757,-0.507,-1.755,-0.755,-1.757,3.571,2.698,0.491,-1.507,-1.523,0.721,0.499,0.55,-2.758,0.483,0.483,-0.75,-3.75,0.619,-1.75,-0.754,3.473,-2.75,-1.754,4.153,-0.511,-2.0,-0.519,-2.0,-3.0,-0.211,-3.0,1.461,-1.754,0.487,3.982,-1.751,1.5,-3.0,0.0,-1.0,0.0,1.238,2.482,-1.0,-1.0,0.0,0.24,1.245,1.239,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,1.249,-1.0,0.0,0.0,1.248,-2.0,3.233,1.248,0.233,-2.0,0.25,2.484,0.245,6.453,-0.421,0.745,-1.228,7.343,1.715,-0.521,-3.733,-2.757,2.854,-1.521,-4.0,1.474,6.095,-3.761,-4.751,0.491,2.721,5.403,-0.508,3.717,0.182,0.73,-2.753,-1.504,0.49,-3.754,2.969,-3.756,0.626,3.138,3.107,-4.0,0.24,3.978,1.496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BtcGF,BTCUSDc,48,4.5323,13.597,2,0.6043,46.51,418,42.5837,1,9,0,0.01,1.1,1.25,0.0,0.5,16385,1,7.273,1,0,2,0,0.2,2,4.684,8.913,3.727,3.723,-0.523,1.467,-2.0,1.735,1.98,1.953,1.247,0.483,-0.757,-0.507,-1.755,-0.755,-1.757,3.571,2.698,0.491,-1.507,-1.523,0.721,0.499,-0.263,-1.515,0.483,0.483,-0.75,-3.75,0.619,-1.75,-0.754,3.473,2.425,-1.754,0.252,2.496,-2.0,-0.043,-2.0,-3.0,-3.0,-3.0,1.815,-1.754,3.277,4.014,-1.751,1.5,-3.0,0.0,-1.0,0.0,1.238,2.482,-1.0,-1.0,0.0,0.24,1.245,1.239,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,1.249,-1.0,0.0,0.0,1.248,-2.0,-0.506,1.248,0.233,-2.0,0.25,2.484,0.245,6.453,-0.514,0.745,-1.098,7.343,2.964,-0.521,-3.733,-2.757,3.089,-1.521,-5.0,-0.752,6.095,-2.761,-4.751,0.491,2.721,-0.503,-0.508,0.518,0.757,0.73,-2.753,-2.752,0.49,-3.754,1.43,-3.756,-0.295,5.82,3.107,-4.0,0.24,3.978,1.496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BtcGF,BTCUSDc,12,7.4595,14.919,3,0.6083,21.32,399,45.1128,1,9,0,0.01,1.1,1.25,0.0,1.0,16385,1,11.738,0,0,2,0,0.0,3,-3.864,18.783,3.727,3.723,-1.767,1.243,-1.0,1.735,1.98,-3.0,1.247,0.483,-0.757,-0.507,-0.755,-0.755,-1.757,3.571,2.67,0.491,-2.753,-1.523,0.721,0.499,-0.263,-2.758,0.483,0.483,-0.75,-3.75,-0.271,-1.75,-0.754,3.211,0.491,-1.754,-2.753,0.49,-2.0,-0.043,-2.0,-3.0,-0.78,-2.0,1.461,0.481,2.726,3.982,-0.782,1.5,-3.0,0.0,0.0,-1.0,1.238,2.482,-1.0,-1.0,0.0,0.24,1.245,1.239,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,1.249,-1.0,0.0,0.0,1.248,-2.0,0.488,1.248,0.233,-2.0,0.25,2.484,0.245,6.206,-0.514,0.745,-0.638,5.148,1.715,-0.521,-0.498,-2.757,3.089,-0.77,0.439,1.474,2.945,-2.761,-2.751,0.491,2.721,-0.503,-0.508,4.007,2.99,0.73,-2.753,-2.752,4.456,-3.754,1.43,-3.756,-2.805,2.86,2.495,-5.0,0.24,3.978,1.496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BtcGF,BTCUSDc,85,7.81,15.62,3,1.0186,6.4,413,52.0581,1,11,0,0.01,1.1,1.0,0.0,1.0,16385,1,14.62,0,0,2,0,0.4,3,5.373,10.247,2.982,2.979,-2.014,0.995,-0.014,2.976,1.977,-0.029,0.997,-0.013,-1.005,-1.005,-1.004,-1.004,-0.01,1.988,1.996,-0.007,-3.003,-2.018,-0.023,-0.001,0.983,-3.006,2.969,-0.013,0.999,-4.0,-1.016,0.0,0.995,1.965,1.99,-2.004,-3.002,0.989,-1.014,0.976,-2.0,-3.0,-1.025,-0.009,0.969,1.985,1.98,2.986,-1.027,1.0,-3.0,0.0,0.0,-1.0,0.99,1.986,0.995,-1.0,0.0,1.99,0.996,0.991,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.999,-1.0,0.0,0.0,0.998,-0.014,-0.01,0.998,-0.013,-2.0,0.0,1.988,-0.004,4.965,-1.011,-0.004,-2.01,2.969,0.972,-1.017,2.978,-1.009,1.994,-1.016,-2.046,0.976,1.951,-3.009,-2.002,-0.007,1.975,1.99,1.957,1.973,3.973,-0.017,-3.003,-3.001,1.975,-4.003,1.956,-5.005,-3.053,1.973,1.988,-2.003,-0.008,2.982,0.997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BtcGF,BTCUSDc,17,27.1087,40.663,4,1.5259,48.39,402,37.0647,1,11,0,0.01,1.1,1.5,0.0,0.5,16385,1,20.987,6,0,2,0,0.0,2,-2.84,43.503,4.472,2.97,-0.028,2.437,-1.0,1.39,2.976,-3.0,1.496,0.961,-0.508,-2.505,-1.506,-3.0,-1.522,4.196,0.995,0.989,-1.009,-1.028,2.989,-1.501,2.835,-1.018,-0.453,2.353,-0.5,-3.5,0.066,-1.5,-0.505,2.409,-5.0,-1.505,-4.0,8.91,-2.0,-1.024,-2.0,-3.0,-4.0,-3.0,-1.0,-4.0,5.348,5.018,-1.501,2.0,-3.0,0.0,-1.0,0.0,1.485,2.978,-1.0,-1.0,0.0,-1.0,1.494,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,1.499,-1.0,0.0,0.0,1.498,-2.0,-0.008,1.498,1.943,-2.0,0.5,3.33,0.494,4.959,2.015,1.494,-0.631,9.598,2.457,-1.516,-1.924,-2.508,-0.503,-3.502,-4.0,1.971,8.469,-2.513,-4.501,19.168,3.465,-2.5,-2.507,2.723,4.186,1.916,-2.504,-2.502,0.988,-3.504,5.964,-2.0,-5.0,11.045,-1.503,-4.0,0.488,4.972,1.995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BtcGF,BTCUSDc,18,29.8253,44.738,4,1.8855,49.6,404,36.8812,1,13,0,0.01,1.1,1.5,0.0,0.5,16385,1,22.547,6,0,2,0,0.0,3,3.879,40.859,4.472,2.97,-0.028,4.986,-3.0,0.993,2.976,-3.0,1.496,0.961,-0.508,-2.505,-1.506,-3.0,-1.521,4.752,0.995,0.989,-1.009,-1.028,1.464,-1.501,-3.505,-2.51,-0.453,2.154,-0.5,-3.5,0.066,-1.5,-0.505,2.409,-5.0,-1.505,-4.0,23.177,-2.0,-0.023,-2.0,-3.0,0.208,-3.0,-1.0,-4.0,0.984,4.978,-1.501,2.0,-3.0,0.0,-1.0,0.0,1.485,2.978,-1.0,-1.0,0.0,-1.0,1.494,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,1.499,-1.0,0.0,0.0,1.498,-2.0,5.95,1.498,11.203,-2.0,0.5,4.892,0.494,4.959,2.015,1.494,-0.631,9.598,2.457,-1.516,-1.924,-2.508,-0.503,-3.502,-4.0,1.971,8.469,-3.513,-4.501,0.989,3.465,7.46,-2.507,4.884,0.965,1.978,-2.504,-1.004,0.988,-3.504,5.964,-6.0,-4.0,3.834,-1.503,-4.0,0.488,4.972,1.995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BtcGF,BTCUSDc,42,7.0815,14.163,3,0.7435,43.05,428,48.8318,1,13,0,0.01,1.1,1.0,0.0,0.5,16385,1,8.066,1,0,2,0,0.2,3,8.001,6.162,2.982,2.979,-1.019,2.856,1.645,2.985,1.977,-0.029,0.997,-0.013,-1.005,-1.005,-2.004,-1.004,-0.01,1.988,2.015,-0.007,-2.006,-2.018,-0.023,-0.001,1.355,-3.006,2.969,-0.013,0.999,-4.0,-0.318,0.0,0.995,2.039,-1.003,-2.004,2.097,-1.009,-1.014,1.631,-2.0,-3.0,-0.629,-3.0,0.969,-0.003,-0.011,2.986,-2.001,1.0,-3.0,0.0,-1.0,0.0,0.99,1.986,0.995,-1.0,0.0,4.721,0.996,0.991,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.999,-1.0,0.0,0.0,0.998,-0.014,1.87,0.998,-0.013,-2.0,0.0,1.988,-0.004,5.15,-1.011,-0.004,-2.01,4.414,0.972,-1.017,0.033,-0.585,1.994,-2.017,-1.724,0.976,3.707,-4.009,-5.001,-0.007,1.975,1.99,2.268,1.973,4.389,-0.017,-3.003,-2.002,-0.008,-4.003,-1.012,-5.005,-0.433,2.189,1.223,-2.003,-0.008,2.982,0.997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BtcGF,BTCUSDc,52,7.4595,14.919,3,0.6083,21.32,399,45.1128,1,9,0,0.01,1.1,1.25,0.0,1.0,16385,1,11.738,0,0,2,0,0.2,3,-3.864,18.783,3.727,3.723,-1.767,1.243,-1.0,1.735,1.98,-3.0,1.247,0.483,-0.757,-0.507,-0.755,-0.755,-1.757,3.571,2.67,0.491,-2.753,-1.523,0.721,0.499,-0.263,-2.758,0.483,0.483,-0.75,-3.75,-0.271,-1.75,-0.754,3.211,0.491,-1.754,-2.753,0.49,-2.0,-0.043,-2.0,-3.0,-0.78,-2.0,1.461,0.481,2.726,3.982,-0.782,1.5,-3.0,0.0,0.0,-1.0,1.238,2.482,-1.0,-1.0,0.0,0.24,1.245,1.239,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,1.249,-1.0,0.0,0.0,1.248,-2.0,0.488,1.248,0.233,-2.0,0.25,2.484,0.245,6.206,-0.514,0.745,-0.638,5.148,1.715,-0.521,-0.498,-2.757,3.089,-0.77,0.439,1.474,2.945,-2.761,-2.751,0.491,2.721,-0.503,-0.508,4.007,2.99,0.73,-2.753,-2.752,4.456,-3.754,1.43,-3.756,-2.805,2.86,2.495,-5.0,0.24,3.978,1.496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BtcGF,BTCUSDc,45,7.81,15.62,3,1.0186,6.4,413,52.0581,1,11,0,0.01,1.1,1.0,0.0,1.0,16385,1,14.62,0,0,2,0,0.2,3,5.373,10.247,2.982,2.979,-2.014,0.995,-0.014,2.976,1.977,-0.029,0.997,-0.013,-1.005,-1.005,-1.004,-1.004,-0.01,1.988,1.996,-0.007,-3.003,-2.018,-0.023,-0.001,0.983,-3.006,2.969,-0.013,0.999,-4.0,-1.016,0.0,0.995,1.965,1.99,-2.004,-3.002,0.989,-1.014,0.976,-2.0,-3.0,-1.025,-0.009,0.969,1.985,1.98,2.986,-1.027,1.0,-3.0,0.0,0.0,-1.0,0.99,1.986,0.995,-1.0,0.0,1.99,0.996,0.991,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.999,-1.0,0.0,0.0,0.998,-0.014,-0.01,0.998,-0.013,-2.0,0.0,1.988,-0.004,4.965,-1.011,-0.004,-2.01,2.969,0.972,-1.017,2.978,-1.009,1.994,-1.016,-2.046,0.976,1.951,-3.009,-2.002,-0.007,1.975,1.99,1.957,1.973,3.973,-0.017,-3.003,-3.001,1.975,-4.003,1.956,-5.005,-3.053,1.973,1.988,-2.003,-0.008,2.982,0.997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
