leg,sym,pass,score,nbpR,segpos,rf,oneop,ops,win,sizing,smaP,slowP,mult,step,tpR,trailR,half,mgmtTF,stack,extop1R,nmonster,addtrig,lineplace,nback,buffer,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,w22,w23,w24,w25,w26,w27,w28,w29,w30,w31,w32,w33,w34,w35,w36,w37,w38,w39,w40,w41,w42,w43,w44,w45,w46,w47,w48,w49,w50,w51,w52,w53,w54,w55,w56,w57,w58,w59,w60,w61,w62,w63,w64,w65,w66,w67,w68,w69,w70,w71,w72,w73,w74,w75,w76,w77,w78,w79,w80,w81,w82,w83,w84,w85,w86,w87,w88,w89,w90,w91,w92,w93,w94,w95,w96,w97,w98,w99,w100,w101,w102,w103,w104,w105,w106,w107,w108,w109,w110,w111,w112,w113,w114,w115,w116,w117,w118,w119,w120,w121,w122,w123,w124,w125,w126,w127,w128,w129
BtcGF,BTCUSDc,121,-2.2765,-4.553,3,-0.1624,0.0,430,45.1163,1,15,210,0.015,1.1,1.0,0.0,0.5,16385,1,-7.594,0,1,0,0,0.5,2.801,4.103,-1.945,0.0,-0.999,2.191,1.092,-2.005,0.997,0.316,-2.0,-2.968,-2.003,-1.004,-0.008,2.0,0.273,0.228,-3.003,-1.399,-0.017,-0.001,1.635,-1.948,1.628,0.159,2.559,-4.0,-5.005,0.888,0.995,1.58,-0.993,-2.004,-1.072,1.44,-1.014,-0.999,-2.0,-3.0,-4.0,0.011,2.295,3.631,3.205,3.936,-1.003,1.0,-3.0,0.0,-1.0,0.0,1.048,1.993,1.003,-1.0,0.0,2.597,1.031,2.365,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.999,-1.0,0.0,0.0,0.999,0.003,0.395,0.998,-0.013,-2.0,0.003,1.991,-0.004,5.981,0.027,-0.995,-1.006,4.197,0.021,1.036,1.086,-0.06,1.994,-2.998,-5.0,-3.0,-2.016,-2.008,-1.165,0.983,1.981,3.14,-0.007,1.034,6.171,-0.002,-3.003,-1.988,-0.008,-4.998,1.97,-3.949,-2.044,-1.929,0.016,-2.003,0.014,2.997,0.997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BtcGF,BTCUSDc,120,-0.433,-1.299,2,-0.0437,0.0,430,45.3488,1,15,150,0.015,1.1,1.0,0.0,0.5,16385,1,-4.34,0,1,0,0,0.5,2.861,4.103,-0.945,1.358,-0.999,4.295,1.818,-2.005,0.997,0.14,-2.0,-2.968,-2.003,-1.004,-0.008,2.0,1.13,0.228,-3.003,-1.399,-0.017,-0.001,1.635,-1.948,-0.378,0.108,2.041,-4.0,-5.005,0.888,0.995,1.556,-0.938,-2.004,-1.072,1.44,-1.014,-0.999,-2.0,-3.0,-4.0,0.011,2.295,3.141,2.017,3.936,-1.003,1.0,-3.0,0.0,-1.0,0.0,1.048,1.993,1.003,-1.0,0.0,2.749,1.031,2.365,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.999,-1.0,0.0,0.0,0.999,0.003,0.378,0.998,-0.013,-2.0,0.238,1.991,-0.004,7.072,0.027,-0.995,-1.006,4.197,-0.017,1.036,1.108,-0.06,1.994,-2.998,-5.0,-0.796,-1.997,-2.008,-1.846,0.983,1.981,3.14,-1.007,-0.015,6.498,-0.002,-3.003,-1.988,-0.008,-4.998,1.986,-3.949,-2.044,-1.723,0.046,-2.003,0.014,3.027,0.997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BtcGF,BTCUSDc,70,-4.6727,-14.018,2,-0.3867,0.0,433,42.2633,1,15,210,0.015,2.0,1.0,0.0,0.5,16385,1,-19.993,3,1,0,0,0.25,2.709,5.888,-5.0,0.0,-0.992,-0.993,1.092,-2.005,0.997,2.916,-2.0,-2.942,0.464,-1.004,-0.008,2.006,0.286,0.55,-3.003,-4.01,-0.015,-0.001,-0.992,-4.005,2.516,0.159,4.967,-4.0,-5.005,-2.0,0.995,4.999,-0.993,-2.004,-3.287,-1.962,-1.014,-0.994,-2.0,-3.0,-4.0,0.033,4.725,6.765,3.367,0.996,-1.003,1.0,-3.0,0.0,-1.0,0.0,1.063,1.998,1.003,-1.0,0.0,2.597,1.121,5.218,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.999,-1.0,0.0,0.0,0.999,0.003,-1.004,0.998,-0.013,-2.0,0.003,1.992,-0.004,2.977,-2.997,-0.992,-4.008,0.976,0.021,-3.005,2.782,1.531,1.994,-2.998,-5.0,-3.0,-1.963,-2.008,-0.698,1.436,1.981,4.392,-0.007,1.907,9.536,0.009,-3.003,-1.987,-0.007,-4.998,1.97,-3.655,-2.044,-1.439,0.032,-2.003,0.081,3.001,0.997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BtcGF,BTCUSDc,80,-7.1057,-21.317,2,-0.3999,0.0,407,30.7125,1,15,270,0.015,1.7,1.5,0.0,0.5,16385,1,-34.894,8,1,0,0,0.25,7.502,15.175,-5.0,0.0,0.0,-4.0,6.967,-2.999,1.496,-2.473,-2.0,-5.0,-0.504,-0.605,-1.511,4.059,1.075,4.695,-3.497,-0.443,1.657,-0.092,-0.859,-3.488,1.719,2.192,-3.0,-3.5,-6.0,-1.5,-0.505,-5.37,-0.109,1.116,-5.0,-3.442,-2.0,-0.902,-2.0,-3.0,-4.0,-2.0,-0.999,-1.0,6.593,2.497,-0.474,2.0,-3.0,0.0,-1.0,0.0,1.628,3.085,-1.0,-1.0,0.0,-1.0,1.72,-0.999,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,1.499,-1.0,0.0,0.0,1.505,-2.0,0.01,1.498,-2.0,-2.0,0.508,3.044,3.008,8.281,-2.384,2.589,-1.473,5.37,1.565,-2.503,-3.465,-2.508,0.996,-2.009,-5.0,0.17,6.682,-2.491,-4.479,1.367,3.516,-3.5,-1.507,8.022,0.436,1.641,-2.504,-0.906,-1.504,-4.495,-2.508,-7.0,-1.479,2.736,-1.0,-1.605,0.609,5.051,1.995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BtcGF,BTCUSDc,137,15.966,31.932,3,1.3028,23.4,398,34.6734,1,15,270,0.015,1.4,1.5,0.0,0.5,16385,1,24.461,8,1,0,0,0.5,5.779,6.73,1.101,0.0,0.0,0.563,4.542,-0.357,1.496,4.221,-2.0,-1.2,-1.503,-3.0,-1.511,3.939,1.061,2.553,-3.497,-0.449,1.578,-0.092,-0.929,0.829,1.719,1.768,1.319,-3.5,-6.0,-1.5,-0.505,2.015,-0.178,1.097,-4.0,5.01,-2.0,-0.951,-2.0,-3.0,-4.0,-2.0,-0.999,0.0,5.837,6.862,-0.48,2.0,-3.0,0.0,-1.0,0.0,1.606,3.085,-1.0,-1.0,0.0,-1.0,1.615,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,1.499,-1.0,0.0,0.0,1.505,-2.0,-0.506,1.498,-2.0,-2.0,0.508,3.03,1.917,14.218,-2.434,1.421,-2.621,9.967,1.565,-2.502,-3.47,-2.508,0.996,-2.009,-5.0,0.17,4.251,-2.496,0.584,1.356,3.507,2.918,-1.507,5.164,0.418,1.578,-2.504,-0.929,2.431,-4.495,-2.514,-6.0,-1.479,4.32,-1.0,-2.195,0.576,5.035,1.995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BtcGF,BTCUSDc,185,4.9865,9.973,3,0.4413,20.82,423,47.9905,1,15,270,0.015,1.4,1.0,0.0,0.5,16385,1,7.897,0,1,0,0,0.75,2.882,3.523,-2.497,0.0,-0.999,1.541,3.055,0.506,0.997,-0.365,0.739,-0.257,-2.003,-1.004,-0.008,2.061,0.026,0.12,-2.006,-1.847,-0.017,-0.001,1.337,-2.488,1.576,0.223,1.756,-4.0,-2.742,0.457,0.995,0.718,2.194,-2.004,-2.13,-0.302,-1.014,-0.996,-2.0,-2.999,-4.0,0.016,1.63,2.738,2.714,3.453,-1.003,1.0,-3.0,0.0,-1.0,0.0,1.048,1.995,1.003,-1.0,0.0,2.582,1.051,1.657,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.999,-1.0,0.0,0.0,0.999,0.003,0.652,0.998,-0.013,-2.0,0.003,1.992,-0.004,5.48,-0.625,-0.995,-1.655,3.575,2.323,-0.115,0.517,-0.528,1.994,-0.997,-0.664,-0.693,0.368,-2.008,-1.198,0.133,1.981,2.562,-0.007,0.689,5.213,-0.0,-3.003,-1.988,-0.008,-4.998,1.97,-4.909,-3.051,4.029,0.016,-2.003,0.034,2.997,0.997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BtcGF,BTCUSDc,82,-11.8725,-23.745,3,-0.3836,0.0,404,29.4554,1,15,210,0.015,2.0,1.5,0.0,0.5,16385,1,-37.322,10,1,0,0,0.25,6.44,15.237,-5.0,0.0,0.0,-4.0,4.516,-3.0,1.496,9.408,-2.0,-5.0,-1.504,-3.0,-1.508,4.018,1.521,4.695,-2.497,-3.51,1.801,-1.421,-0.721,-3.488,-1.488,2.07,-3.0,-3.5,-6.0,-1.5,-0.505,-2.626,-5.0,-1.505,-5.0,-3.418,-2.0,-0.821,-2.0,-3.0,-4.0,-2.0,-0.999,-1.0,7.492,2.497,-0.46,2.0,-3.0,0.0,-1.0,0.0,1.651,3.768,-1.0,-1.0,0.0,-1.0,1.829,-0.999,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,1.499,-1.0,0.0,0.0,1.505,-2.0,0.012,1.498,-2.0,-2.0,0.508,3.066,0.833,7.615,-2.319,2.603,-1.473,5.377,2.321,-2.503,-3.458,-2.508,0.996,-3.502,-5.0,-3.0,3.348,-2.488,1.282,4.133,3.524,5.189,-1.507,5.386,0.197,1.993,-2.504,-0.886,-1.504,-4.495,-2.508,-7.0,-1.506,2.803,-1.0,-5.0,0.677,5.087,1.995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BtcGF,BTCUSDc,74,-2.366,-7.098,2,-0.1525,0.0,399,32.0802,1,15,270,0.015,1.1,1.5,0.0,0.5,16385,1,-20.675,8,1,0,0,0.25,7.495,15.112,-5.0,0.0,0.0,-3.999,6.962,-0.428,1.496,-2.486,-2.0,-1.414,-0.504,-0.606,-1.513,3.866,1.047,4.691,-3.497,-0.451,1.531,-0.094,-0.947,-3.493,1.719,2.192,-3.0,-3.5,-6.0,-1.5,-0.505,-5.458,-0.179,1.084,-5.0,-3.464,-2.0,-0.971,-2.0,-3.0,-4.0,-2.0,-0.999,0.0,6.209,2.497,-0.48,2.0,-3.0,0.0,-1.0,0.0,1.606,3.078,-1.0,-1.0,0.0,-1.0,1.559,-0.999,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,1.499,-1.0,0.0,0.0,1.505,-2.0,3.265,1.498,-2.0,-2.0,0.508,3.014,3.008,8.281,-2.454,2.566,-1.473,5.364,1.565,-2.503,-3.478,-2.508,0.996,-2.009,-5.0,0.167,6.533,-2.496,-4.484,1.356,3.507,-3.5,-1.507,8.017,0.415,1.547,-2.504,-0.944,-1.504,-4.495,-2.514,-2.0,-2.479,5.316,-1.0,-2.378,0.533,5.02,1.995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BtcGF,BTCUSDc,61,-4.773,-14.319,2,-0.3938,0.0,432,42.3611,1,15,210,0.015,1.1,1.0,0.0,0.5,16385,1,-20.294,3,1,0,0,0.25,2.709,5.879,-5.0,0.0,-0.999,-0.997,1.092,-2.005,0.997,2.912,-2.0,-2.968,0.461,-1.004,-0.008,2.0,0.273,0.55,-3.003,-4.01,-0.017,-0.001,-0.997,-4.005,2.516,0.159,4.967,-4.0,-5.005,-2.0,0.995,4.999,-0.993,-2.004,-3.287,-1.98,-1.014,-0.999,-2.0,-3.0,-4.0,0.011,4.725,6.749,3.35,0.996,-1.003,1.0,-3.0,0.0,-1.0,0.0,1.048,1.993,1.003,-1.0,0.0,2.597,1.031,5.218,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.999,-1.0,0.0,0.0,0.999,0.003,0.395,0.998,-0.013,-2.0,0.003,1.991,-0.004,2.977,-2.997,-0.995,-4.008,0.976,0.021,-3.005,2.777,1.531,1.994,-2.998,-5.0,-3.0,-2.015,-2.008,-1.165,1.436,1.981,4.392,-0.007,1.907,9.513,-0.002,-3.003,-1.988,-0.007,-4.998,1.97,-3.949,-2.044,-1.928,0.016,-2.003,0.014,2.997,0.997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BtcGF,BTCUSDc,189,3.6615,7.323,3,0.2899,28.44,423,47.5177,1,15,150,0.015,2.0,1.0,0.0,0.5,16385,1,5.24,0,1,0,0,0.75,2.882,3.532,-2.495,0.0,-0.992,3.649,3.062,0.506,0.997,-0.363,0.739,-0.233,-2.004,-1.004,-0.008,2.006,0.537,0.12,-3.003,-1.688,-0.015,-0.001,1.339,-2.488,1.805,0.108,1.478,-4.0,-2.742,0.457,0.995,0.633,0.062,-2.004,-2.087,-0.287,-1.014,-0.994,-2.0,-3.0,-4.0,0.033,1.63,2.96,2.034,3.453,-1.003,1.0,-3.0,0.0,-1.0,0.0,1.063,1.998,1.003,-1.0,0.0,2.393,1.121,1.657,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.999,-1.0,0.0,0.0,0.999,0.003,-1.005,0.998,-0.013,-2.0,0.238,1.992,-0.004,5.959,-0.625,-0.992,-1.655,3.575,2.323,-0.115,0.539,-0.528,1.994,-0.997,-0.594,-0.793,0.491,-2.008,-1.379,0.485,1.981,2.562,-1.007,-0.472,5.408,0.009,-3.003,-1.987,-0.007,-4.998,1.986,-4.659,-3.051,4.679,0.062,-2.003,0.081,3.031,0.997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
