leg,sym,pass,score,nbpR,segpos,rf,oneop,ops,win,sizing,smaP,slowP,mult,step,tpR,trailR,half,mgmtTF,stack,extop1R,nmonster,addtrig,lineplace,nback,buffer,segpos_ex3,h1R,h2R,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,w22,w23,w24,w25,w26,w27,w28,w29,w30,w31,w32,w33,w34,w35,w36,w37,w38,w39,w40,w41,w42,w43,w44,w45,w46,w47,w48,w49,w50,w51,w52,w53,w54,w55,w56,w57,w58,w59,w60,w61,w62,w63,w64,w65,w66,w67,w68,w69,w70,w71,w72,w73,w74,w75,w76,w77,w78,w79,w80,w81,w82,w83,w84,w85,w86,w87,w88,w89,w90,w91,w92,w93,w94,w95,w96,w97,w98,w99,w100,w101,w102,w103,w104,w105,w106,w107,w108,w109,w110,w111,w112,w113,w114,w115,w116,w117,w118,w119,w120,w121,w122,w123,w124,w125,w126,w127,w128,w129
BtcGF,BTCUSDc,94,-3.5605,-7.121,3,-0.2636,0.0,433,44.3418,1,15,240,0.015,1.8,1.0,0.0,0.5,16385,1,-11.022,0,1,0,0,0.4,2,6.955,-14.076,2.741,4.56,-1.528,0.0,-0.995,2.698,1.2,-2.005,0.997,0.885,-2.0,-2.954,0.2,-1.004,-0.008,2.006,0.032,0.308,-3.003,-1.479,-0.017,-0.001,-0.992,-0.545,1.85,0.14,3.159,-4.0,-5.005,1.212,0.995,2.367,3.109,-2.004,-0.099,-1.969,-1.014,-0.996,-2.0,-3.0,-4.0,0.02,2.841,4.175,3.017,4.299,-1.003,1.0,-3.0,0.0,-1.0,0.0,1.055,1.998,1.003,-1.0,0.0,2.629,1.105,2.975,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.999,-1.0,0.0,0.0,0.999,0.003,-1.004,0.998,-0.013,-2.0,0.003,1.992,-0.004,6.386,0.517,-0.992,-4.008,0.975,-0.004,-3.005,1.507,0.31,1.994,-2.002,-5.0,-3.0,-1.981,-2.008,-4.997,0.525,1.981,3.615,-0.007,1.455,7.09,0.004,-3.003,-1.988,-0.007,-4.998,1.97,-3.772,-2.044,-1.643,0.024,-2.003,0.062,3.001,0.997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BtcGF,BTCUSDc,50,-5.2617,-15.785,2,-0.4806,0.0,435,42.2989,1,15,300,0.015,1.8,1.0,0.0,0.5,16385,1,-23.818,3,1,0,0,0.2,1,-6.896,-8.889,2.55,6.766,-5.0,0.0,-0.995,-0.993,1.472,-2.005,0.997,4.554,-2.0,-2.954,-0.02,-1.004,-0.008,2.135,0.032,0.711,-2.006,-1.922,-0.017,-0.001,-0.992,-1.373,-0.598,0.293,6.171,-4.0,-5.005,-2.0,0.995,5.036,2.307,-2.004,-3.497,-1.97,-1.014,-0.996,-2.0,-3.0,-4.0,0.02,-0.993,8.701,-0.005,0.996,-1.003,1.0,-3.0,0.0,-1.0,0.0,1.055,1.998,1.003,-1.0,0.0,2.582,1.105,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.999,-1.0,0.0,0.0,0.999,0.003,-1.004,0.998,-0.013,-2.0,0.003,1.992,-0.004,2.977,-2.997,-0.992,-4.008,0.975,-0.017,-3.005,3.626,2.433,1.994,-2.002,-5.0,-0.767,0.211,-2.008,-4.996,0.0,1.981,2.278,-0.007,3.493,11.369,0.004,-3.003,-1.988,-0.008,-4.998,1.97,-3.772,-2.044,-1.642,0.024,-2.003,0.062,3.001,0.997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BtcGF,BTCUSDc,77,-10.2075,-20.415,3,-0.3122,0.0,398,26.6332,1,15,300,0.015,1.8,1.75,0.0,0.5,16385,1,-45.334,9,1,0,0,0.2,1,-26.17,5.755,2.514,27.062,-5.0,0.0,0.0,-4.0,0.863,-3.0,1.745,-2.216,-2.0,-5.0,-0.245,-4.0,-1.216,6.308,1.601,-1.233,0.774,-2.74,2.341,-4.0,1.031,1.112,-4.0,5.981,-2.999,-3.251,-6.0,-1.223,-3.0,-5.057,-0.893,-1.256,-5.0,0.678,-2.0,-1.612,-2.0,-3.0,-4.0,-2.0,-0.999,-1.0,2.67,3.247,-0.113,2.498,-3.0,0.0,-1.0,0.0,2.062,3.55,-1.0,-1.0,0.0,-0.999,2.096,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,1.749,-1.0,0.0,0.0,-1.0,-2.0,0.528,1.747,-2.0,-2.0,0.791,3.608,7.264,-5.0,-2.036,9.885,1.895,-1.456,2.269,-2.253,-3.172,-2.259,1.496,-1.51,-5.0,0.405,7.148,-2.222,-4.22,1.623,4.326,-2.25,-5.0,-0.319,1.416,1.807,2.95,0.628,-1.256,-4.23,-1.25,-7.0,-3.0,8.382,-1.0,-5.0,0.924,6.197,5.899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BtcGF,BTCUSDc,57,-0.05,-0.15,2,-0.0043,0.0,418,35.6459,1,15,180,0.015,1.8,1.25,0.0,0.5,16385,1,-14.711,7,1,0,0,0.2,2,6.234,-6.384,4.365,15.764,-5.0,0.0,0.0,-2.734,2.002,-0.67,1.247,5.159,-2.0,-2.67,-1.755,-0.755,-1.753,2.986,4.967,3.235,-2.749,-3.76,0.773,0.502,-2.475,-3.757,-1.721,0.668,-0.262,-3.75,-4.757,-1.75,-0.754,14.422,-2.64,-1.754,-3.458,-1.446,-2.0,-1.446,-2.0,-3.0,-4.0,-2.0,-0.724,14.764,4.086,1.746,-0.748,1.5,-3.0,0.0,-1.0,0.0,1.343,0.263,-1.0,-1.0,0.0,0.295,1.435,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,1.249,-1.0,0.0,0.0,1.252,-2.0,-0.503,1.248,1.743,-2.0,0.256,2.506,0.29,4.677,-2.723,-0.216,-3.76,9.096,1.189,-2.754,-3.733,-2.757,0.497,-2.482,-5.0,-3.0,-1.406,-2.753,-1.47,3.495,2.737,7.062,0.492,3.073,-0.3,1.187,-2.753,-1.428,0.49,-4.747,-0.516,-1.903,-1.541,0.99,-0.755,-2.269,0.348,4.012,1.496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BtcGF,BTCUSDc,45,-5.4537,-16.361,2,-0.4818,0.0,432,41.8981,1,15,180,0.015,1.5,1.0,0.0,0.5,16385,1,-24.394,2,1,0,0,0.2,1,-6.485,-9.876,2.773,6.762,-5.0,0.0,-0.999,-0.997,1.275,-2.005,0.997,2.625,-2.0,-2.966,0.846,-1.004,-0.008,2.006,3.278,0.711,-3.003,-4.01,-0.017,-0.001,-0.994,-4.005,2.974,0.108,4.786,-4.0,-5.005,-2.0,0.995,7.033,-0.94,-2.004,-3.791,-1.973,-1.014,-0.996,-2.0,-2.999,-4.0,0.016,-0.993,8.955,2.374,0.996,-1.003,1.0,-3.0,0.0,-1.0,0.0,1.048,1.995,1.003,-1.0,0.0,2.627,1.059,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.999,-1.0,0.0,0.0,0.999,0.003,0.559,0.998,-0.013,-2.0,0.003,1.992,-0.004,2.994,-2.997,-0.992,-4.008,0.975,0.015,-3.005,3.626,2.433,1.994,-2.998,-4.999,-3.0,-2.006,-2.008,-1.498,1.941,1.981,5.188,-0.007,1.541,9.149,0.003,-3.003,-1.988,-0.008,-4.998,1.97,-3.876,-2.044,-1.832,0.016,-2.003,0.038,2.997,0.997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BtcGF,BTCUSDc,102,-1.5995,-3.199,3,-0.0879,0.0,417,37.4101,1,15,180,0.015,1.8,1.25,0.0,0.5,16385,1,-9.952,4,1,0,0,0.4,2,8.304,-11.503,4.365,7.612,-5.0,0.0,0.0,1.831,2.002,-0.67,1.247,2.581,-2.0,-2.67,-1.755,-0.755,-1.753,2.986,2.674,1.695,-2.749,-3.76,0.773,0.502,-2.475,0.593,-1.721,0.668,-0.263,-3.75,-4.757,-1.75,-0.754,5.152,-2.64,-1.754,2.753,-1.445,-2.0,-1.446,-2.0,-3.0,-4.0,-2.0,4.498,6.218,4.086,5.94,-0.748,1.5,-3.0,0.0,-1.0,0.0,1.343,3.691,-1.0,-1.0,0.0,0.295,1.435,5.479,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,1.249,-1.0,0.0,0.0,1.252,-2.0,-0.503,1.248,0.908,-2.0,0.256,2.506,0.29,9.45,-2.723,-0.216,-3.76,4.832,1.189,-2.754,-3.733,-2.757,0.497,-2.482,-5.0,-3.0,-1.406,-2.753,-1.47,2.711,2.737,4.4,0.492,3.041,-0.3,1.187,-2.753,-1.428,0.491,-4.747,-0.516,-1.903,-1.541,-0.326,-0.755,-2.269,0.348,4.012,1.496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BtcGF,BTCUSDc,104,6.265,12.53,3,0.4036,53.89,420,38.5714,1,15,300,0.015,1.8,1.25,0.0,0.5,16385,1,5.777,5,1,0,0,0.4,3,16.894,-4.364,4.464,7.612,-5.0,0.0,0.0,1.831,3.237,-0.67,1.247,2.581,-2.0,-2.67,-0.755,0.755,-1.753,3.269,0.553,1.695,-0.964,-1.327,0.773,1.936,-2.475,-0.597,-4.0,0.946,-3.0,-3.75,-4.757,-1.75,-0.754,6.409,1.057,-1.754,2.753,-1.445,-2.0,-1.446,-2.0,-2.999,-4.0,-2.0,4.498,6.218,5.905,5.94,-0.748,1.5,-3.0,0.0,-1.0,0.0,1.343,2.509,-1.0,-1.0,0.0,3.563,1.435,5.479,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,1.249,-1.0,0.0,0.0,1.252,-2.0,-0.502,1.248,0.908,-2.0,0.256,2.506,1.132,12.376,-2.723,-0.216,-3.76,4.832,0.74,-2.754,-3.733,-2.757,0.497,-1.237,-5.0,-0.377,1.198,-2.753,-4.737,0.525,2.737,5.5,-0.508,3.971,-0.153,0.829,-2.753,-1.428,0.491,-4.747,-0.516,-1.903,-1.541,-0.326,-0.755,-2.288,0.348,4.012,1.496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BtcGF,BTCUSDc,135,-1.3753,-4.126,2,-0.147,0.0,429,45.9207,1,15,180,0.015,1.5,1.0,0.0,0.5,16385,1,-6.565,0,1,0,0,0.6,2,-2.693,-1.433,2.842,3.809,-2.226,0.0,-0.999,1.866,1.275,0.767,0.997,-0.034,-2.0,-2.966,-2.004,-1.004,-0.008,2.006,0.834,0.174,-3.003,-1.545,-0.017,-0.001,1.486,-2.216,1.493,0.108,1.973,-4.0,-2.628,0.673,0.995,1.077,-0.94,-2.004,-1.629,1.066,-1.014,-0.996,-2.0,-2.999,-4.0,0.016,1.957,3.37,2.374,3.695,-1.003,1.0,-3.0,0.0,-1.0,0.0,1.048,1.995,1.003,-1.0,0.0,2.585,1.059,1.998,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.999,-1.0,0.0,0.0,0.999,0.003,0.559,0.998,-0.013,-2.0,0.003,1.992,-0.004,5.746,-0.299,-0.992,-1.331,3.874,2.508,0.434,0.806,-0.298,1.994,-2.998,-4.999,-3.0,0.636,-2.008,-1.498,0.738,1.981,2.846,-0.007,0.948,5.688,0.003,-3.003,-1.988,-0.008,-4.998,1.97,-4.88,-2.044,-1.833,0.016,-2.003,0.038,2.997,0.997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BtcGF,BTCUSDc,21,-6.7793,-20.338,2,-0.5327,0.0,392,34.4388,1,15,180,0.015,1.8,1.5,0.0,0.5,16385,1,-27.425,2,1,0,0,0.0,1,-20.571,0.233,5.982,3.165,-5.0,0.0,0.0,-1.466,6.384,-3.0,1.496,-1.472,-0.387,-2.449,-1.504,-3.0,-1.508,3.942,6.655,-0.496,-2.497,-3.51,1.7,-1.487,-0.803,-2.488,-1.462,1.211,0.257,-3.5,1.91,-1.5,-0.505,-0.319,-5.0,-1.505,-5.0,1.903,-2.0,2.127,-2.0,-3.0,-4.0,-2.0,-0.999,-1.0,5.602,5.006,-0.466,2.0,-3.0,0.0,-1.0,0.0,1.628,0.52,-1.0,-1.0,0.0,-1.0,1.765,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,1.499,-1.0,0.0,0.0,1.505,-2.0,0.01,1.498,0.49,-2.0,0.508,3.053,0.59,6.021,0.151,1.555,0.333,5.698,4.886,-1.503,-1.596,-2.508,0.996,-2.502,-5.0,-3.0,-0.785,-2.489,-0.55,5.082,3.524,-3.5,-1.507,4.618,0.305,2.227,-2.504,-2.497,0.994,-3.495,-2.508,-6.0,-1.51,-0.827,-1.0,-1.227,0.635,5.067,1.995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BtcGF,BTCUSDc,46,-3.972,-7.944,3,-0.274,0.0,433,42.2633,1,15,240,0.015,1.5,1.0,0.0,0.5,16385,1,-15.977,4,1,0,0,0.2,1,-0.208,-7.736,2.664,6.762,-5.0,0.0,-0.999,-0.997,1.2,-2.005,0.997,4.552,-2.0,-2.966,0.2,-1.004,-0.008,2.006,0.027,0.711,-3.003,-1.479,-0.017,-0.001,-0.994,-4.005,2.96,0.14,6.171,-4.0,-5.005,-2.0,0.995,7.084,3.106,-2.004,-2.767,-1.973,-1.014,-0.996,-2.0,-3.0,-4.0,0.016,-0.993,8.693,3.011,0.996,-1.003,1.0,-3.0,0.0,-1.0,0.0,1.048,1.995,1.003,-1.0,0.0,2.629,1.059,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.999,-1.0,0.0,0.0,0.999,0.003,0.676,0.998,-0.013,-2.0,0.003,1.992,-0.004,2.977,-2.997,-0.992,-4.008,0.975,-0.004,-3.005,3.626,2.433,1.994,-2.002,-5.0,-3.0,-2.006,-2.008,-4.996,0.525,1.981,6.456,-0.007,3.13,11.27,0.003,-3.003,-1.988,-0.008,-4.998,1.97,-3.876,-2.044,-1.832,0.016,-2.003,0.038,2.997,0.997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
