leg,sym,pass,score,nbpR,segpos,rf,oneop,ops,win,sizing,smaP,slowP,mult,step,tpR,trailR,half,mgmtTF,stack,extop1R,nmonster,addtrig,lineplace,nback,buffer,segpos_ex3,h1R,h2R,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,w22,w23,w24,w25,w26,w27,w28,w29,w30,w31,w32,w33,w34,w35,w36,w37,w38,w39,w40,w41,w42,w43,w44,w45,w46,w47,w48,w49,w50,w51,w52,w53,w54,w55,w56,w57,w58,w59,w60,w61,w62,w63,w64,w65,w66,w67,w68,w69,w70,w71,w72,w73,w74,w75,w76,w77,w78,w79,w80,w81,w82,w83,w84,w85,w86,w87,w88,w89,w90,w91,w92,w93,w94,w95,w96,w97,w98,w99,w100,w101,w102,w103,w104,w105,w106,w107,w108,w109,w110,w111,w112,w113,w114,w115,w116,w117,w118,w119,w120,w121,w122,w123,w124,w125,w126,w127,w128,w129
GoldS210,XAUUSDc,15,-2.9878,-17.927,1,-0.1703,0.0,507,14.3984,1,5,0,0.015,1.7,1.75,0.0,0.5,15,1,-173.75,14,0,1,3,0.0,0,40.401,-58.328,0.0,0.0,0.0,0.0,0.0,1.725,-3.257,-3.999,-1.258,-3.0,-6.0,-2.251,-0.258,-3.0,2.29,-4.252,-3.0,-4.998,-3.999,-3.0,-6.0,-4.999,-2.271,24.586,-5.0,-3.262,-1.621,-4.0,-3.998,-5.0,-4.0,-4.0,-1.262,-5.0,-3.259,-0.288,-5.999,3.205,-3.0,0.473,-3.0,-3.0,-4.999,-2.0,-3.0,-4.0,-3.0,-3.315,2.337,-2.262,152.573,-1.254,-6.0,-1.262,-1.0,-5.257,1.895,1.713,-5.0,0.699,32.533,-0.509,-3.0,-0.307,-4.0,-3.27,-5.0,-4.997,0.742,-5.999,12.883,-1.262,-1.999,-0.269,-4.0,-4.0,-4.0,-0.252,-2.254,-4.0,-5.0,2.216,-4.0,1.439,2.632,-3.0,-1.0,-7.0,-2.273,-2.257,-4.0,3.582,6.43,-1.053,-5.0,0.425,-3.0,-6.0,-4.0,0.832,0.0,2.131,-2.0,-3.0,-2.317,0.709,-3.292,-1.279,-2.0,-3.294,-5.999,-5.0,6.993,-3.291,-2.999,-0.497,-6.0,14.537,-3.999,-2.259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GoldS210,XAUUSDc,21,0.234,0.468,3,0.0198,2803.63,518,50.3861,1,5,0,0.015,1.7,0.75,0.0,0.5,15,1,-12.653,5,0,1,5,0.0,2,-14.78,15.248,0.0,0.0,0.0,0.0,0.0,0.739,-1.464,-0.927,2.232,1.243,-0.757,-1.506,2.64,-2.295,-0.507,-4.251,-3.999,-4.0,-0.508,-3.0,-0.798,-0.729,0.373,9.871,0.933,0.231,1.985,1.673,-2.259,-6.0,-1.257,-4.0,0.206,-2.397,-0.756,8.345,10.65,0.226,0.494,0.235,-3.0,0.484,-1.506,-0.254,0.497,-1.4,-3.0,-0.522,-1.391,-0.758,2.774,1.241,0.137,-0.509,-1.0,-4.507,-2.255,-0.677,-1.02,-0.257,3.262,0.221,-3.0,3.307,-2.246,-1.52,0.222,1.984,0.493,-2.509,2.238,5.586,-0.262,3.162,-0.13,8.376,-4.0,-1.251,-3.252,1.231,-1.525,1.253,-2.25,-0.54,-0.767,-1.261,-1.0,0.094,0.913,1.942,-2.323,1.555,0.962,-2.286,-2.512,2.684,-1.255,5.571,-2.253,0.224,0.0,-0.801,-2.0,-1.278,-3.284,0.478,2.889,-0.515,0.48,4.455,-0.78,-0.071,1.221,4.978,-0.232,0.242,2.653,-0.525,-0.506,0.183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GoldS210,XAUUSDc,16,-2.9878,-17.927,1,-0.1703,0.0,507,14.3984,1,5,0,0.015,2.0,1.75,0.0,0.5,15,1,-173.75,14,0,1,3,0.0,0,40.401,-58.328,0.0,0.0,0.0,0.0,0.0,1.725,-3.257,-3.999,-1.258,-3.0,-6.0,-2.251,-0.258,-3.0,2.29,-4.252,-3.0,-4.998,-3.999,-3.0,-6.0,-4.999,-2.271,24.586,-5.0,-3.262,-1.621,-4.0,-3.998,-5.0,-4.0,-4.0,-1.262,-5.0,-3.259,-0.288,-5.999,3.205,-3.0,0.473,-3.0,-3.0,-4.999,-2.0,-3.0,-4.0,-3.0,-3.315,2.337,-2.262,152.573,-1.254,-6.0,-1.262,-1.0,-5.257,1.895,1.713,-5.0,0.699,32.533,-0.509,-3.0,-0.307,-4.0,-3.27,-5.0,-4.997,0.742,-5.999,12.883,-1.262,-1.999,-0.269,-4.0,-4.0,-4.0,-0.252,-2.254,-4.0,-5.0,2.216,-4.0,1.439,2.632,-3.0,-1.0,-7.0,-2.273,-2.257,-4.0,3.582,6.43,-1.053,-5.0,0.425,-3.0,-6.0,-4.0,0.832,0.0,2.131,-2.0,-3.0,-2.317,0.709,-3.292,-1.279,-2.0,-3.294,-5.999,-5.0,6.993,-3.291,-2.999,-0.497,-6.0,14.537,-3.999,-2.259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GoldS210,XAUUSDc,59,-9.3375,-18.675,3,-0.402,0.0,521,51.4395,1,5,0,0.015,2.3,0.75,0.0,0.5,15,1,-33.774,1,0,1,9,0.0,2,-40.985,22.31,0.0,0.0,0.0,0.0,0.0,0.739,-1.481,-1.34,2.232,1.863,-0.757,-1.507,0.606,-2.295,-0.507,-4.251,-3.0,-3.244,-0.508,-3.0,-0.798,-0.59,2.103,-2.303,0.933,0.231,1.985,1.444,-2.259,-5.0,-0.549,-4.0,0.206,-2.485,-0.756,2.531,-0.19,0.226,0.494,0.235,-3.0,0.484,-1.506,-0.254,0.497,-0.498,-4.0,2.018,-1.391,-0.758,1.757,1.241,-0.299,-0.51,-1.0,-4.507,-2.255,-0.046,-3.186,-0.257,3.103,0.221,-3.0,3.007,-0.234,-0.77,0.222,1.984,0.493,-0.649,2.238,2.281,-0.262,2.989,-0.507,0.826,-4.0,-1.251,-3.252,1.231,-1.525,15.991,-2.25,-0.54,-0.767,-1.261,-1.0,-0.022,0.288,1.942,-2.323,1.669,3.293,-3.252,-2.512,2.684,-1.255,0.954,-2.253,0.224,0.0,-0.801,-2.0,-1.278,-3.284,0.478,2.225,-0.515,0.48,5.414,-0.78,-0.474,1.221,4.722,2.889,0.264,1.507,1.287,-0.506,0.183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GoldS210,XAUUSDc,12,24.4357,73.307,2,0.7849,172.04,509,18.8605,1,5,0,0.015,1.7,1.5,0.0,0.5,15,1,-52.811,17,0,1,3,0.0,1,69.831,3.476,0.0,0.0,0.0,0.0,0.0,1.479,-3.506,-3.999,-1.507,-3.0,-6.0,-0.016,-0.507,-3.0,1.321,-4.502,-3.0,-4.998,-3.999,-3.0,-6.0,-4.999,-2.518,12.817,-5.0,-0.847,-2.029,-4.0,5.074,-5.0,-4.0,-4.0,-1.51,-2.511,4.573,-1.513,-5.999,1.874,-3.0,-0.022,-3.0,-0.515,-4.999,-2.0,-3.0,-4.0,-3.0,-3.564,49.634,-2.51,122.618,-1.503,-6.0,-1.511,-1.0,-3.014,0.79,0.702,-5.0,0.486,25.95,-1.007,-3.0,18.647,-4.0,-0.649,-2.513,-4.997,0.493,-5.999,7.877,-1.51,6.415,13.534,-4.0,-4.0,-4.0,-0.501,-2.503,-1.509,-5.0,29.103,-4.0,0.944,2.721,0.781,-1.0,-7.0,-2.52,-2.506,-4.0,2.37,4.534,-1.619,-2.502,-0.068,-3.0,-6.0,-4.0,1.834,0.0,1.399,-2.0,-3.0,-2.559,0.465,-3.536,-1.525,-0.539,3.23,-5.999,-5.0,5.343,-1.041,-2.999,-0.876,-6.0,9.881,-3.999,-2.508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GoldS210,XAUUSDc,91,-4.9427,-14.828,2,-0.4153,0.0,533,65.1032,1,5,0,0.015,2.0,0.5,0.0,0.5,15,1,-15.389,0,0,1,5,0.25,2,-23.869,9.041,0.0,0.0,0.0,0.0,0.0,0.493,-0.01,-2.011,1.982,0.493,-0.009,-0.511,-0.011,-2.504,-1.004,-4.501,0.492,-1.003,-1.006,-1.504,-1.543,-0.57,1.486,1.482,-0.058,-0.513,2.486,0.494,-1.008,-1.52,-1.505,-4.0,-0.535,-1.513,-0.007,0.437,-0.005,-0.516,-0.004,-0.511,-1.501,-0.01,-0.014,0.996,1.491,-0.01,-3.0,-0.567,-1.132,-0.005,-0.012,1.994,-0.015,0.483,0.496,-5.005,-1.007,2.512,-2.007,-0.504,1.947,-0.525,-3.0,1.986,-0.514,-0.018,0.975,2.483,1.492,1.48,1.491,0.489,-0.508,1.989,-1.01,-1.034,-2.5,-0.005,-3.501,0.487,-1.523,0.493,-2.5,-1.036,-1.511,-1.508,-1.0,-1.041,0.918,2.461,-2.503,2.466,0.976,-0.552,-3.009,1.447,-0.004,1.964,-1.008,2.47,0.0,-0.043,-2.0,-0.035,-0.559,-0.015,-0.049,-1.01,1.474,2.96,3.428,-2.01,0.481,3.396,-0.011,2.443,2.937,0.483,-1.004,0.956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GoldS210,XAUUSDc,17,-2.9878,-17.927,1,-0.1703,0.0,507,14.3984,1,5,0,0.015,2.3,1.75,0.0,0.5,15,1,-173.75,14,0,1,3,0.0,0,40.401,-58.328,0.0,0.0,0.0,0.0,0.0,1.725,-3.257,-3.999,-1.258,-3.0,-6.0,-2.251,-0.258,-3.0,2.29,-4.252,-3.0,-4.998,-3.999,-3.0,-6.0,-4.999,-2.271,24.586,-5.0,-3.262,-1.621,-4.0,-3.998,-5.0,-4.0,-4.0,-1.262,-5.0,-3.259,-0.288,-5.999,3.205,-3.0,0.473,-3.0,-3.0,-4.999,-2.0,-3.0,-4.0,-3.0,-3.315,2.337,-2.262,152.573,-1.254,-6.0,-1.262,-1.0,-5.257,1.895,1.713,-5.0,0.699,32.533,-0.509,-3.0,-0.307,-4.0,-3.27,-5.0,-4.997,0.742,-5.999,12.883,-1.262,-1.999,-0.269,-4.0,-4.0,-4.0,-0.252,-2.254,-4.0,-5.0,2.216,-4.0,1.439,2.632,-3.0,-1.0,-7.0,-2.273,-2.257,-4.0,3.582,6.43,-1.053,-5.0,0.425,-3.0,-6.0,-4.0,0.832,0.0,2.131,-2.0,-3.0,-2.317,0.709,-3.292,-1.279,-2.0,-3.294,-5.999,-5.0,6.993,-3.291,-2.999,-0.497,-6.0,14.537,-3.999,-2.259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GoldS210,XAUUSDc,19,-4.9427,-14.828,2,-0.4153,0.0,533,65.1032,1,5,0,0.015,2.0,0.5,0.0,0.5,15,1,-15.389,0,0,1,5,0.0,2,-23.869,9.041,0.0,0.0,0.0,0.0,0.0,0.493,-0.01,-2.011,1.982,0.493,-0.009,-0.511,-0.011,-2.504,-1.004,-4.501,0.492,-1.003,-1.006,-1.504,-1.543,-0.57,1.486,1.482,-0.058,-0.513,2.486,0.494,-1.008,-1.52,-1.505,-4.0,-0.535,-1.513,-0.007,0.437,-0.005,-0.516,-0.004,-0.511,-1.501,-0.01,-0.014,0.996,1.491,-0.01,-3.0,-0.567,-1.132,-0.005,-0.012,1.994,-0.015,0.483,0.496,-5.005,-1.007,2.512,-2.007,-0.504,1.947,-0.525,-3.0,1.986,-0.514,-0.018,0.975,2.483,1.492,1.48,1.491,0.489,-0.508,1.989,-1.01,-1.034,-2.5,-0.005,-3.501,0.487,-1.523,0.493,-2.5,-1.036,-1.511,-1.508,-1.0,-1.041,0.918,2.461,-2.503,2.466,0.976,-0.552,-3.009,1.447,-0.004,1.964,-1.008,2.47,0.0,-0.043,-2.0,-0.035,-0.559,-0.015,-0.049,-1.01,1.474,2.96,3.428,-2.01,0.481,3.396,-0.011,2.443,2.937,0.483,-1.004,0.956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GoldS210,XAUUSDc,14,24.44,73.32,2,0.7851,172.01,509,18.8605,1,5,0,0.015,2.3,1.5,0.0,0.5,15,1,-52.798,17,0,1,3,0.0,1,69.844,3.476,0.0,0.0,0.0,0.0,0.0,1.479,-3.506,-3.999,-1.507,-3.0,-6.0,-0.016,-0.507,-3.0,1.321,-4.502,-3.0,-4.998,-3.999,-3.0,-6.0,-4.999,-2.518,12.817,-5.0,-0.847,-2.029,-4.0,5.074,-5.0,-4.0,-4.0,-1.51,-2.511,4.586,-1.513,-5.999,1.874,-3.0,-0.022,-3.0,-0.515,-4.999,-2.0,-3.0,-4.0,-3.0,-3.564,49.634,-2.51,122.618,-1.503,-6.0,-1.511,-1.0,-3.014,0.79,0.702,-5.0,0.486,25.95,-1.007,-3.0,18.647,-4.0,-0.649,-2.513,-4.997,0.493,-5.999,7.877,-1.51,6.415,13.534,-4.0,-4.0,-4.0,-0.501,-2.503,-1.509,-5.0,29.103,-4.0,0.944,2.721,0.781,-1.0,-7.0,-2.52,-2.506,-4.0,2.37,4.534,-1.619,-2.502,-0.068,-3.0,-6.0,-4.0,1.834,0.0,1.399,-2.0,-3.0,-2.559,0.465,-3.536,-1.525,-0.539,3.23,-5.999,-5.0,5.343,-1.041,-2.999,-0.876,-6.0,9.881,-3.999,-2.508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GoldS210,XAUUSDc,27,8.839,17.678,3,0.5461,137.97,502,29.6813,1,5,0,0.015,1.7,1.25,0.0,0.5,15,1,-6.713,13,0,1,5,0.0,2,-9.657,27.335,0.0,0.0,0.0,0.0,0.0,1.232,-2.397,11.138,-0.756,-4.0,-6.0,-0.512,13.342,-3.0,-0.753,-4.752,-3.999,-4.0,-4.0,-3.0,-3.752,1.649,-3.766,19.392,5.116,-1.518,-2.504,-1.752,-1.76,-6.0,-3.0,-4.0,-2.759,-2.759,3.774,0.285,15.992,0.257,2.707,-0.519,-3.0,-0.763,-2.757,-2.0,4.528,-2.365,-3.0,-1.565,1.512,-2.758,15.059,2.92,-3.761,-1.758,-1.0,-3.512,-1.758,-3.545,-3.999,0.239,18.866,-0.505,-3.0,11.215,-4.0,-0.533,1.702,-0.509,0.244,-3.757,1.489,10.109,8.736,3.23,-0.816,-1.758,-4.0,-0.751,-2.753,0.492,-5.0,8.908,-4.0,0.449,3.699,-0.769,-1.0,-4.773,-2.767,1.36,-4.0,-0.744,2.053,-1.771,-2.752,5.072,0.716,-0.513,-1.755,9.538,0.0,0.666,-2.0,-0.734,-2.801,0.221,5.894,-1.771,1.466,3.159,-3.734,-5.0,0.851,3.485,-4.0,-0.431,-6.0,2.94,0.04,-0.568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
