leg,sym,pass,score,nbpR,segpos,rf,oneop,ops,win,sizing,smaP,slowP,mult,step,tpR,trailR,half,mgmtTF,stack,extop1R,nmonster,addtrig,lineplace,nback,buffer,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,w22,w23,w24,w25,w26,w27,w28,w29,w30,w31,w32,w33,w34,w35,w36,w37,w38,w39,w40,w41,w42,w43,w44,w45,w46,w47,w48,w49,w50,w51,w52,w53,w54,w55,w56,w57,w58,w59,w60,w61,w62,w63,w64,w65,w66,w67,w68,w69,w70,w71,w72,w73,w74,w75,w76,w77,w78,w79,w80,w81,w82,w83,w84,w85,w86,w87,w88,w89,w90,w91,w92,w93,w94,w95,w96,w97,w98,w99,w100,w101,w102,w103,w104,w105,w106,w107,w108,w109,w110,w111,w112,w113,w114,w115,w116,w117,w118,w119,w120,w121,w122,w123,w124,w125,w126,w127,w128,w129
GoldS210,XAUUSDc,89,-30.7067,-92.12,2,-0.7521,0.0,495,15.9596,1,7,0,0.01,1.7,2.0,0.0,0.5,15,1,-107.969,22,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,1.972,-3.008,-4.0,-1.01,-3.0,-6.0,-2.0,-0.01,-3.0,-0.005,-4.003,-3.0,-5.0,-4.0,-3.0,1.712,0.997,-3.025,-6.0,5.174,-2.015,-2.067,-4.0,9.814,-4.999,-4.0,-4.0,-2.014,7.566,2.825,1.028,-7.0,1.733,-3.0,0.97,-3.0,-2.999,-4.998,-2.0,-2.999,-4.0,-3.0,3.515,2.119,-2.014,4.916,-1.004,-6.0,-1.014,-1.0,1.321,-4.0,0.112,-3.999,0.947,6.562,-3.001,-3.0,-0.061,-4.0,-3.023,-4.0,9.677,0.991,8.18,3.14,1.717,-2.999,13.008,-3.0,-4.0,-4.0,-0.002,-2.005,-3.999,-4.0,-0.001,-4.0,-0.009,1.243,1.197,-1.0,-6.0,-4.999,1.524,-4.0,-1.142,-2.021,1.4,-5.0,-0.507,-3.0,-5.0,-4.0,1.316,0.0,-0.11,-2.0,-3.0,-2.076,0.953,4.649,-4.0,-2.0,14.797,-6.0,-5.0,5.313,-3.042,9.325,5.993,-6.0,10.679,-4.0,3.675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GoldS210,XAUUSDc,40,10.067,20.134,3,0.3702,156.36,512,22.0703,1,5,0,0.01,1.7,1.5,0.0,0.0,15,1,-11.348,20,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,1.479,1.766,-4.0,-3.999,-3.0,-6.0,13.632,-1.507,-2.0,-0.002,-4.502,-2.999,-5.0,-4.0,-5.0,-2.157,-0.795,-3.519,-1.925,1.76,-0.879,-0.266,-4.0,0.96,-5.0,-4.0,-4.0,-0.51,12.335,0.514,11.388,-6.0,1.089,1.512,11.554,0.23,-0.515,-6.0,-2.0,-2.999,-4.0,-3.0,0.536,4.176,-2.51,17.664,-1.503,-6.0,-1.511,-1.0,-2.879,0.594,-4.67,-0.633,1.655,4.828,-2.007,-3.0,2.588,-4.0,-3.048,2.541,1.416,0.493,2.143,3.358,11.939,0.264,7.962,5.632,-4.0,-3.999,-0.501,-2.503,-1.509,-5.0,1.874,26.678,2.385,3.597,0.093,-1.0,-6.0,2.294,29.976,-4.0,-1.123,3.74,-0.632,-2.502,-0.068,-2.0,-0.036,-4.0,2.577,0.0,1.399,-2.0,-1.999,-2.559,0.465,-3.536,-1.526,-0.539,2.848,-6.0,-5.0,8.367,1.674,1.104,6.463,-6.0,-2.533,-4.0,-0.508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GoldS210,XAUUSDc,110,25.1613,75.484,2,0.9636,98.59,485,12.3711,1,9,0,0.01,1.5,2.5,0.0,0.0,15,1,1.062,23,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,27.024,-4.0,-4.0,-3.0,-6.0,-1.501,-0.512,-3.0,0.494,-3.503,-3.0,-5.0,-4.0,-4.0,8.844,1.644,-5.0,-5.0,-0.317,-1.519,-5.0,-4.0,12.478,0.533,-4.0,-4.0,-1.517,5.521,-0.513,-5.0,-7.0,-1.515,-3.0,-1.523,22.362,-3.0,-3.999,-2.0,-2.999,-4.0,-3.0,-2.287,-8.0,-4.999,72.921,-4.0,-6.0,-4.0,-1.0,3.853,-3.999,0.498,3.682,3.28,21.328,-3.501,-3.0,9.737,-5.0,3.973,-4.0,9.18,1.546,19.897,1.526,-2.999,-3.999,49.055,-3.999,-3.0,-4.0,0.498,-1.506,-5.0,-4.0,4.095,9.962,-2.999,0.412,2.302,-1.0,1.398,-6.0,-1.51,-4.0,0.163,-2.526,-1.508,-5.0,0.471,-2.0,-4.999,0.896,-0.649,0.0,0.852,-2.0,-2.0,-1.593,1.441,7.282,-4.0,-2.0,-3.999,-6.0,-4.0,-0.536,-5.0,-3.0,-3.0,22.39,3.121,-4.0,2.851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GoldS210,XAUUSDc,67,-6.3428,-38.057,1,-0.7956,0.0,452,31.1947,1,11,0,0.01,1.7,1.5,0.0,1.0,15,1,-47.975,5,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,1.479,-2.508,-4.0,-0.508,-1.502,-5.0,2.429,-0.507,-3.0,-0.504,-4.502,4.965,-2.0,-0.555,-3.0,-3.503,-1.251,3.54,8.918,-1.554,2.421,-1.478,2.258,-0.04,-1.511,-1.515,-4.0,-1.51,-1.511,-0.066,0.796,-5.0,-0.017,-0.58,2.469,-3.0,3.714,0.489,-1.0,-3.0,-3.0,-4.0,0.889,-3.15,-2.51,3.981,0.946,-1.609,-1.511,-1.0,-3.014,-1.51,1.933,1.291,1.439,2.355,-1.007,-3.0,3.442,-3.999,1.716,-0.038,-2.531,0.493,3.169,1.986,4.166,-0.525,3.467,0.32,-2.0,-2.0,-1.501,-2.503,-1.509,-1.529,1.994,-0.598,0.944,-1.025,-0.523,-1.0,-3.517,1.208,2.419,-4.0,-1.516,2.687,-1.552,-2.502,1.123,-2.0,3.087,-4.0,3.448,0.0,1.399,-2.0,0.794,1.816,0.465,-0.536,-1.526,-0.539,10.604,-3.519,-3.0,0.966,-0.041,-1.56,3.076,-2.546,4.418,-4.0,-0.508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GoldS210,XAUUSDc,186,-6.464,-12.928,3,-0.2462,0.0,520,39.8077,1,9,0,0.01,1.7,1.0,0.0,0.0,15,1,-22.019,4,0,2,0,0.2,0.0,0.0,0.0,0.0,0.0,0.986,-2.006,0.069,-2.009,-3.0,1.048,8.095,-0.023,-3.0,1.007,-4.0,-3.0,-2.147,-4.0,-3.007,-4.002,-3.005,4.646,-3.02,0.955,-0.025,0.029,0.315,-2.012,-3.007,-4.0,-4.0,-1.01,-4.008,-0.542,9.037,1.334,0.968,-3.0,-1.015,-2.009,-1.01,-2.002,-2.0,0.996,-0.809,-3.0,0.153,5.343,-3.007,4.673,-0.009,-2.016,-2.007,-1.0,-3.967,-2.007,-1.298,-2.005,0.616,8.87,2.449,-3.0,0.274,1.513,0.681,1.218,2.978,-1.004,2.204,3.847,4.904,0.147,7.805,-0.018,-2.006,-4.0,-1.001,-3.002,0.973,-4.0,6.191,0.193,0.864,3.391,-1.015,-1.0,0.918,-3.014,7.087,-4.0,-1.766,3.455,-3.003,-2.017,3.922,1.131,3.334,-2.004,1.294,0.0,-0.068,-2.0,1.911,-3.042,-0.023,3.498,-0.019,0.973,1.927,-2.353,-4.0,0.038,-0.042,0.51,3.282,-0.841,1.305,-0.008,-1.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GoldS210,XAUUSDc,197,-7.7847,-23.354,2,-0.5076,0.0,515,41.165,1,7,0,0.01,1.7,1.0,0.0,0.5,15,1,-31.02,1,0,2,0,0.2,0.0,0.0,0.0,0.0,0.0,0.986,-2.007,0.069,-0.014,-3.0,-4.0,4.314,3.047,-1.047,-0.009,-4.001,-3.0,-5.0,-4.0,-3.0,4.664,-0.6,4.646,-3.02,1.848,-0.025,2.054,2.314,-2.012,-5.0,-4.0,-4.0,-1.01,-2.008,-0.431,6.196,1.108,0.968,-3.0,4.324,-3.0,-1.01,-1.007,-2.0,0.996,-0.828,-3.0,-3.062,1.007,-3.007,5.095,-0.009,-2.016,-2.007,-1.0,-4.009,-2.007,-0.52,-3.999,-0.009,4.036,-1.004,-3.0,3.744,4.051,-0.026,0.962,2.978,-1.004,2.253,2.984,4.916,1.682,7.556,-0.018,-2.006,-4.0,-1.001,-3.002,1.973,-1.97,6.191,-2.0,-0.046,-0.023,-1.015,-1.0,1.751,-1.034,0.945,-4.0,-2.613,-1.012,-2.048,-2.017,3.922,-3.0,4.677,-2.004,1.294,0.0,-0.068,-2.0,-1.037,-3.042,-0.023,3.392,-0.019,0.973,1.927,-0.375,-5.0,-0.022,1.932,0.51,-0.032,-1.022,4.079,-0.008,2.447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GoldS210,XAUUSDc,43,-19.5895,-39.179,3,-0.5191,0.0,497,25.7545,1,11,0,0.01,1.7,1.5,0.0,0.0,15,1,-69.445,10,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,1.479,5.576,-4.0,-4.0,-3.0,-6.0,3.321,-1.507,-3.0,-0.504,-4.502,-3.0,-0.749,-4.0,-4.0,-4.503,-1.251,2.54,2.399,-1.455,-1.023,-0.478,1.258,0.96,-2.51,-4.0,-4.0,-0.51,2.961,-1.508,-0.151,-5.0,-0.017,1.556,-0.022,-1.513,2.318,-0.068,-2.0,-2.999,-4.0,-3.0,-3.397,-0.99,-2.51,9.123,-1.503,-1.609,-1.511,-1.0,-2.879,-1.51,-2.353,-0.454,1.658,6.277,-2.007,-3.0,1.603,-4.0,4.355,-0.038,-5.0,0.493,4.363,1.986,7.776,0.264,3.467,0.32,-4.0,-4.0,-0.501,-2.503,-2.509,-4.0,2.731,7.235,2.385,-1.025,-0.523,-1.0,-3.517,3.447,28.76,-4.0,-1.123,-1.069,-2.505,-2.502,1.123,-3.0,1.221,-4.0,3.972,0.0,1.399,-2.0,-2.0,-2.559,0.465,-0.083,-1.526,-0.539,8.125,-0.457,-4.0,1.061,-0.041,1.964,6.026,-6.0,2.375,-4.0,-0.508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GoldS210,XAUUSDc,451,-4.816,-14.448,2,-0.2767,0.0,476,19.958,1,11,0,0.01,1.7,2.0,0.0,0.5,15,1,-27.726,23,0,2,0,0.4,0.0,0.0,0.0,0.0,0.0,1.972,6.286,-4.0,-1.01,-3.0,-5.0,6.296,-0.009,-4.0,-0.005,-4.003,-3.0,0.545,-4.0,-3.0,9.278,0.365,-2.025,-5.0,3.063,-2.015,-1.577,5.172,1.972,-0.332,-4.0,-4.0,-0.014,3.663,8.243,-6.0,-6.0,-1.012,3.13,0.97,-3.0,0.571,1.386,-2.0,-3.0,-4.0,-3.0,-1.066,-3.161,-2.014,15.614,-1.004,-6.0,-1.014,-1.0,0.414,-4.0,0.112,0.941,0.947,1.455,-2.001,-4.0,-0.061,-4.0,-3.023,-4.0,18.119,0.991,5.615,0.985,-0.014,-2.0,7.68,-2.999,-4.0,-3.999,-0.002,-2.005,-4.0,6.977,-0.001,8.282,-0.009,8.612,-0.031,-1.0,-3.022,-5.999,7.657,-4.0,-0.48,-3.021,1.358,-5.0,-0.445,-2.0,-3.999,-0.162,3.688,0.0,-0.11,-2.0,-2.0,-2.076,0.953,0.888,-4.0,-2.0,11.128,-5.999,-5.0,1.955,0.078,6.424,8.252,-6.0,9.243,-3.0,-1.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GoldS210,XAUUSDc,41,-9.17,-18.34,3,-0.2451,0.0,507,22.8797,1,7,0,0.01,1.7,1.5,0.0,0.0,15,1,-45.443,14,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,1.479,0.688,-3.999,-4.0,-3.0,-6.0,3.127,-1.507,-2.0,-0.504,-4.502,-3.0,-5.0,-4.0,-4.0,-3.069,-0.795,-3.519,-1.925,-1.708,-1.023,-1.942,-4.0,0.96,-4.999,-4.0,-4.0,-0.51,4.1,-0.264,15.501,-6.0,2.523,-3.0,11.815,0.07,-0.515,-5.999,-2.0,-2.999,-4.0,-3.0,-3.397,-1.752,-2.51,13.928,-1.503,-6.0,-1.511,-1.0,-2.879,0.594,-2.194,-0.424,1.247,5.346,-2.007,-3.0,12.571,-4.0,0.122,2.531,-5.0,0.493,6.19,4.693,9.784,0.263,3.467,11.985,-3.0,-4.0,-0.501,-2.503,-2.508,-4.0,-0.501,12.063,2.385,4.336,0.093,-1.0,-6.0,0.871,25.597,-4.0,-1.877,-2.514,-2.505,-2.502,1.078,-3.0,-0.148,-4.0,1.427,0.0,1.399,-2.0,-2.0,-2.559,0.465,2.023,-1.526,-0.539,7.44,-0.457,-4.0,1.061,2.092,1.964,6.493,-6.0,3.5,-4.0,-0.508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GoldS210,XAUUSDc,21,-12.784,-38.352,2,-0.6613,0.0,515,40.5825,1,7,0,0.01,1.9,1.0,0.0,0.5,15,1,-44.023,2,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.986,-2.007,0.069,-0.014,-3.0,-4.0,-1.009,3.047,-1.047,-0.009,-4.001,-3.0,-5.0,-4.0,-3.0,-4.002,-0.6,4.646,-3.02,1.848,-0.025,2.653,2.314,-2.012,-4.999,-4.0,-4.0,-1.01,-2.008,-0.431,7.597,1.108,0.968,-3.0,4.324,-3.0,-1.01,-1.005,-2.0,0.996,-0.828,-3.0,-3.062,1.007,-3.007,5.095,-0.009,-2.016,-2.007,-1.0,-4.009,-2.007,-0.52,-3.999,-0.009,4.036,-1.004,-3.0,3.744,4.051,-0.026,0.962,2.978,-1.004,2.253,2.984,4.916,1.682,7.977,-0.018,-2.006,-4.0,-1.001,-3.002,1.973,-1.888,6.625,-2.0,-0.046,-0.023,-1.015,-1.0,1.751,-1.034,-3.004,-4.0,-2.613,-1.012,-2.048,-2.017,3.922,-3.0,4.677,-2.004,1.294,0.0,-0.068,-2.0,-1.037,-3.042,-0.023,3.392,-0.019,0.973,1.927,-0.375,-5.0,-0.022,1.932,0.51,-0.032,-1.022,4.079,-0.008,2.447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
