leg,sym,pass,score,nbpR,segpos,rf,oneop,ops,win,sizing,smaP,slowP,mult,step,tpR,trailR,half,mgmtTF,stack,extop1R,nmonster,addtrig,lineplace,nback,buffer,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,w22,w23,w24,w25,w26,w27,w28,w29,w30,w31,w32,w33,w34,w35,w36,w37,w38,w39,w40,w41,w42,w43,w44,w45,w46,w47,w48,w49,w50,w51,w52,w53,w54,w55,w56,w57,w58,w59,w60,w61,w62,w63,w64,w65,w66,w67,w68,w69,w70,w71,w72,w73,w74,w75,w76,w77,w78,w79,w80,w81,w82,w83,w84,w85,w86,w87,w88,w89,w90,w91,w92,w93,w94,w95,w96,w97,w98,w99,w100,w101,w102,w103,w104,w105,w106,w107,w108,w109,w110,w111,w112,w113,w114,w115,w116,w117,w118,w119,w120,w121,w122,w123,w124,w125,w126,w127,w128,w129
GoldS210,XAUUSDc,120,1.7493,5.248,2,0.2062,64.62,498,43.3735,1,5,150,0.015,1.1,1.0,0.0,0.5,15,1,1.857,0,1,0,0,0.5,0.0,0.0,0.0,0.0,0.0,1.389,-0.996,-0.409,-0.014,-3.0,0.056,2.98,1.016,-4.0,0.427,-4.001,0.145,2.146,-0.618,-3.0,-1.477,-1.034,0.684,-3.176,1.544,0.981,2.308,0.559,-2.006,-5.0,-2.025,-4.0,0.459,-1.946,1.955,4.256,1.806,2.739,-1.033,2.699,-3.0,1.112,0.346,-1.0,-0.987,-1.931,-4.0,4.51,1.513,-4.006,5.14,2.63,-1.006,1.03,-1.0,-4.006,-2.007,-1.077,-0.998,1.269,6.371,1.061,-3.0,5.516,2.379,-1.011,3.036,4.286,-1.003,-0.443,4.269,3.596,0.297,4.014,0.525,-3.0,-0.513,0.041,-3.0,2.816,-0.79,0.434,-1.965,1.029,0.143,-0.978,-1.0,3.475,-0.025,-2.933,-4.0,-1.204,0.002,-3.002,-1.163,6.534,0.059,2.04,-0.899,2.105,0.0,-1.229,-2.0,1.281,-3.04,1.105,1.985,0.007,2.486,4.4,-5.002,-5.0,0.525,4.989,-2.011,0.164,-2.668,2.008,0.074,0.129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GoldS210,XAUUSDc,123,2.013,6.039,2,0.2398,56.15,498,43.3735,1,5,150,0.015,1.4,1.0,0.0,0.5,15,1,2.648,0,1,0,0,0.5,0.0,0.0,0.0,0.0,0.0,1.389,-0.996,-0.409,-0.014,-3.0,0.056,3.017,1.025,-4.0,0.427,-4.001,0.145,2.287,-0.617,-3.0,-1.474,-1.034,0.684,-3.174,1.583,0.981,2.325,0.559,-2.006,-5.0,-2.008,-4.0,0.464,-1.945,1.977,4.37,1.808,2.74,-0.985,2.699,-3.0,1.114,0.346,-2.0,0.017,-1.931,-4.0,4.582,1.587,-4.007,5.148,2.638,-1.006,1.035,-1.0,-4.006,-2.007,-1.077,-0.998,1.269,6.371,1.086,-3.0,5.518,2.379,-1.011,3.036,4.286,-1.003,-0.443,4.278,3.607,0.297,4.017,0.529,-3.0,-0.513,0.041,-3.0,2.817,-0.79,0.449,-1.961,1.029,0.143,-0.978,-1.0,3.475,-0.025,-2.893,-4.0,-1.186,0.006,-3.002,-1.163,6.534,0.065,2.058,-0.899,2.105,0.0,-1.229,-2.0,1.281,-3.04,1.105,1.985,0.007,2.486,4.4,-5.002,-5.0,0.525,4.989,-2.011,0.164,-2.668,2.008,0.074,0.129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GoldS210,XAUUSDc,70,19.734,39.468,3,1.2905,26.1,498,40.7631,1,5,210,0.015,2.0,1.0,0.0,0.5,15,1,29.165,10,1,0,0,0.25,0.0,0.0,0.0,0.0,0.0,1.239,-0.992,-0.306,-0.014,-3.0,-2.728,8.531,1.104,-4.0,1.014,-4.001,0.365,4.07,-1.018,-3.0,-1.542,-0.983,0.724,-6.0,1.898,0.977,1.343,1.17,-2.006,-5.0,-1.929,-4.0,0.693,-2.001,-0.793,5.486,5.421,2.897,-0.604,-1.016,-3.0,1.637,0.164,-1.999,0.034,-1.94,-4.0,6.568,-1.212,-4.006,-1.964,3.598,0.515,-2.018,-1.0,-4.006,-2.007,-1.113,-3.0,1.338,11.544,-1.287,-3.0,14.482,6.279,-1.011,6.349,-0.971,-1.004,2.948,8.324,-0.027,0.381,4.038,0.369,-3.0,-0.717,1.65,-3.0,3.996,-0.893,1.013,-1.911,2.688,0.331,-0.957,-1.0,1.566,-0.383,-0.149,-4.0,-1.395,0.062,-1.725,0.613,9.207,0.116,2.22,0.909,2.176,0.0,0.49,-2.0,1.132,-3.042,3.023,1.604,0.007,5.472,4.526,-2.539,-5.0,0.386,8.603,-1.994,0.091,-2.78,2.111,0.111,-0.152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GoldS210,XAUUSDc,190,7.9573,11.936,4,0.7441,26.14,498,45.1807,1,5,210,0.015,2.0,1.0,0.0,0.5,15,1,8.816,0,1,0,0,0.75,0.0,0.0,0.0,0.0,0.0,1.239,-0.992,-0.368,0.986,-1.057,-0.282,3.287,1.104,-4.0,0.515,-4.001,0.237,3.375,-1.018,-3.0,-1.568,-0.983,3.087,-0.632,1.851,0.977,3.262,3.538,-2.006,-5.0,-1.929,-4.0,0.693,-2.001,1.694,5.131,1.433,1.576,-0.604,1.955,-3.0,1.453,0.164,-1.999,0.034,-1.94,-4.0,4.851,2.114,-4.005,3.513,2.352,-1.492,0.5,-1.0,-4.006,-2.007,-1.515,-3.0,1.256,5.145,0.676,-3.0,4.768,0.955,-1.011,2.164,3.86,-1.004,-1.27,4.002,2.844,0.381,4.038,0.369,-3.0,-0.717,-0.497,-3.0,2.432,-0.893,0.882,-1.911,0.466,0.331,-0.957,-1.0,2.184,-0.403,-0.149,-4.0,-1.427,2.693,-1.725,-1.402,5.563,0.116,2.219,-1.494,2.176,0.0,1.008,-2.0,1.132,-3.042,0.457,1.559,0.007,1.693,4.526,-0.227,-4.999,0.386,4.215,-1.994,0.091,-2.78,2.111,0.111,-0.494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GoldS210,XAUUSDc,63,19.322,28.983,4,0.9017,35.55,498,41.3655,1,5,150,0.015,1.4,1.0,0.0,0.5,15,1,18.68,6,1,0,0,0.25,0.0,0.0,0.0,0.0,0.0,1.389,-0.996,-0.409,-0.014,-3.0,-2.809,5.69,1.025,-4.0,0.427,-4.001,0.145,2.411,-0.617,-3.0,-1.474,-1.034,0.684,-3.174,1.583,0.981,-0.422,0.559,-2.006,-5.0,-2.008,-4.0,0.464,-1.945,1.977,4.514,2.041,4.352,-0.985,-1.016,-3.0,1.114,0.346,-2.0,0.017,-1.931,-4.0,6.926,1.637,-4.007,-1.987,3.572,0.275,-2.035,-1.0,-4.006,-2.007,-1.077,-0.998,1.269,11.203,-2.598,-3.0,14.794,6.74,-1.011,4.88,1.811,-1.004,1.863,6.365,-0.038,0.297,4.017,0.529,-3.0,-0.513,1.65,-3.0,3.371,-0.79,0.449,-1.961,2.294,0.143,-0.978,-1.0,1.566,-0.025,-2.893,-4.0,-1.186,0.006,-3.003,-1.163,11.316,0.065,2.058,0.909,2.105,0.0,-0.279,-2.0,1.281,-3.041,3.023,1.985,0.007,5.472,4.4,-5.001,-5.0,0.525,7.281,-2.011,0.164,-2.668,2.008,0.074,2.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GoldS210,XAUUSDc,188,1.44,2.88,3,0.1255,78.51,498,45.3815,1,5,270,0.015,1.7,1.0,0.0,0.5,15,1,0.619,0,1,0,0,0.75,0.0,0.0,0.0,0.0,0.0,1.12,-0.996,-0.334,0.986,-1.081,-0.236,2.579,1.053,-4.0,0.506,-4.001,-3.0,2.374,-1.143,-3.0,-1.703,-0.807,3.055,-1.347,1.683,0.966,2.349,3.538,-2.006,-5.0,-1.977,-4.0,0.599,-2.003,1.789,4.199,1.135,1.373,-0.855,1.743,-3.0,1.451,0.121,-2.0,0.026,-1.802,-4.0,3.89,1.885,-4.006,3.501,2.338,-1.492,0.683,-1.0,-4.005,-2.007,-1.515,-0.974,1.256,5.145,0.288,-3.0,3.879,0.948,-0.916,1.812,3.833,1.012,-1.27,3.99,2.836,-2.0,4.026,0.223,-3.0,-0.766,-0.497,-3.0,2.432,-0.919,2.96,-1.94,0.471,0.342,-0.97,-1.0,2.184,-0.436,-0.662,-4.0,-1.936,3.652,-1.81,-1.461,5.541,0.078,2.208,-1.494,2.108,0.0,1.008,-2.0,1.006,-0.572,0.457,1.483,0.007,1.693,4.648,-0.532,-5.0,0.008,4.215,-2.002,0.079,-2.573,0.011,0.074,-0.929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GoldS210,XAUUSDc,129,9.3247,13.987,4,0.6556,29.72,498,43.1727,1,5,150,0.015,2.0,1.0,0.0,0.5,15,1,9.83,0,1,0,0,0.5,0.0,0.0,0.0,0.0,0.0,1.389,-0.992,-0.404,-0.014,-3.0,0.056,3.878,1.104,-4.0,0.438,-4.001,0.149,3.668,-0.592,-3.0,-1.439,-1.034,0.741,-3.172,1.941,0.997,3.034,0.559,-2.006,-5.0,-1.929,-4.0,0.681,-1.943,2.063,5.652,1.812,2.76,-0.604,2.728,-3.0,1.121,0.345,-2.0,0.034,-1.931,-4.0,5.257,2.133,-4.006,5.171,2.664,-1.006,1.052,-1.0,-4.006,-2.007,-1.077,-3.0,1.269,6.371,1.579,-3.0,6.432,2.379,-1.011,3.036,4.292,-1.003,-0.443,4.298,3.643,0.297,4.038,0.557,-3.0,-0.513,0.041,-3.0,2.823,-0.777,0.631,-1.911,1.029,0.143,-0.957,-1.0,3.475,-0.025,-2.204,-4.0,-1.13,0.061,-3.002,-1.163,6.556,0.135,2.219,-0.899,2.198,0.0,-1.229,-2.0,1.281,-3.04,1.105,1.999,0.007,2.486,4.415,-5.002,-5.0,0.525,4.989,-1.994,0.164,-2.669,2.015,0.078,0.129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GoldS210,XAUUSDc,203,-3.4507,-10.352,2,-0.1616,0.0,476,27.521,1,5,270,0.015,2.0,1.5,0.0,0.5,15,1,-44.44,4,1,0,0,0.75,0.0,0.0,0.0,0.0,0.0,1.756,0.089,-4.0,-0.508,-4.0,-2.744,1.885,-0.506,-4.0,-3.0,-4.0,-3.0,-2.998,-3.0,-3.0,-3.432,-5.0,2.992,-3.383,-0.641,4.455,-1.317,-3.0,-0.899,-5.0,-4.0,-4.0,-1.432,-1.478,0.884,-1.358,-3.175,8.174,1.062,5.017,-3.0,4.162,0.758,-2.0,2.173,-4.0,-4.0,2.154,0.041,-3.323,5.525,1.475,-1.527,3.191,-1.0,-2.998,-1.291,-2.451,-3.0,3.038,5.188,-1.506,-3.0,21.152,-4.0,0.26,4.81,-1.306,0.527,-6.0,4.319,4.94,-3.0,5.382,0.041,-3.0,-2.0,-0.554,-2.488,2.155,3.553,1.236,-3.998,1.908,1.536,-0.322,-1.0,-4.261,-2.507,32.691,-4.0,-1.203,0.914,-0.626,-1.866,4.286,-2.0,2.097,-4.0,5.474,0.0,4.316,-2.0,-2.0,-2.558,1.241,2.538,1.4,0.89,4.828,-2.008,-4.999,1.082,0.027,-1.399,1.415,-6.0,1.102,-3.999,-1.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GoldS210,XAUUSDc,130,10.4233,15.635,4,0.7129,26.59,498,43.1727,1,5,210,0.015,2.0,1.0,0.0,0.5,15,1,11.478,0,1,0,0,0.5,0.0,0.0,0.0,0.0,0.0,1.239,-0.992,-0.306,-0.014,-3.0,0.152,4.16,1.104,-4.0,1.014,-4.001,0.365,3.815,-1.018,-3.0,-1.542,-0.983,0.456,-6.0,1.898,0.977,4.24,1.09,-2.006,-5.0,-1.929,-4.0,0.693,-2.001,2.181,5.486,2.24,1.908,-0.604,2.728,-3.0,1.637,0.164,-1.999,0.034,-1.94,-4.0,5.399,-1.212,-4.006,5.171,2.664,-0.973,1.052,-1.0,-4.006,-2.007,-1.113,-3.0,1.338,6.512,1.882,-3.0,6.432,2.343,-1.011,3.403,4.681,-1.003,-0.443,4.96,3.907,0.381,4.038,0.369,-3.0,-0.717,0.041,-3.0,2.823,-0.893,1.013,-1.911,1.029,0.331,-0.957,-1.0,3.475,-0.383,-0.149,-4.0,-1.395,0.061,-1.724,-0.896,4.425,0.116,2.219,-0.899,2.176,0.0,-0.46,-2.0,1.132,-3.041,1.105,1.604,0.007,2.486,4.526,-2.539,-5.0,0.386,5.252,-1.994,0.091,-2.78,2.111,0.111,-0.151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GoldS210,XAUUSDc,62,21.321,42.642,3,1.1977,24.16,498,41.1647,1,5,270,0.015,1.1,1.0,0.0,0.5,15,1,32.339,9,1,0,0,0.25,0.0,0.0,0.0,0.0,0.0,1.12,-0.996,0.2,-0.014,-4.0,-1.682,8.313,1.016,-4.0,1.022,-4.001,-3.0,2.166,-1.18,-3.0,-1.714,-0.807,0.883,-3.992,-1.018,0.955,-0.263,2.165,-2.006,-5.0,-2.025,-4.0,0.466,-2.004,-0.611,4.076,6.603,2.686,-1.033,1.747,-3.0,3.483,0.121,-2.0,0.013,-1.803,-4.0,3.631,-0.278,-4.007,-1.995,3.564,0.412,-1.848,-1.0,-4.005,-2.007,-0.919,-0.998,1.317,11.633,-1.287,-3.0,14.792,9.15,-0.916,5.516,-1.005,1.009,2.948,8.298,-0.041,-2.0,4.014,0.186,-0.814,-0.766,1.65,-3.0,3.989,-0.922,3.912,-1.965,2.693,0.729,-0.978,-1.0,5.703,-3.008,-0.918,-4.0,-1.98,1.003,-1.81,0.554,9.178,0.032,2.144,0.909,2.083,0.0,1.993,-2.0,1.006,-0.608,3.023,1.483,0.007,3.83,2.095,-2.844,-5.0,0.008,10.454,-2.011,0.079,-2.497,0.011,0.074,-0.929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
