leg,sym,pass,score,nbpR,segpos,rf,oneop,ops,win,sizing,smaP,slowP,mult,step,tpR,trailR,half,mgmtTF,stack,extop1R,nmonster,addtrig,lineplace,nback,buffer,segpos_ex3,h1R,h2R,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,w22,w23,w24,w25,w26,w27,w28,w29,w30,w31,w32,w33,w34,w35,w36,w37,w38,w39,w40,w41,w42,w43,w44,w45,w46,w47,w48,w49,w50,w51,w52,w53,w54,w55,w56,w57,w58,w59,w60,w61,w62,w63,w64,w65,w66,w67,w68,w69,w70,w71,w72,w73,w74,w75,w76,w77,w78,w79,w80,w81,w82,w83,w84,w85,w86,w87,w88,w89,w90,w91,w92,w93,w94,w95,w96,w97,w98,w99,w100,w101,w102,w103,w104,w105,w106,w107,w108,w109,w110,w111,w112,w113,w114,w115,w116,w117,w118,w119,w120,w121,w122,w123,w124,w125,w126,w127,w128,w129
GoldS210,XAUUSDc,50,29.9587,44.938,4,1.5436,22.93,498,40.5622,1,5,270,0.015,2.0,1.0,0.0,0.5,15,1,34.635,9,1,0,0,0.25,4,-11.529,56.467,0.0,0.0,0.0,0.0,0.0,1.12,-0.992,0.226,-0.014,-4.0,-1.682,8.791,1.104,-4.0,1.033,-4.001,-3.0,3.727,-1.11,-3.0,-1.673,-0.807,0.948,-3.985,-0.602,0.971,0.521,2.165,-2.006,-5.0,-1.929,-4.0,0.833,-2.001,-0.502,5.486,6.609,2.707,-0.604,1.931,-3.0,3.492,0.121,-2.0,0.034,-1.803,-4.0,4.379,-0.248,-4.007,-1.964,3.598,0.412,-1.826,-1.0,-4.005,-2.007,-0.919,-3.0,1.317,11.633,-1.287,-3.0,14.836,9.157,-0.916,5.516,-0.997,1.016,2.948,8.324,-0.027,-2.0,4.038,0.257,-3.0,-0.766,1.65,-3.0,3.996,-0.909,4.11,-1.911,2.693,0.729,-0.957,-1.0,5.703,-3.008,-0.149,-4.0,-1.905,1.062,-1.81,0.554,9.2,0.116,2.323,0.909,2.176,0.0,1.993,-2.0,1.006,-3.042,3.023,1.497,0.007,3.83,2.11,-2.844,-5.0,0.008,10.454,-1.994,0.079,-2.498,0.018,0.078,-0.929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GoldS210,XAUUSDc,22,-23.0415,-46.083,3,-0.4929,0.0,478,23.2218,1,5,210,0.015,2.0,1.5,0.0,0.5,15,1,-80.171,8,1,0,0,0.1,0,-59.59,13.507,0.0,0.0,0.0,0.0,0.0,1.994,0.089,-4.0,-1.508,-2.999,-3.876,1.757,-0.506,-4.0,-3.0,-4.0,2.776,-3.0,-3.0,-3.0,-3.432,-5.0,4.759,-6.0,-0.64,4.699,-4.999,-3.0,-0.899,-5.0,-4.0,-4.0,-1.339,-1.478,0.406,-1.326,-2.991,4.488,1.062,-0.01,-3.0,3.547,0.851,-1.999,2.173,-4.0,-4.0,6.623,0.061,-3.445,0.674,1.475,-5.999,-1.414,-1.0,-3.001,-1.291,-1.94,-3.0,3.313,-3.413,10.168,-3.0,0.702,-4.0,0.172,-2.337,-1.187,-3.0,-6.0,0.087,-0.508,0.405,4.993,0.251,-3.0,-2.0,-4.0,-2.488,14.312,3.588,-1.25,-3.998,-1.533,1.272,-0.322,-1.0,-4.261,1.517,32.692,-4.0,-0.384,-0.254,-0.428,-6.0,-0.64,-2.0,1.89,-4.0,5.474,0.0,13.208,-2.0,-2.0,-2.557,14.704,2.381,1.729,-2.999,4.274,-5.999,-5.0,1.684,0.026,-1.399,1.438,-6.0,4.415,-4.0,-0.163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GoldS210,XAUUSDc,21,6.152,12.304,3,0.1528,507.22,479,24.0084,1,5,150,0.015,2.0,1.5,0.0,0.5,15,1,-50.104,8,1,0,0,0.1,1,-3.189,15.493,0.0,0.0,0.0,0.0,0.0,2.295,0.089,-4.0,-1.508,-3.0,-4.024,64.512,-0.506,-4.0,0.312,-4.0,2.652,-3.0,-3.0,-3.0,-3.432,-2.568,3.715,-1.805,-0.205,5.556,-3.999,-3.0,-0.899,-5.0,-4.0,-4.0,-1.238,-1.31,4.65,-1.124,-5.999,1.546,1.062,-0.021,-3.0,2.537,1.221,-2.0,2.173,-4.0,-4.0,-1.095,1.509,-3.503,0.328,1.475,-5.999,-1.414,-1.0,-2.901,-1.158,-1.878,-3.0,3.084,0.106,-1.424,-3.0,0.702,-4.0,0.835,1.14,-0.923,-3.0,-6.0,3.016,-0.509,0.253,4.848,0.183,-3.0,-2.0,-3.999,-2.488,4.423,3.857,-1.061,-3.998,5.261,0.734,-0.322,-1.0,-4.261,-1.618,30.088,-4.0,0.042,-0.324,-2.432,-2.24,-0.655,-2.0,1.902,-4.0,5.519,0.0,11.641,-2.0,-2.0,-2.555,14.704,2.537,-1.448,-3.0,4.102,-6.999,-5.0,1.906,0.081,-1.399,1.578,-6.0,4.184,-3.999,6.186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GoldS210,XAUUSDc,16,-24.853,-74.559,2,-0.8106,0.0,486,27.572,1,5,210,0.015,2.3,1.25,0.0,0.5,15,1,-90.303,6,1,0,0,0.1,0,-63.59,-10.969,0.0,0.0,0.0,0.0,0.0,1.621,-0.453,-4.0,-1.756,-2.999,-4.307,0.745,-0.755,-4.0,0.672,-5.0,1.171,-3.0,-3.0,-3.0,-3.73,-0.331,2.788,-6.0,2.563,2.155,-4.998,-3.0,-2.609,-5.0,-4.0,-4.0,-1.661,-1.744,-0.812,1.121,-3.564,1.137,-3.0,-0.519,-3.0,2.552,0.508,-2.0,0.579,-4.0,-4.0,4.688,1.474,-3.758,-1.259,0.954,7.78,-1.689,-1.0,-3.505,-1.755,-2.529,-3.0,2.075,2.607,5.953,-3.0,-0.73,-1.754,-0.408,0.944,-1.568,-3.0,-6.0,-0.515,0.551,0.841,5.266,-1.179,-3.0,-2.0,-4.0,-2.746,12.176,0.228,-1.642,-4.0,-1.784,1.486,-0.618,-1.0,-2.417,0.6,14.092,-4.0,-0.792,-1.14,-0.956,-6.0,-1.25,0.762,0.918,-4.0,4.517,0.0,8.279,-2.0,0.287,-2.8,11.74,0.903,0.946,-0.752,5.451,-6.0,-5.0,1.044,-0.498,-1.644,0.664,-4.764,3.253,-1.754,0.794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GoldS210,XAUUSDc,17,-21.469,-64.407,2,-0.6888,0.0,487,27.3101,1,5,270,0.015,2.3,1.25,0.0,0.5,15,1,-80.151,9,1,0,0,0.1,0,-62.284,-2.123,0.0,0.0,0.0,0.0,0.0,1.443,-0.453,-5.0,-1.755,-3.999,-3.227,1.207,-0.755,-4.0,0.7,-5.0,-3.0,-2.999,-3.0,-3.0,-3.73,-0.057,-1.264,-3.659,-0.594,2.072,-1.893,-3.0,-2.609,-5.0,-4.0,-4.0,-1.714,-1.744,-0.136,1.069,-3.558,0.848,-3.0,4.273,-3.0,12.097,0.44,-2.0,0.579,-4.0,-4.0,1.322,2.814,-3.758,-1.259,0.954,6.731,-1.385,-1.0,-3.503,-1.755,-2.266,-3.0,2.032,-3.746,5.953,-3.0,-0.73,-1.754,-0.338,-0.337,-1.649,0.277,-6.0,-0.515,0.551,-2.0,5.266,-1.341,-3.0,-2.0,-4.0,-2.746,12.176,0.202,0.601,-4.0,-1.774,2.255,-0.618,-1.0,-2.417,-2.757,14.092,-4.0,-1.456,-0.14,-1.097,-6.0,-1.26,0.762,1.073,-3.999,4.517,0.0,17.235,-2.0,2.722,-2.801,11.74,1.02,0.743,5.813,3.686,-6.0,-5.0,0.554,-0.498,-1.644,0.646,-4.764,0.556,-1.753,-0.222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GoldS210,XAUUSDc,26,46.835,93.67,3,1.1899,156.23,481,22.4532,1,5,270,0.015,2.3,1.5,0.0,0.5,15,1,-52.673,16,1,0,0,0.1,1,-65.927,159.597,0.0,0.0,0.0,0.0,0.0,1.765,0.148,-5.0,-1.507,-3.999,-2.745,2.969,-0.506,-4.0,-3.0,-5.0,-3.0,-2.999,-3.0,-3.0,-3.419,-5.0,-0.509,-3.338,1.88,7.503,-1.214,-3.0,1.891,-5.0,-4.0,-4.0,-1.432,-1.475,-1.542,-1.326,-3.058,-2.447,-3.0,6.346,-3.0,16.338,0.758,-2.0,4.831,-4.0,-4.0,2.207,0.806,-3.181,-2.547,1.883,-6.0,-0.954,-1.0,-2.998,-1.143,-1.592,-3.0,4.039,-3.36,10.168,-3.0,4.017,-4.0,0.294,0.408,-1.251,0.538,-6.0,0.599,-0.508,-3.0,5.981,0.214,-3.0,-2.0,-4.0,-2.485,14.451,-4.0,1.304,-4.0,-1.518,2.654,-0.212,-1.0,-4.115,-2.507,144.968,-4.0,-1.035,1.581,-0.305,-6.0,-0.449,-2.0,2.298,-3.999,7.72,0.0,25.221,-2.0,-2.0,-2.558,14.704,6.274,1.4,5.116,2.48,-6.0,-5.0,1.093,0.026,-1.321,1.625,-6.0,1.143,-3.999,-2.418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GoldS210,XAUUSDc,12,-18.5253,-55.576,2,-0.6583,0.0,487,29.1581,1,5,150,0.015,2.0,1.25,0.0,0.5,15,1,-77.39,7,1,0,0,0.1,1,-44.429,-11.147,0.0,0.0,0.0,0.0,0.0,1.842,-0.48,-1.328,-1.756,-3.0,-4.428,22.899,-0.755,-4.0,-0.161,-4.0,0.93,-3.0,-3.0,-3.0,-3.73,-0.442,2.148,-2.508,1.359,2.5,-3.999,-3.0,-2.676,-5.0,-4.0,-4.0,10.174,-1.631,2.555,1.548,-3.905,-2.143,0.114,-0.519,-3.0,1.768,0.784,-2.0,0.408,-4.0,-4.0,-1.511,1.695,-3.757,-1.38,0.741,1.681,-1.716,-1.0,-3.494,-1.692,-2.485,-3.0,1.893,1.039,-2.01,-3.0,-1.231,-1.708,0.071,0.356,-1.398,-3.0,-6.0,1.889,0.519,0.716,5.164,-1.303,-3.0,-2.0,-3.999,-2.747,5.142,0.156,3.851,-3.998,3.778,1.092,-0.663,-1.0,-2.45,1.18,1.893,-4.0,-0.548,-1.294,-2.731,-2.805,1.116,0.574,0.879,-4.0,3.661,0.0,7.111,-2.0,0.287,-2.8,11.74,0.258,-1.718,-0.752,5.01,-6.999,-5.0,1.221,-0.461,-1.698,0.768,-4.764,2.959,1.698,5.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GoldS210,XAUUSDc,52,30.7327,46.099,4,1.5881,24.88,498,40.3614,1,5,210,0.015,2.3,1.0,0.0,0.5,15,1,34.631,10,1,0,0,0.25,4,-7.945,54.044,0.0,0.0,0.0,0.0,0.0,1.24,-0.992,-0.297,-0.014,-3.0,-2.728,10.106,1.171,-4.0,1.023,-4.001,0.367,2.171,-0.98,-3.0,-1.488,-0.983,0.776,-6.0,2.396,0.989,2.616,1.17,-2.004,-5.0,-1.871,-4.0,1.129,-2.001,-0.719,7.656,5.421,2.912,-3.0,-1.016,-3.0,1.639,0.164,-2.0,0.047,-1.94,-4.0,7.655,-1.2,-4.007,-1.948,3.62,0.515,-2.009,-1.0,-4.006,-2.007,-1.113,-3.0,1.339,11.544,-1.287,-3.0,15.692,6.297,-1.006,6.349,-0.968,-1.004,2.948,8.335,-0.021,0.383,4.055,0.4,-3.0,-0.716,1.65,-3.0,3.998,-0.869,1.219,-1.857,2.688,0.331,-0.936,-1.0,1.578,-0.383,1.09,-4.0,-1.354,0.101,-1.721,0.613,9.224,0.189,2.388,0.909,2.264,0.0,0.49,-2.0,1.132,-3.042,3.023,1.63,0.007,5.472,4.564,-2.539,-5.0,0.386,8.603,-1.965,0.091,-2.78,2.119,0.122,-0.135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GoldS210,XAUUSDc,25,23.2283,69.685,2,0.7745,210.01,480,22.0833,1,5,210,0.015,2.3,1.5,0.0,0.5,15,1,-76.658,14,1,0,0,0.1,0,-57.971,127.656,0.0,0.0,0.0,0.0,0.0,2.003,0.148,-4.0,-1.508,-2.999,-3.872,2.3,-0.506,-4.0,-3.0,-5.0,4.361,-3.0,-3.0,-3.0,-3.419,-5.0,4.98,-6.0,1.88,7.638,-4.998,-3.0,1.891,-5.0,-4.0,-4.0,-1.339,-1.475,1.491,-1.294,-2.991,-2.057,-3.0,-0.01,-3.0,3.694,0.851,-2.0,4.831,-4.0,-4.0,6.645,0.826,-3.446,-2.959,1.883,-5.999,-1.37,-1.0,-3.001,-1.143,-1.923,-3.0,4.108,-3.36,10.168,-3.0,4.017,-4.0,0.206,-2.226,-1.134,-3.0,-6.0,0.599,-0.508,0.502,5.173,0.424,-3.0,-2.0,-4.0,-2.485,14.451,-4.0,-1.182,-4.0,-1.533,1.514,-0.212,-1.0,-4.115,-2.2,144.968,-4.0,-0.216,0.413,-0.107,-6.0,-0.434,-2.0,2.091,-4.0,7.72,0.0,13.208,-2.0,-2.0,-2.557,14.704,6.117,1.729,-2.999,4.825,-6.0,-5.0,1.695,0.026,-1.321,1.648,-6.0,5.017,-4.0,-1.162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GoldS210,XAUUSDc,19,-14.8027,-44.408,2,-0.6408,0.0,475,25.0526,1,5,210,0.015,1.7,1.5,0.0,0.5,15,1,-60.112,10,1,0,0,0.1,0,-36.424,-7.984,0.0,0.0,0.0,0.0,0.0,1.994,0.044,-4.0,-1.508,-2.999,-3.887,1.448,-0.507,-4.0,-3.0,-4.0,2.135,-2.999,-3.0,-3.0,2.019,-2.173,4.614,-6.0,-1.793,3.532,-4.999,-3.0,-1.979,-5.0,0.548,-4.0,-1.339,-1.487,-0.133,8.199,-2.992,1.637,0.131,-0.01,-3.0,3.433,0.851,-2.0,1.074,-4.0,-4.0,16.639,-0.385,-3.445,-0.025,1.239,-5.999,-1.459,-1.0,-3.001,-1.392,-1.949,-0.134,2.919,-3.454,10.168,-3.0,-0.683,-4.0,0.15,-2.416,-1.227,0.152,-6.0,-0.213,-0.508,0.345,4.86,0.129,-3.0,-2.0,-3.999,-2.488,14.222,0.039,-0.302,6.378,-1.533,1.12,-0.38,-1.0,-4.367,1.474,6.307,-4.0,-0.495,-0.641,-0.635,-6.0,-0.786,-2.0,1.747,-4.0,4.328,0.0,13.208,-2.0,-2.0,-2.557,14.704,0.855,1.729,-2.999,3.994,-5.999,-5.0,1.684,0.026,-1.424,1.31,-5.999,4.067,-3.999,0.838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
