leg,sym,pass,score,nbpR,segpos,rf,oneop,ops,win,sizing,smaP,slowP,mult,step,tpR,trailR,half,mgmtTF,stack,extop1R,nmonster,addtrig,lineplace,nback,buffer,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,w22,w23,w24,w25,w26,w27,w28,w29,w30,w31,w32,w33,w34,w35,w36,w37,w38,w39,w40,w41,w42,w43,w44,w45,w46,w47,w48,w49,w50,w51,w52,w53,w54,w55,w56,w57,w58,w59,w60,w61,w62,w63,w64,w65,w66,w67,w68,w69,w70,w71,w72,w73,w74,w75,w76,w77,w78,w79,w80,w81,w82,w83,w84,w85,w86,w87,w88,w89,w90,w91,w92,w93,w94,w95,w96,w97,w98,w99,w100,w101,w102,w103,w104,w105,w106,w107,w108,w109,w110,w111,w112,w113,w114,w115,w116,w117,w118,w119,w120,w121,w122,w123,w124,w125,w126,w127,w128,w129
BtcShield,BTCUSDc,15,21.0483,25.258,5,1.5368,7.92,312,36.2179,0,15,0,0.01,1.2,2.0,0.0,0.3,16385,0,23.258,0,0,0,0,0.0,5.964,3.952,-1.027,0.0,-1.0,1.973,0.985,-3.0,1.994,1.954,-0.011,-2.0,-0.039,-3.0,0.975,3.972,1.993,-2.0,-2.006,-3.016,1.936,-1.002,1.981,-2.013,-0.044,1.956,-0.001,-3.001,0.978,-1.0,-3.0,3.957,-0.015,1.943,-4.0,2.99,-2.0,0.972,-2.0,-3.0,-0.05,-2.0,-1.0,0.0,0.0,0.985,-0.045,2.998,-3.0,0.0,0.0,-1.0,1.98,3.971,-1.0,-1.0,0.0,-1.0,1.993,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,1.999,-1.0,0.0,0.0,-1.0,-2.0,0.0,3.985,-1.0,-2.0,0.985,3.975,0.992,3.976,-1.005,2.991,0.936,1.958,-0.026,-1.022,3.965,-2.011,-0.003,-2.0,0.0,1.877,3.953,-2.018,-2.001,1.986,4.953,0.957,-0.001,-4.0,3.97,1.983,-2.005,-0.003,0.0,-1.075,-1.033,-2.0,-4.0,1.94,-1.0,-2.004,-1.015,8.973,2.994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BtcShield,BTCUSDc,17,21.0483,25.258,5,1.5368,7.92,312,36.2179,0,15,0,0.01,1.2,2.0,0.0,0.7,16385,0,23.258,0,0,0,0,0.0,5.964,3.952,-1.027,0.0,-1.0,1.973,0.985,-3.0,1.994,1.954,-0.011,-2.0,-0.039,-3.0,0.975,3.972,1.993,-2.0,-2.006,-3.016,1.936,-1.002,1.981,-2.013,-0.044,1.956,-0.001,-3.001,0.978,-1.0,-3.0,3.957,-0.015,1.943,-4.0,2.99,-2.0,0.972,-2.0,-3.0,-0.05,-2.0,-1.0,0.0,0.0,0.985,-0.045,2.998,-3.0,0.0,0.0,-1.0,1.98,3.971,-1.0,-1.0,0.0,-1.0,1.993,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,1.999,-1.0,0.0,0.0,-1.0,-2.0,0.0,3.985,-1.0,-2.0,0.985,3.975,0.992,3.976,-1.005,2.991,0.936,1.958,-0.026,-1.022,3.965,-2.011,-0.003,-2.0,0.0,1.877,3.953,-2.018,-2.001,1.986,4.953,0.957,-0.001,-4.0,3.97,1.983,-2.005,-0.003,0.0,-1.075,-1.033,-2.0,-4.0,1.94,-1.0,-2.004,-1.015,8.973,2.994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BtcShield,BTCUSDc,12,0.5927,0.889,4,0.0319,196.85,322,36.646,0,15,0,0.01,1.2,1.75,0.0,0.3,16385,0,-0.861,0,0,0,0,0.0,5.219,3.465,-1.274,1.741,0.0,-1.257,0.486,-3.0,1.745,1.457,-0.26,1.476,-0.257,-3.0,0.727,2.475,1.494,-2.0,-2.255,-3.264,1.44,-1.252,0.482,-2.261,-0.281,1.459,-0.25,-3.251,-0.519,-1.25,-3.0,1.211,-0.263,1.445,-4.0,1.492,-2.0,0.725,-2.0,-3.0,-0.289,-2.0,-1.0,0.0,0.0,3.231,-0.29,2.498,-3.0,0.0,0.0,-1.0,1.733,3.474,-1.0,-1.0,0.0,-1.0,1.744,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,1.749,-1.0,0.0,0.0,-1.0,-2.0,1.74,1.747,-1.0,-2.0,0.736,3.478,0.743,3.48,-1.254,2.244,-0.562,1.46,-1.273,-1.269,3.218,-2.259,-0.253,-2.0,0.0,1.63,3.205,-2.266,-2.251,1.487,4.208,0.459,-1.251,-4.0,3.224,1.484,-0.512,-1.252,0.0,-1.572,-1.28,-2.0,-4.0,3.171,-1.0,1.735,0.737,5.968,2.494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BtcShield,BTCUSDc,16,21.0483,25.258,5,1.5368,7.92,312,36.2179,0,15,0,0.01,1.2,2.0,0.0,0.5,16385,0,23.258,0,0,0,0,0.0,5.964,3.952,-1.027,0.0,-1.0,1.973,0.985,-3.0,1.994,1.954,-0.011,-2.0,-0.039,-3.0,0.975,3.972,1.993,-2.0,-2.006,-3.016,1.936,-1.002,1.981,-2.013,-0.044,1.956,-0.001,-3.001,0.978,-1.0,-3.0,3.957,-0.015,1.943,-4.0,2.99,-2.0,0.972,-2.0,-3.0,-0.05,-2.0,-1.0,0.0,0.0,0.985,-0.045,2.998,-3.0,0.0,0.0,-1.0,1.98,3.971,-1.0,-1.0,0.0,-1.0,1.993,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,1.999,-1.0,0.0,0.0,-1.0,-2.0,0.0,3.985,-1.0,-2.0,0.985,3.975,0.992,3.976,-1.005,2.991,0.936,1.958,-0.026,-1.022,3.965,-2.011,-0.003,-2.0,0.0,1.877,3.953,-2.018,-2.001,1.986,4.953,0.957,-0.001,-4.0,3.97,1.983,-2.005,-0.003,0.0,-1.075,-1.033,-2.0,-4.0,1.94,-1.0,-2.004,-1.015,8.973,2.994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BtcShield,BTCUSDc,13,0.5927,0.889,4,0.0319,196.85,322,36.646,0,15,0,0.01,1.2,1.75,0.0,0.5,16385,0,-0.861,0,0,0,0,0.0,5.219,3.465,-1.274,1.741,0.0,-1.257,0.486,-3.0,1.745,1.457,-0.26,1.476,-0.257,-3.0,0.727,2.475,1.494,-2.0,-2.255,-3.264,1.44,-1.252,0.482,-2.261,-0.281,1.459,-0.25,-3.251,-0.519,-1.25,-3.0,1.211,-0.263,1.445,-4.0,1.492,-2.0,0.725,-2.0,-3.0,-0.289,-2.0,-1.0,0.0,0.0,3.231,-0.29,2.498,-3.0,0.0,0.0,-1.0,1.733,3.474,-1.0,-1.0,0.0,-1.0,1.744,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,1.749,-1.0,0.0,0.0,-1.0,-2.0,1.74,1.747,-1.0,-2.0,0.736,3.478,0.743,3.48,-1.254,2.244,-0.562,1.46,-1.273,-1.269,3.218,-2.259,-0.253,-2.0,0.0,1.63,3.205,-2.266,-2.251,1.487,4.208,0.459,-1.251,-4.0,3.224,1.484,-0.512,-1.252,0.0,-1.572,-1.28,-2.0,-4.0,3.171,-1.0,1.735,0.737,5.968,2.494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BtcShield,BTCUSDc,14,0.5927,0.889,4,0.0319,196.85,322,36.646,0,15,0,0.01,1.2,1.75,0.0,0.7,16385,0,-0.861,0,0,0,0,0.0,5.219,3.465,-1.274,1.741,0.0,-1.257,0.486,-3.0,1.745,1.457,-0.26,1.476,-0.257,-3.0,0.727,2.475,1.494,-2.0,-2.255,-3.264,1.44,-1.252,0.482,-2.261,-0.281,1.459,-0.25,-3.251,-0.519,-1.25,-3.0,1.211,-0.263,1.445,-4.0,1.492,-2.0,0.725,-2.0,-3.0,-0.289,-2.0,-1.0,0.0,0.0,3.231,-0.29,2.498,-3.0,0.0,0.0,-1.0,1.733,3.474,-1.0,-1.0,0.0,-1.0,1.744,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,1.749,-1.0,0.0,0.0,-1.0,-2.0,1.74,1.747,-1.0,-2.0,0.736,3.478,0.743,3.48,-1.254,2.244,-0.562,1.46,-1.273,-1.269,3.218,-2.259,-0.253,-2.0,0.0,1.63,3.205,-2.266,-2.251,1.487,4.208,0.459,-1.251,-4.0,3.224,1.484,-0.512,-1.252,0.0,-1.572,-1.28,-2.0,-4.0,3.171,-1.0,1.735,0.737,5.968,2.494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BtcShield,BTCUSDc,0,-0.896,-1.792,3,-0.0905,0.0,459,57.0806,0,15,0,0.01,1.2,0.75,0.0,0.3,16385,0,-2.542,0,0,0,0,0.0,2.237,2.234,2.719,0.0,-0.256,1.983,0.733,-0.521,0.748,1.234,-1.254,-1.504,-1.253,-1.253,-0.508,1.241,1.994,-1.252,-0.759,-2.514,-0.767,1.246,-0.015,-2.509,2.721,1.241,0.499,-4.25,-1.763,1.247,0.496,0.72,0.989,-2.253,-2.503,-0.009,-1.261,0.233,-2.0,-1.256,-2.27,-0.259,-0.268,1.981,0.492,1.99,-0.514,0.5,0.488,-0.258,0.727,0.0,0.479,0.212,1.492,-1.0,0.0,1.493,2.962,0.743,0.736,0.0,0.74,0.74,0.74,-1.0,0.0,0.0,-1.0,-1.0,0.0,0.75,-2.0,0.0,0.0,0.749,-0.256,0.242,0.744,-0.26,-1.262,-0.25,0.49,0.49,3.723,-2.509,-0.009,-1.507,1.726,4.469,0.21,0.731,0.242,1.246,-1.771,-1.517,1.201,-0.763,-3.257,-3.501,-1.506,0.232,-0.008,1.957,0.233,3.481,-0.766,-1.507,-0.506,1.236,-4.252,0.232,-2.756,-3.255,0.728,1.241,-0.503,-0.256,1.734,0.497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BtcShield,BTCUSDc,5,12.2767,18.415,4,1.216,5.43,434,52.3041,0,15,0,0.01,1.2,1.0,0.0,0.7,16385,0,17.415,0,0,0,0,0.0,2.982,2.979,-2.014,0.995,-0.014,2.976,1.977,-0.029,0.997,-0.013,-1.005,-1.005,-1.004,-1.004,-0.01,1.988,1.996,-0.007,-3.003,-2.018,-0.023,-0.001,0.979,-2.011,3.961,-0.013,0.999,-4.0,-1.016,0.0,0.995,1.965,2.985,-2.004,-3.002,-0.011,-1.014,0.976,-2.0,-3.0,-1.025,-0.009,-0.024,1.985,1.98,2.986,-1.027,1.0,-3.0,-0.01,0.0,-1.0,-0.01,-1.041,1.99,-1.0,0.0,1.99,2.979,0.0,0.955,0.0,0.987,0.987,0.987,-1.0,0.0,0.0,-1.0,-1.0,0.0,0.999,-2.0,0.0,0.0,0.998,-0.014,-0.01,0.992,-0.013,-0.013,0.0,0.988,0.98,4.965,-2.011,-0.004,-1.01,2.969,0.972,0.953,2.978,-1.009,1.994,-1.016,-2.046,0.976,1.951,-3.009,-2.002,-1.007,0.975,1.99,1.957,1.973,4.965,-0.017,-3.003,-1.001,-0.008,-4.003,1.956,-5.005,-3.053,1.973,1.988,-2.003,-0.008,1.982,0.997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BtcShield,BTCUSDc,1,-0.896,-1.792,3,-0.0905,0.0,459,57.0806,0,15,0,0.01,1.2,0.75,0.0,0.5,16385,0,-2.542,0,0,0,0,0.0,2.237,2.234,2.719,0.0,-0.256,1.983,0.733,-0.521,0.748,1.234,-1.254,-1.504,-1.253,-1.253,-0.508,1.241,1.994,-1.252,-0.759,-2.514,-0.767,1.246,-0.015,-2.509,2.721,1.241,0.499,-4.25,-1.763,1.247,0.496,0.72,0.989,-2.253,-2.503,-0.009,-1.261,0.233,-2.0,-1.256,-2.27,-0.259,-0.268,1.981,0.492,1.99,-0.514,0.5,0.488,-0.258,0.727,0.0,0.479,0.212,1.492,-1.0,0.0,1.493,2.962,0.743,0.736,0.0,0.74,0.74,0.74,-1.0,0.0,0.0,-1.0,-1.0,0.0,0.75,-2.0,0.0,0.0,0.749,-0.256,0.242,0.744,-0.26,-1.262,-0.25,0.49,0.49,3.723,-2.509,-0.009,-1.507,1.726,4.469,0.21,0.731,0.242,1.246,-1.771,-1.517,1.201,-0.763,-3.257,-3.501,-1.506,0.232,-0.008,1.957,0.233,3.481,-0.766,-1.507,-0.506,1.236,-4.252,0.232,-2.756,-3.255,0.728,1.241,-0.503,-0.256,1.734,0.497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BtcShield,BTCUSDc,3,12.2767,18.415,4,1.216,5.43,434,52.3041,0,15,0,0.01,1.2,1.0,0.0,0.3,16385,0,17.415,0,0,0,0,0.0,2.982,2.979,-2.014,0.995,-0.014,2.976,1.977,-0.029,0.997,-0.013,-1.005,-1.005,-1.004,-1.004,-0.01,1.988,1.996,-0.007,-3.003,-2.018,-0.023,-0.001,0.979,-2.011,3.961,-0.013,0.999,-4.0,-1.016,0.0,0.995,1.965,2.985,-2.004,-3.002,-0.011,-1.014,0.976,-2.0,-3.0,-1.025,-0.009,-0.024,1.985,1.98,2.986,-1.027,1.0,-3.0,-0.01,0.0,-1.0,-0.01,-1.041,1.99,-1.0,0.0,1.99,2.979,0.0,0.955,0.0,0.987,0.987,0.987,-1.0,0.0,0.0,-1.0,-1.0,0.0,0.999,-2.0,0.0,0.0,0.998,-0.014,-0.01,0.992,-0.013,-0.013,0.0,0.988,0.98,4.965,-2.011,-0.004,-1.01,2.969,0.972,0.953,2.978,-1.009,1.994,-1.016,-2.046,0.976,1.951,-3.009,-2.002,-1.007,0.975,1.99,1.957,1.973,4.965,-0.017,-3.003,-1.001,-0.008,-4.003,1.956,-5.005,-3.053,1.973,1.988,-2.003,-0.008,1.982,0.997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
