leg,sym,pass,score,nbpR,segpos,rf,oneop,ops,win,sizing,smaP,slowP,mult,step,tpR,trailR,half,mgmtTF,stack,extop1R,nmonster,addtrig,lineplace,nback,buffer,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,w22,w23,w24,w25,w26,w27,w28,w29,w30,w31,w32,w33,w34,w35,w36,w37,w38,w39,w40,w41,w42,w43,w44,w45,w46,w47,w48,w49,w50,w51,w52,w53,w54,w55,w56,w57,w58,w59,w60,w61,w62,w63,w64,w65,w66,w67,w68,w69,w70,w71,w72,w73,w74,w75,w76,w77,w78,w79,w80,w81,w82,w83,w84,w85,w86,w87,w88,w89,w90,w91,w92,w93,w94,w95,w96,w97,w98,w99,w100,w101,w102,w103,w104,w105,w106,w107,w108,w109,w110,w111,w112,w113,w114,w115,w116,w117,w118,w119,w120,w121,w122,w123,w124,w125,w126,w127,w128,w129
BtcShield,BTCUSDc,0,16.9553,25.433,4,1.3239,47.58,353,37.1105,0,15,0,0.01,1.2,0.0,1.5,0.3,16385,0,13.332,4,0,0,0,0.0,11.781,2.425,-1.516,0.353,-0.344,1.193,4.426,-2.408,1.339,-0.298,0.095,-2.0,0.211,-3.071,0.632,1.481,2.41,-0.274,-2.222,-3.247,-1.024,-0.424,-1.64,5.071,2.845,-0.72,-1.143,-1.646,-0.382,-1.606,-1.215,2.772,2.602,-1.287,-4.0,3.585,-2.0,3.018,-2.0,-2.557,1.016,-1.363,-0.923,-0.575,0.83,5.31,-2.626,-0.01,0.367,-0.274,0.0,-0.695,-0.191,-2.067,0.45,-1.0,0.0,-0.773,2.262,-0.008,2.549,0.0,0.0,0.386,0.0,-1.463,0.0,0.0,-1.0,-1.0,0.0,5.017,-2.0,0.0,0.0,0.102,-1.257,-0.749,0.0,-0.599,0.053,0.596,3.046,3.561,3.497,-0.826,1.085,2.761,-0.488,6.086,0.01,0.0,-1.332,5.346,-1.163,-2.396,1.232,0.392,-1.38,-0.878,2.693,5.904,-2.047,-0.815,-2.415,5.98,-1.83,-1.037,-2.476,1.624,-1.2,-1.507,-4.115,-4.418,-1.742,-1.027,1.072,-1.537,5.68,0.513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BtcShield,BTCUSDc,2,16.9553,25.433,4,1.3239,47.58,353,37.1105,0,15,0,0.01,1.2,0.0,1.5,0.7,16385,0,13.332,4,0,0,0,0.0,11.781,2.425,-1.516,0.353,-0.344,1.193,4.426,-2.408,1.339,-0.298,0.095,-2.0,0.211,-3.071,0.632,1.481,2.41,-0.274,-2.222,-3.247,-1.024,-0.424,-1.64,5.071,2.845,-0.72,-1.143,-1.646,-0.382,-1.606,-1.215,2.772,2.602,-1.287,-4.0,3.585,-2.0,3.018,-2.0,-2.557,1.016,-1.363,-0.923,-0.575,0.83,5.31,-2.626,-0.01,0.367,-0.274,0.0,-0.695,-0.191,-2.067,0.45,-1.0,0.0,-0.773,2.262,-0.008,2.549,0.0,0.0,0.386,0.0,-1.463,0.0,0.0,-1.0,-1.0,0.0,5.017,-2.0,0.0,0.0,0.102,-1.257,-0.749,0.0,-0.599,0.053,0.596,3.046,3.561,3.497,-0.826,1.085,2.761,-0.488,6.086,0.01,0.0,-1.332,5.346,-1.163,-2.396,1.232,0.392,-1.38,-0.878,2.693,5.904,-2.047,-0.815,-2.415,5.98,-1.83,-1.037,-2.476,1.624,-1.2,-1.507,-4.115,-4.418,-1.742,-1.027,1.072,-1.537,5.68,0.513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BtcShield,BTCUSDc,1,16.9553,25.433,4,1.3239,47.58,353,37.1105,0,15,0,0.01,1.2,0.0,1.5,0.5,16385,0,13.332,4,0,0,0,0.0,11.781,2.425,-1.516,0.353,-0.344,1.193,4.426,-2.408,1.339,-0.298,0.095,-2.0,0.211,-3.071,0.632,1.481,2.41,-0.274,-2.222,-3.247,-1.024,-0.424,-1.64,5.071,2.845,-0.72,-1.143,-1.646,-0.382,-1.606,-1.215,2.772,2.602,-1.287,-4.0,3.585,-2.0,3.018,-2.0,-2.557,1.016,-1.363,-0.923,-0.575,0.83,5.31,-2.626,-0.01,0.367,-0.274,0.0,-0.695,-0.191,-2.067,0.45,-1.0,0.0,-0.773,2.262,-0.008,2.549,0.0,0.0,0.386,0.0,-1.463,0.0,0.0,-1.0,-1.0,0.0,5.017,-2.0,0.0,0.0,0.102,-1.257,-0.749,0.0,-0.599,0.053,0.596,3.046,3.561,3.497,-0.826,1.085,2.761,-0.488,6.086,0.01,0.0,-1.332,5.346,-1.163,-2.396,1.232,0.392,-1.38,-0.878,2.693,5.904,-2.047,-0.815,-2.415,5.98,-1.83,-1.037,-2.476,1.624,-1.2,-1.507,-4.115,-4.418,-1.742,-1.027,1.072,-1.537,5.68,0.513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BtcShield,BTCUSDc,6,52.1617,62.594,5,4.4915,19.19,237,30.8017,0,15,0,0.01,1.2,0.0,2.5,0.3,16385,0,50.582,13,0,0,0,0.0,10.103,9.085,-3.563,0.0,-1.641,0.031,2.038,-3.0,3.176,1.723,0.092,-2.0,1.776,0.0,0.0,-0.222,0.0,2.391,-3.642,-5.228,0.0,0.379,0.006,1.384,1.306,-0.633,-0.62,3.575,-0.613,4.973,1.71,2.662,1.098,2.662,-4.0,2.156,-2.0,2.817,-2.0,-3.0,0.035,-2.0,-1.0,0.0,0.0,2.127,-0.263,-1.009,2.474,-0.274,0.0,-1.0,0.77,0.0,0.0,0.0,0.227,-1.0,0.752,0.0,-0.999,0.0,0.0,7.225,0.0,0.0,1.232,0.0,-1.0,-1.0,0.0,4.017,-2.0,0.0,0.0,-0.896,-2.0,0.0,0.0,0.0,0.29,-1.468,1.059,8.905,0.0,8.023,-0.756,-0.017,-2.393,2.046,11.293,0.0,-3.315,-0.985,-2.0,0.0,0.0,1.052,4.326,5.197,0.584,5.335,-3.006,-2.829,-3.804,3.476,1.968,2.609,-2.0,-0.973,2.001,0.452,-2.0,-4.0,0.589,-0.819,-2.6,-1.0,11.386,-1.431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BtcShield,BTCUSDc,9,31.3992,37.679,5,2.3978,32.15,213,26.7606,0,15,0,0.01,1.2,0.0,3.0,0.3,16385,0,25.565,12,0,0,0,0.0,9.604,8.091,-2.125,0.0,0.0,-3.925,0.817,-3.0,2.677,1.224,0.0,0.0,3.016,0.0,0.0,-0.716,0.0,3.7,-4.141,-5.901,0.0,-0.115,-0.492,0.39,0.31,-2.13,5.678,3.075,0.0,2.358,0.0,8.167,3.865,2.162,-4.0,1.657,-2.0,3.324,-2.0,-3.0,-0.456,-2.0,-1.0,0.0,0.0,1.571,-0.754,-0.509,9.114,-0.788,0.0,-1.0,0.275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.213,0.0,0.0,0.0,0.0,1.483,0.0,0.0,-1.0,-1.0,0.0,3.518,-2.0,0.0,0.0,-1.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.207,0.0,7.525,-1.754,1.213,5.081,-2.915,1.889,0.0,-1.712,-1.484,-2.0,0.0,0.0,0.0,0.0,-0.575,-3.0,12.134,-3.506,-3.532,-4.0,2.48,0.943,5.434,-2.0,-1.472,0.99,0.957,-2.0,-4.0,0.092,-1.0,-2.1,-1.0,10.39,-1.429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BtcShield,BTCUSDc,10,31.3992,37.679,5,2.3978,32.15,213,26.7606,0,15,0,0.01,1.2,0.0,3.0,0.5,16385,0,25.565,12,0,0,0,0.0,9.604,8.091,-2.125,0.0,0.0,-3.925,0.817,-3.0,2.677,1.224,0.0,0.0,3.016,0.0,0.0,-0.716,0.0,3.7,-4.141,-5.901,0.0,-0.115,-0.492,0.39,0.31,-2.13,5.678,3.075,0.0,2.358,0.0,8.167,3.865,2.162,-4.0,1.657,-2.0,3.324,-2.0,-3.0,-0.456,-2.0,-1.0,0.0,0.0,1.571,-0.754,-0.509,9.114,-0.788,0.0,-1.0,0.275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.213,0.0,0.0,0.0,0.0,1.483,0.0,0.0,-1.0,-1.0,0.0,3.518,-2.0,0.0,0.0,-1.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.207,0.0,7.525,-1.754,1.213,5.081,-2.915,1.889,0.0,-1.712,-1.484,-2.0,0.0,0.0,0.0,0.0,-0.575,-3.0,12.134,-3.506,-3.532,-4.0,2.48,0.943,5.434,-2.0,-1.472,0.99,0.957,-2.0,-4.0,0.092,-1.0,-2.1,-1.0,10.39,-1.429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BtcShield,BTCUSDc,3,37.295,44.754,5,2.9163,25.92,291,34.7079,0,15,0,0.01,1.2,0.0,2.0,0.3,16385,0,33.152,10,0,0,0,0.0,10.789,2.68,-3.04,0.0,-0.144,-2.328,2.531,-2.906,2.205,-0.797,0.586,-2.0,1.275,-2.735,0.355,1.11,0.0,3.409,-3.144,-4.238,1.238,-1.193,0.304,2.378,4.043,0.616,-0.267,-2.146,-1.232,-3.017,-2.137,3.838,5.247,-1.918,-4.0,2.79,-2.0,3.31,-1.844,-3.0,0.525,-1.863,-1.521,-0.893,-0.025,9.484,0.228,-0.51,2.974,0.231,0.0,-1.0,1.265,-2.317,1.511,0.0,1.453,-0.565,1.266,-0.503,0.0,0.0,3.628,-0.107,0.0,0.0,1.726,0.0,-1.0,-1.0,0.0,4.517,-2.0,0.0,0.0,-0.397,-1.753,0.0,0.0,0.0,0.787,-0.968,2.052,6.874,-0.482,7.493,0.242,1.267,-2.169,2.503,9.586,0.0,-2.799,-0.203,-1.656,-2.485,2.655,-0.702,1.354,0.303,1.083,5.698,-3.044,-1.811,-0.172,4.479,-0.826,2.607,-2.0,0.164,-2.111,-2.511,-2.0,-3.752,0.261,-0.525,0.0,-0.872,8.979,-0.517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BtcShield,BTCUSDc,5,37.295,44.754,5,2.9163,25.92,291,34.7079,0,15,0,0.01,1.2,0.0,2.0,0.7,16385,0,33.152,10,0,0,0,0.0,10.789,2.68,-3.04,0.0,-0.144,-2.328,2.531,-2.906,2.205,-0.797,0.586,-2.0,1.275,-2.735,0.355,1.11,0.0,3.409,-3.144,-4.238,1.238,-1.193,0.304,2.378,4.043,0.616,-0.267,-2.146,-1.232,-3.017,-2.137,3.838,5.247,-1.918,-4.0,2.79,-2.0,3.31,-1.844,-3.0,0.525,-1.863,-1.521,-0.893,-0.025,9.484,0.228,-0.51,2.974,0.231,0.0,-1.0,1.265,-2.317,1.511,0.0,1.453,-0.565,1.266,-0.503,0.0,0.0,3.628,-0.107,0.0,0.0,1.726,0.0,-1.0,-1.0,0.0,4.517,-2.0,0.0,0.0,-0.397,-1.753,0.0,0.0,0.0,0.787,-0.968,2.052,6.874,-0.482,7.493,0.242,1.267,-2.169,2.503,9.586,0.0,-2.799,-0.203,-1.656,-2.485,2.655,-0.702,1.354,0.303,1.083,5.698,-3.044,-1.811,-0.172,4.479,-0.826,2.607,-2.0,0.164,-2.111,-2.511,-2.0,-3.752,0.261,-0.525,0.0,-0.872,8.979,-0.517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BtcShield,BTCUSDc,8,52.1617,62.594,5,4.4915,19.19,237,30.8017,0,15,0,0.01,1.2,0.0,2.5,0.7,16385,0,50.582,13,0,0,0,0.0,10.103,9.085,-3.563,0.0,-1.641,0.031,2.038,-3.0,3.176,1.723,0.092,-2.0,1.776,0.0,0.0,-0.222,0.0,2.391,-3.642,-5.228,0.0,0.379,0.006,1.384,1.306,-0.633,-0.62,3.575,-0.613,4.973,1.71,2.662,1.098,2.662,-4.0,2.156,-2.0,2.817,-2.0,-3.0,0.035,-2.0,-1.0,0.0,0.0,2.127,-0.263,-1.009,2.474,-0.274,0.0,-1.0,0.77,0.0,0.0,0.0,0.227,-1.0,0.752,0.0,-0.999,0.0,0.0,7.225,0.0,0.0,1.232,0.0,-1.0,-1.0,0.0,4.017,-2.0,0.0,0.0,-0.896,-2.0,0.0,0.0,0.0,0.29,-1.468,1.059,8.905,0.0,8.023,-0.756,-0.017,-2.393,2.046,11.293,0.0,-3.315,-0.985,-2.0,0.0,0.0,1.052,4.326,5.197,0.584,5.335,-3.006,-2.829,-3.804,3.476,1.968,2.609,-2.0,-0.973,2.001,0.452,-2.0,-4.0,0.589,-0.819,-2.6,-1.0,11.386,-1.431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BtcShield,BTCUSDc,4,37.295,44.754,5,2.9163,25.92,291,34.7079,0,15,0,0.01,1.2,0.0,2.0,0.5,16385,0,33.152,10,0,0,0,0.0,10.789,2.68,-3.04,0.0,-0.144,-2.328,2.531,-2.906,2.205,-0.797,0.586,-2.0,1.275,-2.735,0.355,1.11,0.0,3.409,-3.144,-4.238,1.238,-1.193,0.304,2.378,4.043,0.616,-0.267,-2.146,-1.232,-3.017,-2.137,3.838,5.247,-1.918,-4.0,2.79,-2.0,3.31,-1.844,-3.0,0.525,-1.863,-1.521,-0.893,-0.025,9.484,0.228,-0.51,2.974,0.231,0.0,-1.0,1.265,-2.317,1.511,0.0,1.453,-0.565,1.266,-0.503,0.0,0.0,3.628,-0.107,0.0,0.0,1.726,0.0,-1.0,-1.0,0.0,4.517,-2.0,0.0,0.0,-0.397,-1.753,0.0,0.0,0.0,0.787,-0.968,2.052,6.874,-0.482,7.493,0.242,1.267,-2.169,2.503,9.586,0.0,-2.799,-0.203,-1.656,-2.485,2.655,-0.702,1.354,0.303,1.083,5.698,-3.044,-1.811,-0.172,4.479,-0.826,2.607,-2.0,0.164,-2.111,-2.511,-2.0,-3.752,0.261,-0.525,0.0,-0.872,8.979,-0.517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
