leg,sym,pass,score,nbpR,segpos,rf,oneop,ops,win,sizing,smaP,slowP,mult,step,tpR,trailR,half,mgmtTF,stack,extop1R,nmonster,addtrig,lineplace,nback,buffer,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,w22,w23,w24,w25,w26,w27,w28,w29,w30,w31,w32,w33,w34,w35,w36,w37,w38,w39,w40,w41,w42,w43,w44,w45,w46,w47,w48,w49,w50,w51,w52,w53,w54,w55,w56,w57,w58,w59,w60,w61,w62,w63,w64,w65,w66,w67,w68,w69,w70,w71,w72,w73,w74,w75,w76,w77,w78,w79,w80,w81,w82,w83,w84,w85,w86,w87,w88,w89,w90,w91,w92,w93,w94,w95,w96,w97,w98,w99,w100,w101,w102,w103,w104,w105,w106,w107,w108,w109,w110,w111,w112,w113,w114,w115,w116,w117,w118,w119,w120,w121,w122,w123,w124,w125,w126,w127,w128,w129
BtcGF,BTCUSDc,20,28.564,42.846,4,1.8633,61.92,302,30.4636,1,21,150,0.015,1.5,0.0,2.0,0.5,16385,1,16.315,14,0,0,0,0.0,10.789,2.68,-3.04,-1.0,0.0,-2.354,2.531,-2.906,2.205,-0.797,-0.312,-2.0,-0.478,-2.735,0.299,-0.868,4.481,-2.282,-3.144,-4.238,0.796,-2.532,0.304,2.151,1.961,-0.135,0.512,-2.146,-2.096,-3.017,-2.155,6.361,9.005,-1.918,-4.0,1.744,-2.0,3.31,-1.951,-3.0,0.567,-1.863,-1.521,-1.42,-1.854,10.659,-0.341,-0.51,2.974,0.0,-1.0,0.0,1.307,1.528,0.615,-1.0,0.0,-0.565,0.352,-0.52,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,4.517,-1.0,0.0,0.0,-0.397,-1.753,-2.0,1.331,-1.0,-2.0,-0.968,1.888,8.311,-0.841,25.531,-1.114,0.236,-2.186,1.459,9.976,-1.542,0.196,-0.486,-1.788,-4.0,1.58,-1.382,1.227,3.666,2.083,6.694,-4.351,-2.811,5.039,2.804,-1.931,2.643,-2.0,-0.853,-2.111,-2.538,-2.0,-3.964,-0.2,-0.535,-1.0,-1.479,8.979,-0.517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BtcGF,BTCUSDc,14,104.9167,125.9,5,7.3781,51.59,299,30.7692,1,21,210,0.015,1.3,0.0,2.0,0.5,16385,1,60.947,14,0,0,0,0.0,10.789,2.68,-3.04,0.0,-0.765,-2.354,2.531,-2.906,2.205,-0.797,-0.893,-2.0,0.508,-2.735,-1.691,0.275,0.0,22.329,-3.144,-4.238,1.151,-1.542,0.304,1.699,1.961,-0.135,0.215,-2.146,-3.115,-3.017,-2.155,8.259,10.021,-1.918,-4.0,2.048,-2.0,3.31,-1.951,-3.0,8.759,-1.863,-1.521,-0.958,-1.502,10.963,0.027,-0.51,2.974,0.0,-1.0,0.0,1.307,1.528,0.615,-1.0,0.0,-0.565,0.352,-0.52,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,4.517,-1.0,0.0,0.0,-0.397,-1.753,-2.0,1.331,-1.0,-1.477,-0.968,2.036,9.649,-1.357,13.088,-1.259,0.236,-2.186,-0.424,9.354,0.972,0.196,3.7,-2.676,-4.0,1.58,-1.08,1.283,61.953,2.083,6.694,-4.506,-2.811,5.039,1.144,-1.931,2.643,-2.0,0.129,-2.111,-2.52,-2.0,-3.784,0.235,-0.535,0.0,-2.478,8.979,-0.517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BtcGF,BTCUSDc,15,60.276,90.414,4,3.9263,27.93,303,29.3729,1,9,270,0.015,1.3,0.0,2.0,0.5,16385,1,65.161,14,0,0,0,0.0,10.789,2.68,-3.04,0.0,-0.781,-2.406,2.517,-2.934,2.205,-0.797,-2.0,-2.0,1.123,-2.735,0.321,0.352,0.0,12.35,11.312,-5.291,1.191,-2.33,0.304,1.76,1.961,-2.0,0.121,-2.146,-3.769,-3.017,-2.155,-1.808,2.069,-1.918,-4.0,22.909,-2.0,3.367,-1.968,-3.0,23.253,-1.885,-1.521,-1.017,-0.992,11.691,0.158,-0.51,2.974,0.0,-1.0,0.0,1.262,1.31,0.615,-1.0,0.0,-0.565,0.352,-0.541,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,4.517,-1.0,0.0,0.0,-0.397,-1.753,-2.0,1.331,-1.999,-2.0,-0.984,1.944,21.246,-0.523,9.754,0.223,0.076,-2.222,-1.359,9.56,0.376,-0.418,3.7,-1.689,-4.0,1.58,-0.909,1.28,-3.641,2.08,6.721,-3.514,-3.811,5.354,6.836,-1.993,-1.074,-2.0,0.142,-2.111,-2.539,-2.0,-3.784,0.154,-0.696,0.0,-2.284,8.979,-0.559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BtcGF,BTCUSDc,25,89.105,106.926,5,6.8319,23.92,300,31.0,1,15,270,0.015,1.5,0.0,2.0,0.5,16385,1,81.353,14,0,0,0,0.0,10.789,2.68,-3.04,0.0,-0.652,-2.383,2.517,-2.906,2.205,-0.797,-2.0,-2.0,0.989,-2.735,0.319,1.147,0.0,14.848,4.819,-5.288,1.211,-1.298,0.304,1.687,1.961,-0.135,0.153,-2.146,-3.769,-3.017,-2.137,12.505,1.784,-1.918,-4.0,22.318,-2.0,3.31,-1.925,-3.0,23.573,-1.876,-1.521,-1.024,-1.0,11.989,0.182,-0.51,2.974,0.0,-1.0,0.0,1.307,1.528,0.615,-1.0,0.0,-0.565,0.352,-0.521,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,4.517,-1.0,0.0,0.0,-0.397,-1.753,-2.0,1.331,-1.0,-1.459,-0.984,1.999,16.29,-0.537,9.548,0.224,0.175,-2.222,-1.038,9.097,0.332,0.196,3.7,-1.688,-3.528,1.58,-0.921,1.252,-3.641,2.083,6.692,-4.506,-2.811,5.066,6.97,-1.993,2.638,-2.0,0.13,-2.111,-2.52,-2.0,-3.774,0.287,-0.678,0.0,-0.985,8.979,-0.517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BtcGF,BTCUSDc,23,105.6333,126.76,5,7.4159,51.67,299,30.7692,1,21,210,0.015,1.5,0.0,2.0,0.5,16385,1,61.264,14,0,0,0,0.0,10.789,2.68,-3.04,0.0,-0.765,-2.354,2.531,-2.906,2.205,-0.797,-0.893,-2.0,0.508,-2.735,-1.701,0.275,0.0,22.742,-3.144,-4.238,1.151,-1.534,0.304,1.699,1.961,-0.135,0.215,-2.146,-3.115,-3.017,-2.155,8.259,10.018,-1.918,-4.0,2.048,-2.0,3.31,-1.951,-3.0,8.759,-1.863,-1.521,-0.958,-1.517,10.988,0.027,-0.51,2.974,0.0,-1.0,0.0,1.307,1.528,0.615,-1.0,0.0,-0.565,0.352,-0.52,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,4.517,-1.0,0.0,0.0,-0.397,-1.753,-2.0,1.331,-1.0,-1.477,-0.968,2.036,9.649,-1.357,13.088,-1.259,0.236,-2.186,-0.452,9.354,0.928,0.196,3.7,-2.676,-4.0,1.58,-1.08,1.283,62.496,2.083,6.694,-4.506,-2.811,5.039,1.144,-1.931,2.643,-2.0,0.117,-2.111,-2.52,-2.0,-3.784,0.218,-0.535,0.0,-2.478,8.979,-0.517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BtcGF,BTCUSDc,16,89.1958,107.035,5,6.8797,23.89,300,31.0,1,15,270,0.015,1.3,0.0,2.0,0.5,16385,1,81.462,14,0,0,0,0.0,10.789,2.68,-3.04,0.0,-0.652,-2.383,2.517,-2.906,2.205,-0.797,-2.0,-2.0,0.989,-2.735,0.319,1.147,0.0,14.763,4.819,-5.288,1.211,-1.265,0.304,1.687,1.961,-0.135,0.161,-2.146,-3.769,-3.017,-2.137,12.505,1.792,-1.918,-4.0,22.318,-2.0,3.31,-1.925,-3.0,23.573,-1.876,-1.521,-1.0,-1.0,11.954,0.215,-0.51,2.974,0.0,-1.0,0.0,1.307,1.528,0.615,-1.0,0.0,-0.565,0.352,-0.521,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,4.517,-1.0,0.0,0.0,-0.397,-1.753,-2.0,1.331,-1.0,-1.459,-0.984,1.999,16.29,-0.537,9.526,0.224,0.198,-2.222,-1.038,9.097,0.362,0.196,3.7,-1.688,-3.528,1.58,-0.921,1.252,-3.642,2.083,6.692,-4.506,-2.811,5.066,6.97,-1.993,2.638,-2.0,0.142,-2.111,-2.52,-2.0,-3.774,0.32,-0.678,0.0,-0.937,8.979,-0.517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BtcGF,BTCUSDc,27,101.328,101.328,6,4.9766,34.39,279,22.5806,1,9,150,0.015,1.1,0.0,2.5,0.5,16385,1,66.48,18,0,0,0,0.0,10.103,9.085,-3.563,-1.0,0.0,-4.0,2.018,-3.0,3.079,1.751,-1.0,-2.0,-1.04,-3.0,-2.172,-0.741,5.451,4.956,-3.642,-5.823,0.0,-3.408,0.006,2.459,-2.012,-2.0,-0.68,6.059,-1.872,4.973,0.273,3.03,2.981,-2.417,-4.0,27.67,-2.0,2.866,-2.0,-3.0,-0.898,-2.0,-1.0,-1.0,-2.0,9.809,-1.05,-1.468,2.474,0.0,-1.0,0.0,0.528,-1.0,0.014,-1.0,0.0,-1.0,-0.146,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,4.017,-1.0,0.0,0.0,-0.896,-2.0,-2.0,0.832,-1.999,-2.0,-2.0,0.843,12.027,-2.0,33.848,-1.758,-1.063,-2.577,-0.537,9.26,-2.362,0.75,-0.985,-2.325,-4.0,0.081,-0.843,15.209,9.849,1.283,9.445,-5.019,-3.794,5.453,3.644,-3.0,2.728,-2.0,-1.005,1.523,-0.26,-2.0,-4.0,-1.477,-1.0,-1.0,-1.0,19.995,-2.212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BtcGF,BTCUSDc,74,85.8075,102.969,5,4.7797,47.35,253,22.5296,1,21,150,0.015,1.5,0.0,3.0,0.5,16385,1,54.212,16,0,0,0,0.0,9.604,8.091,-2.125,0.0,0.0,-3.925,0.817,-3.0,2.677,1.224,-1.0,-2.0,-2.0,-3.0,-1.75,-1.775,-1.0,33.847,-4.141,-5.901,0.0,-3.893,-0.492,1.986,0.31,-2.15,5.678,3.075,-2.0,4.474,0.0,2.143,3.671,3.881,-4.0,-0.337,-2.0,2.912,-2.0,-3.0,-0.434,-2.0,-1.0,-1.0,-2.0,2.972,-1.792,-0.509,9.114,0.0,-1.0,0.0,0.224,0.537,-0.483,-1.0,0.0,-1.0,-0.664,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,3.518,-1.0,0.0,0.0,-1.0,-2.0,-2.0,0.333,-1.0,-2.0,-1.968,-0.193,0.0,2.937,47.757,-2.256,1.194,5.084,-2.0,26.604,-1.868,0.224,-1.484,-2.824,-4.0,0.582,-1.0,-1.939,0.0,-2.0,16.604,-5.506,-4.0,3.053,-0.57,0.897,4.969,-2.0,-2.534,4.231,-1.0,-2.0,-4.0,-0.08,-2.0,-1.0,-1.0,12.767,-1.429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BtcGF,BTCUSDc,65,85.955,103.146,5,4.7848,47.27,253,22.5296,1,21,150,0.015,1.3,0.0,3.0,0.5,16385,1,54.389,16,0,0,0,0.0,9.604,8.091,-2.125,0.0,0.0,-3.925,0.817,-3.0,2.677,1.224,-1.0,-2.0,-2.0,-3.0,-1.731,-1.775,-1.0,33.847,-4.141,-5.901,0.0,-3.893,-0.492,1.986,0.31,-2.15,5.678,3.075,-2.0,4.474,0.0,2.143,3.754,3.877,-4.0,-0.337,-2.0,2.912,-2.0,-3.0,-0.434,-2.0,-1.0,-1.0,-2.0,2.958,-1.792,-0.509,9.114,0.0,-1.0,0.0,0.224,0.537,-0.483,-1.0,0.0,-1.0,-0.664,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,3.518,-1.0,0.0,0.0,-1.0,-2.0,-2.0,0.333,-1.0,-2.0,-1.968,-0.193,0.0,2.937,47.757,-2.256,1.194,5.084,-2.0,26.604,-1.868,0.224,-1.484,-2.824,-4.0,0.582,-1.0,-1.939,0.0,-2.0,16.604,-5.506,-4.0,3.053,-0.57,0.897,4.969,-2.0,-2.511,4.231,-1.0,-2.0,-4.0,-0.01,-2.0,-1.0,-1.0,12.767,-1.429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BtcGF,BTCUSDc,30,39.2167,47.06,5,2.3131,35.67,266,22.5564,1,9,210,0.015,1.1,0.0,2.5,0.5,16385,1,30.276,16,0,0,0,0.0,10.103,9.085,-3.563,0.0,-1.0,-3.441,2.018,-3.0,-1.0,1.751,-1.0,-2.0,-0.056,-3.0,-0.172,-0.074,3.717,4.956,-3.642,-5.823,0.0,-2.165,0.006,2.231,-1.388,-2.0,-0.7,3.635,-3.0,4.973,0.787,5.027,4.061,-2.417,-4.0,13.314,-2.0,2.866,-2.0,-3.0,-4.0,-2.0,-1.0,-1.0,-2.0,21.562,-0.522,-1.022,2.474,0.0,-1.0,0.0,0.716,-0.16,0.014,-1.0,0.0,-1.0,-0.146,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,4.017,-1.0,0.0,0.0,-0.896,-2.0,-2.0,0.832,-1.0,-1.99,-1.488,0.968,13.588,-0.999,9.845,-1.758,-1.063,-2.577,-2.0,8.608,0.0,-2.148,2.701,-2.0,-6.0,1.081,-3.311,-1.28,0.0,1.404,7.214,-5.019,-3.794,4.108,3.055,1.215,2.969,-2.0,-1.005,1.667,-0.008,-2.0,-4.0,0.564,-2.0,-1.0,-1.0,15.078,-1.523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BtcGF,BTCUSDc,19,31.1825,37.419,5,1.4971,49.34,305,29.8361,1,15,150,0.015,1.5,0.0,2.0,0.5,16385,1,18.956,15,0,0,0,0.0,10.789,2.68,-3.04,-1.0,0.0,-2.383,2.517,-2.906,2.205,-0.797,-0.306,-2.0,-0.297,-2.735,-0.681,0.275,4.483,-2.282,-3.144,-5.329,1.063,-2.271,0.304,2.0,0.961,-0.135,-0.181,-2.146,-2.015,-3.017,-2.137,6.392,10.293,-1.918,-4.0,8.231,-2.0,3.31,-1.925,-3.0,0.567,-1.876,-1.521,-1.424,-1.878,10.686,-0.318,-0.51,2.974,0.0,-1.0,0.0,1.307,1.528,0.615,-1.0,0.0,-0.565,0.352,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,4.517,-1.0,0.0,0.0,-0.397,-1.753,-2.0,1.331,-1.0,-1.459,-1.807,1.887,8.24,-2.299,17.463,-1.166,0.175,-2.222,1.455,9.582,-2.392,0.196,-0.486,-1.639,-4.0,1.58,-1.382,1.224,3.062,2.083,6.692,-4.493,-2.811,5.119,1.895,-3.0,2.638,-2.0,0.13,-2.111,-2.538,-2.0,-3.774,0.201,-0.554,0.0,-1.025,8.979,-0.517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BtcGF,BTCUSDc,18,69.634,69.634,6,2.5916,57.08,308,28.8961,1,9,150,0.015,1.5,0.0,2.0,0.5,16385,1,29.888,17,0,0,0,0.0,10.789,2.68,-3.04,-1.0,0.0,-2.457,2.517,-2.934,2.205,-0.797,-0.185,-2.0,-0.632,-2.735,-1.679,0.264,4.803,-2.282,-3.144,-5.329,0.61,-2.239,0.304,2.03,1.961,-2.0,0.223,-2.146,-2.015,-3.017,-2.155,5.59,10.257,-1.918,-4.0,38.874,-2.0,3.367,-1.968,-3.0,-0.109,-1.885,-1.521,-1.455,-1.881,13.5,-0.291,-0.51,2.974,0.0,-1.0,0.0,1.262,-0.432,0.615,-1.0,0.0,-0.565,0.352,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,4.517,-1.0,0.0,0.0,-0.397,-1.753,-2.0,1.331,-1.999,-2.0,-1.807,1.896,9.437,-2.549,18.688,-1.191,-0.038,-2.222,0.39,10.966,-2.378,0.03,-0.486,-1.64,-4.0,0.58,-1.284,1.27,3.555,2.126,6.721,-4.514,-2.811,6.709,6.215,-3.0,2.916,-2.0,0.13,-2.111,-2.539,-2.0,-4.0,-0.358,-0.552,-1.0,-1.485,8.979,-0.564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BtcGF,BTCUSDc,21,82.2767,123.415,4,4.4236,54.16,302,29.1391,1,9,210,0.015,1.5,0.0,2.0,0.5,16385,1,56.568,14,0,0,0,0.0,10.789,2.68,-3.04,0.0,-0.924,-2.406,2.517,-2.934,2.205,-0.797,-0.918,-2.0,-0.174,-2.735,0.321,0.649,2.95,-2.282,-3.144,-5.329,1.07,-1.446,0.304,1.76,0.961,-2.0,-0.074,-2.146,-3.115,-3.017,-2.155,7.334,8.305,-1.918,-4.0,17.769,-2.0,3.367,-1.968,-3.0,-4.0,-1.885,-1.521,-1.455,-1.531,30.076,0.069,-0.51,2.974,0.0,-1.0,0.0,1.262,0.756,0.615,-1.0,0.0,-0.565,0.352,-0.541,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,4.517,-1.0,0.0,0.0,-0.397,-1.753,-2.0,1.331,-1.0,-1.483,-0.984,1.896,11.306,-1.384,11.491,-1.259,-0.038,-2.222,-1.88,9.956,0.832,-0.167,3.7,-1.689,-6.0,1.58,-1.039,1.311,63.847,2.152,6.721,-4.514,-2.811,5.111,5.361,-2.474,3.637,-2.0,0.13,-2.111,-2.539,-2.0,-3.802,0.149,-0.552,-1.0,-1.485,8.979,-0.564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BtcGF,BTCUSDc,86,2.736,4.104,4,0.0896,342.5,241,18.2573,1,21,210,0.015,1.1,0.0,3.5,0.5,16385,1,-9.952,16,0,0,0,0.0,9.105,7.071,-4.0,0.0,0.0,-4.0,3.27,-3.0,2.178,0.7,-1.0,-2.0,-2.0,-3.0,-2.0,-2.0,0.0,-0.999,-4.639,-6.0,0.0,-3.0,-0.991,0.991,-0.686,-2.654,5.178,2.575,-3.0,3.976,0.0,-2.0,-0.532,3.889,-4.0,-0.642,-2.0,2.991,-2.0,-3.0,1.546,-2.0,-1.0,-0.999,-1.999,2.002,-1.0,-0.175,8.614,0.0,-1.0,0.0,-0.32,0.041,-0.981,-1.0,0.0,-1.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,3.018,-1.0,0.0,0.0,-1.0,-2.0,-2.0,-0.166,-1.0,-1.999,-1.0,-0.497,0.0,5.377,9.167,-2.755,0.194,3.346,-2.0,13.245,-1.0,-4.588,0.687,0.0,-4.0,0.083,-3.0,-0.388,0.0,-2.0,18.718,-4.0,-5.0,2.056,-2.61,-2.0,3.119,-2.0,-1.999,14.004,-0.978,-2.0,-4.0,-0.017,-1.0,0.0,-1.999,10.576,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BtcGF,BTCUSDc,72,89.4267,107.312,5,4.5136,31.95,263,21.2928,1,9,150,0.015,1.5,0.0,3.0,0.5,16385,1,73.022,18,0,0,0,0.0,9.604,8.091,-2.939,0.0,0.0,-4.0,0.817,-3.0,2.021,1.253,-1.0,-2.0,-2.0,-3.0,-1.701,-1.781,-0.999,32.29,-4.149,-6.0,0.0,-3.912,-0.492,1.886,-2.931,-2.0,-1.914,5.3,-2.0,4.474,-2.0,2.55,1.43,-2.915,-4.0,16.648,-2.0,2.99,-2.0,-3.0,-1.687,-2.0,-1.0,-1.0,-2.0,2.038,-1.81,-1.0,9.114,0.0,-1.0,0.0,-0.153,-1.0,-0.483,-1.0,0.0,-1.0,-0.664,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,3.518,-1.0,0.0,0.0,-1.0,-2.0,-2.0,0.333,-1.999,-2.0,-2.0,-0.203,0.0,5.092,27.786,-2.256,1.218,5.089,-2.0,25.693,-2.868,0.062,-1.484,-2.824,-4.0,-0.418,-1.0,26.57,9.196,-2.0,15.287,-5.524,-4.0,4.189,1.086,-3.0,5.312,-2.0,-1.537,-0.032,0.01,-2.0,-4.0,-2.523,-1.0,-1.0,-1.0,18.424,-2.861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BtcGF,BTCUSDc,22,119.2792,143.135,5,7.7333,44.55,300,30.6667,1,15,210,0.015,1.5,0.0,2.0,0.5,16385,1,79.367,15,0,0,0,0.0,10.789,2.68,-3.04,0.0,-0.727,-2.383,2.517,-2.906,2.205,-0.797,-0.928,-2.0,0.581,-2.735,-1.681,0.275,0.0,25.637,-3.144,-5.329,1.211,-1.389,0.304,1.687,0.961,-0.135,0.022,-2.146,-3.115,-3.017,-2.137,8.295,8.584,-1.918,-4.0,17.613,-2.0,3.31,-1.925,-3.0,8.759,-1.876,-1.521,-1.424,-1.496,11.485,0.083,-0.51,2.974,0.0,-1.0,0.0,1.307,1.528,0.615,-1.0,0.0,-0.565,0.352,-0.521,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,4.517,-1.0,0.0,0.0,-0.397,-1.753,-2.0,1.331,-1.0,-1.459,-0.984,1.999,9.613,-1.383,11.097,-1.259,0.175,-2.222,-0.287,9.195,0.818,0.196,3.7,-2.688,-4.0,1.58,-1.066,1.295,60.768,2.083,6.692,-4.506,-2.811,5.066,5.355,-2.474,2.638,-2.0,0.13,-2.111,-2.52,-2.0,-3.774,0.24,-0.554,0.0,-0.976,8.979,-0.517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
