leg,sym,pass,score,nbpR,segpos,rf,oneop,ops,win,sizing,smaP,slowP,mult,step,tpR,trailR,half,mgmtTF,stack,extop1R,nmonster,addtrig,lineplace,nback,buffer,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,w22,w23,w24,w25,w26,w27,w28,w29,w30,w31,w32,w33,w34,w35,w36,w37,w38,w39,w40,w41,w42,w43,w44,w45,w46,w47,w48,w49,w50,w51,w52,w53,w54,w55,w56,w57,w58,w59,w60,w61,w62,w63,w64,w65,w66,w67,w68,w69,w70,w71,w72,w73,w74,w75,w76,w77,w78,w79,w80,w81,w82,w83,w84,w85,w86,w87,w88,w89,w90,w91,w92,w93,w94,w95,w96,w97,w98,w99,w100,w101,w102,w103,w104,w105,w106,w107,w108,w109,w110,w111,w112,w113,w114,w115,w116,w117,w118,w119,w120,w121,w122,w123,w124,w125,w126,w127,w128,w129
BtcPG,BTCUSDc,16,17.2967,25.945,4,1.4356,8.28,316,36.0759,0,15,0,0.01,1.5,2.0,0.0,0.5,16385,1,23.796,0,0,0,0,0.0,5.964,3.952,-1.027,0.0,-1.999,2.022,0.985,-3.0,1.994,1.954,-0.001,-2.0,-0.01,-3.0,0.981,4.042,1.993,-2.0,-2.006,-3.016,1.96,-1.002,2.016,-2.013,-0.03,2.006,-0.001,-3.001,0.997,-1.0,-3.0,3.998,0.008,1.975,-4.0,3.084,-2.0,0.972,-2.0,-3.0,-0.02,-2.0,-1.0,-1.0,-2.0,3.977,0.031,2.998,-3.0,0.0,0.0,-1.0,2.067,3.971,-1.0,-1.0,0.0,-1.0,1.993,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,1.999,-1.0,0.0,0.0,-1.0,-2.0,0.0,4.146,-1.0,-2.0,0.986,3.986,0.992,4.003,-0.984,2.991,0.961,2.0,-0.003,-1.022,4.066,-2.011,-0.003,-2.0,0.0,2.072,3.953,-2.018,-1.971,1.986,4.953,0.969,0.025,-4.0,4.02,1.99,-2.005,0.002,0.0,-0.975,-1.033,-2.0,-4.0,2.108,-1.0,-2.004,-1.015,8.973,2.994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BtcPG,BTCUSDc,14,17.126,25.689,4,1.4179,8.17,316,36.0759,0,21,0,0.01,1.3,2.0,0.0,0.5,16385,1,23.591,0,0,0,0,0.0,5.964,3.952,-1.027,0.0,-2.0,2.062,0.985,-3.0,1.994,1.954,0.023,-2.0,-0.007,-3.0,0.982,4.066,1.993,-2.0,-2.006,-3.016,1.958,-1.002,2.029,-2.013,-0.03,1.997,-0.001,-3.001,0.997,-0.987,-3.0,3.993,0.008,1.955,-4.0,3.049,-2.0,0.972,-2.0,-3.0,-0.02,-2.0,-1.0,-0.999,-2.0,3.977,-0.008,2.998,-3.0,0.0,0.0,-1.0,2.088,3.971,-1.0,-1.0,0.0,-1.0,1.993,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,1.999,-1.0,0.0,0.0,-1.0,-2.0,0.0,4.095,-1.0,-1.999,0.985,3.975,0.992,4.026,-1.005,2.991,0.951,2.016,-0.002,-1.022,4.026,-2.011,-0.003,-2.0,0.0,2.029,3.953,-2.018,-1.942,1.986,4.953,0.957,0.013,-4.0,4.018,1.991,-2.005,0.005,0.0,-1.036,-1.033,-2.0,-4.0,2.013,-1.0,-2.004,-1.015,8.973,2.994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BtcPG,BTCUSDc,13,17.2227,25.834,4,1.4285,8.32,316,36.0759,0,15,0,0.01,1.3,2.0,0.0,0.5,16385,1,23.685,0,0,0,0,0.0,5.964,3.952,-1.027,0.0,-1.999,2.022,0.985,-3.0,1.994,1.954,-0.001,-2.0,-0.01,-3.0,0.981,4.042,1.993,-2.0,-2.006,-3.016,1.96,-1.002,2.016,-2.013,-0.03,2.006,-0.001,-3.001,0.997,-1.0,-3.0,3.996,0.008,1.965,-4.0,3.084,-2.0,0.972,-2.0,-3.0,-0.02,-2.0,-1.0,-1.0,-2.0,3.977,0.031,2.998,-3.0,0.0,0.0,-1.0,2.067,3.971,-1.0,-1.0,0.0,-1.0,1.993,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,1.999,-1.0,0.0,0.0,-1.0,-2.0,0.0,4.146,-1.0,-2.0,0.986,3.986,0.992,4.003,-0.984,2.991,0.961,2.0,-0.003,-1.022,4.066,-2.011,-0.003,-2.0,0.0,2.029,3.953,-2.018,-1.971,1.986,4.953,0.969,0.025,-4.0,4.02,1.99,-2.005,0.002,0.0,-0.975,-1.033,-2.0,-4.0,2.052,-1.0,-2.004,-1.015,8.973,2.994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BtcPG,BTCUSDc,35,21.2807,31.921,4,1.2826,10.98,273,27.8388,0,21,0,0.01,1.5,3.0,0.0,0.5,16385,1,28.416,0,0,0,0,0.0,1.993,1.991,-0.041,0.0,0.0,-4.0,2.977,-3.0,2.992,1.994,0.0,1.948,-3.0,-3.0,-2.0,-2.0,4.106,-2.0,-5.0,-6.0,0.969,-3.0,0.991,3.051,-3.0,-3.0,0.999,-2.001,4.987,0.005,-3.0,2.998,0.033,3.965,-4.0,5.071,-2.0,1.958,-2.0,-3.0,0.98,-2.0,-1.0,-0.999,-2.0,6.964,0.997,1.999,-3.0,0.0,0.0,-1.0,3.171,5.956,-1.0,-1.0,0.0,-1.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,2.998,-1.0,0.0,0.0,-1.0,-2.0,0.0,0.0,0.0,-0.999,0.0,0.982,1.987,3.176,-0.007,-0.007,2.973,1.022,4.107,-0.033,4.048,-1.016,0.995,-2.0,0.0,0.0,6.515,2.916,-0.905,0.994,7.999,-4.0,2.05,-4.0,3.048,5.038,-1.008,-2.0,0.926,-2.009,0.972,-2.0,-4.0,3.134,-1.0,3.018,-1.0,9.968,1.985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BtcPG,BTCUSDc,34,20.8393,31.259,4,1.2579,11.21,274,27.7372,0,15,0,0.01,1.5,3.0,0.0,0.5,16385,1,27.755,0,0,0,0,0.0,1.993,1.991,-0.02,0.0,0.0,-4.0,2.977,-3.0,2.992,1.994,0.0,1.973,-3.0,-3.0,-2.0,-2.0,4.151,-2.0,-4.999,-6.0,0.969,-3.0,0.991,3.039,-3.0,-3.0,0.999,-2.001,4.992,-0.016,-3.0,2.998,0.051,4.005,-4.0,5.131,-2.0,1.958,-2.0,-3.0,0.98,-2.0,-1.0,-1.0,-2.0,6.964,1.058,1.999,-3.0,0.0,0.0,-1.0,3.119,5.956,-1.0,-1.0,0.0,-1.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,2.998,-1.0,0.0,0.0,-1.0,-2.0,0.0,0.0,0.0,-1.0,-2.0,1.982,1.987,3.145,0.031,-0.007,2.973,1.047,4.066,-0.033,4.049,-1.016,0.995,-2.0,0.0,0.0,6.534,2.916,-0.953,0.994,7.997,-4.0,2.146,-4.0,3.05,4.975,-1.008,-2.0,0.927,-2.009,0.996,-2.0,-4.0,3.275,-1.0,3.018,-1.0,9.955,1.985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BtcPG,BTCUSDc,33,21.3747,32.062,4,1.2896,14.51,274,27.7372,0,9,0,0.01,1.5,3.0,0.0,0.5,16385,1,27.411,0,0,0,0,0.0,1.993,1.991,-0.02,0.0,0.0,-4.0,2.977,-3.0,2.992,2.027,0.0,1.957,-3.0,-3.0,-2.0,-2.0,4.056,-2.0,-5.0,-6.0,0.997,-3.0,0.991,3.078,-3.0,-3.0,1.017,-2.001,5.01,-0.016,-3.0,2.996,0.031,3.996,-4.0,5.172,-2.0,1.994,-2.0,-3.0,1.031,-2.0,-1.0,-1.0,-2.0,6.982,0.997,1.999,-3.0,0.0,0.0,-1.0,3.074,5.956,-1.0,-1.0,0.0,-1.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,2.998,-1.0,0.0,0.0,-1.0,-2.0,0.0,0.0,0.0,-1.0,-2.0,1.996,2.003,3.095,0.031,-0.007,2.987,1.044,4.029,-0.033,4.019,-1.016,0.995,-2.0,0.0,0.0,7.668,2.917,-0.953,0.994,8.043,-4.0,2.06,-4.0,3.02,4.975,-1.0,-2.0,0.964,-2.009,0.968,-2.0,-4.0,2.991,-1.0,3.018,-1.0,9.981,2.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BtcPG,BTCUSDc,17,17.1793,25.769,4,1.423,8.14,316,36.0759,0,21,0,0.01,1.5,2.0,0.0,0.5,16385,1,23.671,0,0,0,0,0.0,5.964,3.952,-1.027,0.0,-2.0,2.062,0.985,-3.0,1.994,1.954,0.032,-2.0,-0.007,-3.0,0.982,4.066,1.993,-2.0,-2.006,-3.016,1.958,-1.002,2.029,-2.013,-0.03,1.997,-0.001,-3.001,0.997,-0.987,-3.0,4.001,0.008,1.955,-4.0,3.049,-2.0,0.972,-2.0,-3.0,-0.02,-2.0,-1.0,-0.999,-2.0,3.977,-0.008,2.998,-3.0,0.0,0.0,-1.0,2.088,3.971,-1.0,-1.0,0.0,-1.0,1.993,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,1.999,-1.0,0.0,0.0,-1.0,-2.0,0.0,4.095,-1.0,-1.999,0.985,3.975,0.992,4.026,-1.005,2.991,0.951,2.016,-0.003,-1.022,4.026,-2.011,-0.003,-2.0,0.0,2.072,3.953,-2.018,-1.942,1.986,4.953,0.957,0.013,-4.0,4.018,1.991,-2.005,0.005,0.0,-1.036,-1.033,-2.0,-4.0,2.034,-1.0,-2.004,-1.015,8.973,2.994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BtcPG,BTCUSDc,30,18.6173,27.926,4,1.1227,12.87,269,27.5093,0,9,0,0.01,1.3,3.0,0.0,0.5,16385,1,24.332,0,0,0,0,0.0,1.993,1.991,-0.02,0.0,0.0,-4.0,2.977,-3.0,2.992,2.027,0.0,1.957,-3.0,-3.0,-2.0,-2.0,4.045,-2.0,-5.0,-6.0,0.997,-3.0,0.991,3.078,-3.0,-3.0,1.017,-2.001,4.994,-0.016,-3.0,2.996,0.031,3.978,-4.0,5.155,-2.0,1.994,-2.0,-3.0,1.031,-2.0,-1.0,-1.0,-2.0,6.982,0.997,1.999,-3.0,0.0,0.0,-1.0,3.074,5.956,-1.0,-1.0,0.0,-1.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,2.998,-1.0,0.0,0.0,-1.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,3.095,0.031,-0.007,2.987,1.044,4.029,-0.033,4.019,-1.016,0.995,-2.0,0.0,0.0,6.611,2.917,-0.953,0.994,8.043,-4.0,2.06,-4.0,3.02,4.975,-1.0,-2.0,0.954,-2.009,0.968,-2.0,-4.0,2.991,-1.0,3.018,-1.0,9.982,1.998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BtcPG,BTCUSDc,48,41.2242,49.469,5,2.5007,10.42,244,23.7705,0,9,0,0.01,1.3,4.0,0.0,0.5,16385,1,44.314,1,0,0,0,0.0,2.99,2.988,1.008,0.0,0.0,-4.0,4.97,-3.0,3.989,3.04,0.0,0.0,2.057,-3.0,-2.0,-2.0,4.233,-2.0,-5.0,-6.0,3.045,-4.0,1.987,1.154,0.974,-3.0,2.025,-1.001,8.074,0.992,-3.0,3.002,7.06,1.018,-4.0,8.272,-2.0,2.995,-2.0,-3.0,2.052,-2.0,-1.0,-1.0,-2.0,5.008,-1.0,7.138,-3.0,0.0,0.0,-1.0,-0.999,-1.0,-2.0,-1.0,0.0,-1.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,3.998,-1.0,0.0,0.0,-1.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,4.158,-2.0,-0.009,-3.0,2.07,-3.0,0.967,7.036,-0.022,1.993,-2.0,0.0,0.0,0.0,2.155,4.11,1.991,7.156,-4.0,0.0,1.154,10.062,0.0,3.977,-2.0,1.98,-1.012,1.98,-2.0,-4.0,5.063,-1.0,0.0,0.0,10.591,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BtcPG,BTCUSDc,20,18.352,27.528,4,1.1047,11.55,269,27.5093,0,21,0,0.01,1.1,3.0,0.0,0.3,16385,1,24.348,0,0,0,0,0.0,2.009,1.991,-0.041,0.0,0.0,-4.0,2.977,-3.0,2.992,1.994,0.0,1.948,-3.0,-3.0,-2.0,-2.0,4.071,-2.0,-5.0,-6.0,0.969,-3.0,0.991,3.051,-3.0,-3.0,0.999,-2.001,4.978,0.001,-3.0,2.998,0.025,3.962,-4.0,5.104,-2.0,1.958,-2.0,-3.0,1.033,-2.0,-1.0,-0.999,-2.0,6.964,0.997,1.999,-3.0,0.0,0.0,-1.0,3.171,5.956,-1.0,-1.0,0.0,-1.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,2.998,-1.0,0.0,0.0,-1.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,3.153,-0.007,-0.007,2.973,1.022,4.097,-0.033,4.071,-1.016,0.995,-2.0,0.0,0.0,6.19,2.916,-0.905,0.994,7.999,-4.0,2.05,-4.0,3.048,5.038,-1.008,-2.0,0.919,-2.009,0.972,-2.0,-4.0,3.021,-1.0,3.011,-1.0,9.968,1.981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
