leg,sym,pass,score,nbpR,segpos,rf,oneop,ops,win,sizing,smaP,slowP,mult,step,tpR,trailR,half,mgmtTF,stack,extop1R,nmonster,addtrig,lineplace,nback,buffer,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,w22,w23,w24,w25,w26,w27,w28,w29,w30,w31,w32,w33,w34,w35,w36,w37,w38,w39,w40,w41,w42,w43,w44,w45,w46,w47,w48,w49,w50,w51,w52,w53,w54,w55,w56,w57,w58,w59,w60,w61,w62,w63,w64,w65,w66,w67,w68,w69,w70,w71,w72,w73,w74,w75,w76,w77,w78,w79,w80,w81,w82,w83,w84,w85,w86,w87,w88,w89,w90,w91,w92,w93,w94,w95,w96,w97,w98,w99,w100,w101,w102,w103,w104,w105,w106,w107,w108,w109,w110,w111,w112,w113,w114,w115,w116,w117,w118,w119,w120,w121,w122,w123,w124,w125,w126,w127,w128,w129
GoldGeo17,XAUUSDc,19,9.7575,19.515,3,1.1185,12.0,380,35.0,0,9,0,0.01,1.4,2.0,0.0,0.5,15,1,17.173,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.972,1.037,-2.0,-1.01,3.122,-3.0,3.963,0.99,0.0,-2.0,-4.0,0.89,-1.999,2.883,-3.0,-1.831,1.895,2.832,-1.0,0.12,-1.0,1.799,-0.179,-1.029,0.0,0.995,-1.956,-0.014,2.94,0.965,-0.04,0.986,1.014,1.847,0.97,-3.0,3.006,1.047,-1.0,-3.0,-3.0,-4.0,3.824,1.836,-2.014,3.043,2.848,-2.989,1.957,-1.0,-2.005,-4.0,-5.0,0.029,2.1,5.021,-0.033,-0.925,-0.062,-4.0,-0.984,1.928,3.094,0.991,-0.052,0.985,3.965,-1.999,0.977,-2.0,0.0,-2.0,-1.002,-2.005,-0.011,-0.925,-0.001,2.049,-0.009,1.005,0.007,-1.0,4.026,-0.907,6.256,-4.0,-0.987,0.996,-0.969,-1.943,-1.001,0.047,1.07,-1.977,5.002,0.0,2.988,-2.0,1.118,2.969,0.953,1.946,2.076,-2.0,5.381,-4.0,-2.999,1.955,4.127,0.14,2.039,-3.0,5.083,-3.0,1.268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GoldGeo17,XAUUSDc,14,1.4987,4.496,2,0.1693,130.96,387,32.8165,0,7,0,0.01,2.0,2.0,0.0,0.3,15,1,-1.392,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.972,1.051,-2.0,-0.95,3.196,-4.0,4.234,0.99,0.0,-3.0,-4.0,1.017,-1.0,0.947,-3.0,1.888,1.953,2.841,-2.0,-2.0,-1.0,1.894,-0.19,-1.013,0.045,1.169,-1.944,-0.014,3.246,1.094,-0.022,2.065,1.321,1.897,0.97,-3.0,3.016,1.082,-1.0,-3.0,-3.0,-4.0,2.896,2.229,-2.014,3.662,-0.004,-3.002,1.957,-1.0,-1.973,-4.0,-5.0,0.031,2.132,5.136,-1.009,-3.0,0.031,-4.0,-0.977,2.0,3.221,0.991,0.059,1.018,-0.009,-2.0,0.977,-2.0,-3.0,-2.0,-1.001,-2.005,0.059,0.45,-0.001,2.771,-0.009,0.994,0.007,-1.0,4.1,-0.942,6.303,-4.0,-0.987,0.12,-0.965,-1.97,-1.001,0.048,1.133,-1.984,5.002,0.0,2.985,-2.0,1.203,-0.076,0.953,1.946,2.076,-2.0,5.508,-5.0,-2.999,1.973,4.056,0.355,2.046,-3.999,5.046,-3.0,1.194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GoldGeo17,XAUUSDc,25,7.6185,15.237,3,0.6671,21.11,386,34.1969,0,5,0,0.01,1.8,2.0,0.0,0.5,15,1,12.021,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.972,1.069,-2.0,-1.01,3.069,-4.0,3.971,0.99,0.0,-1.999,-3.999,0.899,-0.999,3.681,-3.0,-1.323,1.939,2.852,-4.0,-0.016,0.985,1.786,-0.137,-1.021,0.108,1.02,-1.831,-0.014,2.947,1.031,-0.028,2.338,1.122,1.851,0.97,-3.0,3.153,1.024,-1.0,-3.0,-3.0,-4.0,2.895,2.012,-2.014,3.729,-0.004,-2.999,1.957,-1.0,-1.982,-4.0,-5.0,0.031,2.114,5.306,-1.005,-3.0,-0.062,-4.0,-0.996,1.971,3.061,0.991,-0.053,0.993,1.004,-2.0,2.985,-2.0,0.0,-3.0,-1.002,-2.005,0.044,0.216,0.016,2.467,-0.009,0.994,0.007,-1.0,4.076,-0.625,6.343,-4.0,-0.987,1.009,-0.974,-1.936,-1.063,0.048,1.099,-1.982,5.044,0.0,3.105,-2.0,1.114,2.949,0.953,2.009,2.115,-2.0,5.348,-5.0,-3.0,2.016,4.0,0.067,2.069,-3.0,5.02,-3.0,1.358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GoldGeo17,XAUUSDc,27,14.1973,21.296,4,1.1871,14.78,378,34.9206,0,9,0,0.01,1.8,2.0,0.0,0.5,15,1,18.149,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.972,1.109,-2.0,-1.01,3.221,-2.999,3.963,0.99,0.0,-1.999,-4.0,0.915,-1.0,3.683,-3.0,-1.533,1.911,2.832,-1.0,1.147,-1.0,1.833,-0.169,-1.029,0.008,1.105,-1.944,-0.014,3.06,0.985,-0.028,2.343,1.014,1.881,0.971,-3.0,3.032,1.066,-1.0,-3.0,-3.0,-4.0,3.928,1.89,-2.014,3.159,2.881,-2.978,1.957,-1.0,-2.001,-4.0,-5.0,0.029,2.109,5.021,-0.033,-0.925,-0.062,-4.0,-0.984,1.928,3.117,0.991,0.002,0.985,0.986,-1.999,0.977,-2.0,-1.0,-2.0,-1.002,-2.005,-0.011,-0.89,-0.001,2.063,-0.009,1.04,0.007,-1.0,4.026,-0.883,6.332,-4.0,-0.987,0.996,-0.969,-1.943,-1.001,0.047,1.077,-1.977,5.002,0.0,2.988,-2.0,1.118,2.969,0.953,1.946,2.076,-2.0,5.381,-4.0,-3.0,1.955,4.127,0.168,2.039,-3.0,5.083,-3.0,1.301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GoldGeo17,XAUUSDc,46,7.254,10.881,4,0.3163,61.02,347,24.2075,0,7,0,0.01,2.0,3.0,0.0,0.3,15,1,4.241,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.221,-2.0,-2.0,2.697,-4.0,-0.001,1.986,0.0,-3.0,-4.0,2.305,-1.0,2.231,-3.0,-4.0,0.04,1.914,2.034,-2.0,-1.0,1.385,3.87,1.152,-2.0,2.438,0.0,2.297,2.371,-0.016,2.217,3.462,3.732,3.972,0.003,-3.0,5.479,2.138,-1.0,-3.0,-3.0,-4.0,3.968,-2.905,-5.0,0.343,-3.0,-6.0,4.058,-1.0,0.142,-4.0,-5.0,2.283,3.647,5.263,-3.0,-3.0,-2.0,0.06,0.075,-3.0,-1.0,1.007,2.64,2.067,1.011,-2.0,1.941,-2.0,-3.0,-2.0,-0.002,-1.007,1.368,-3.0,1.0,4.879,-3.0,2.624,1.04,-1.0,8.222,0.117,10.063,-4.0,0.026,-3.999,0.141,-5.0,1.175,1.079,-3.0,-0.959,5.292,0.0,6.213,-2.0,2.381,-2.0,5.97,1.243,4.219,-2.0,2.641,-5.0,-2.999,1.021,0.107,-3.0,-3.0,0.175,2.913,-4.0,3.411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GoldGeo17,XAUUSDc,28,13.4842,16.181,5,0.8285,21.09,393,33.5878,0,3,0,0.01,2.0,2.0,0.0,0.5,15,1,12.768,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.972,1.11,-2.0,-1.01,3.304,-3.999,4.314,0.99,-2.0,0.016,-3.0,1.015,-1.0,3.873,-3.0,-0.587,2.305,3.087,-4.0,-0.011,-0.015,2.02,-0.128,-0.919,0.185,0.996,-1.53,-0.014,3.399,1.571,-0.989,2.532,1.208,1.885,0.971,-3.0,3.283,1.025,-1.0,-3.0,-3.0,-4.0,2.896,2.157,-2.014,4.436,-0.004,-3.002,2.001,-1.0,-1.876,-4.0,-5.0,0.094,2.092,5.087,0.091,-0.529,-0.026,-4.0,-0.946,2.123,3.232,0.991,0.149,1.017,0.004,-2.0,3.01,-2.0,0.0,-3.0,-1.002,-2.005,0.185,-4.0,0.016,3.224,-0.009,1.053,0.04,-1.0,4.092,-1.004,7.275,-4.0,-0.981,1.597,-0.943,-1.955,-0.91,0.011,1.128,-1.948,5.006,0.0,3.252,-2.0,1.139,-0.076,0.953,2.029,2.229,-2.0,5.255,-6.0,-3.0,2.066,4.154,0.018,2.07,-3.999,5.013,-3.0,1.366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GoldGeo17,XAUUSDc,45,9.654,14.481,4,0.4316,56.42,360,23.6111,0,5,0,0.01,2.0,3.0,0.0,0.3,15,1,6.311,5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.83,-2.0,-2.0,2.226,-4.0,4.489,1.986,0.0,-3.0,-4.0,2.054,-1.0,5.944,-3.0,-4.0,-0.028,1.985,0.035,1.185,-3.0,-3.0,0.934,1.15,-1.999,2.349,-4.0,-1.999,-0.04,-0.016,2.562,6.812,3.592,3.933,0.003,-3.0,7.954,2.077,-1.0,-3.0,-3.0,-4.0,3.972,-2.982,-5.0,0.673,-3.0,-6.0,3.978,-1.0,0.392,-4.0,-5.0,2.283,3.646,5.183,-3.0,-4.0,-2.0,0.148,0.065,-3.0,-1.0,1.093,-0.092,2.067,1.057,-2.0,5.073,-2.0,-2.0,-2.0,-0.002,-1.007,1.369,-4.0,1.17,6.416,-3.0,2.689,1.04,-1.0,8.225,1.136,8.169,-4.0,0.026,-4.0,0.288,-5.0,1.116,1.079,-3.0,-0.956,5.702,0.0,6.479,-2.0,2.376,3.106,1.968,2.84,4.284,-2.0,3.356,-5.0,-3.0,1.098,0.11,-2.0,-4.0,0.291,2.369,-4.0,7.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GoldGeo17,XAUUSDc,26,8.718,13.077,4,0.709,19.1,380,34.2105,0,7,0,0.01,1.8,2.0,0.0,0.5,15,1,10.579,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.972,1.041,-2.0,-1.01,3.16,-3.0,4.002,0.99,0.0,-2.0,-4.0,0.967,-1.0,0.891,-3.0,-1.502,1.952,2.841,-1.0,-3.0,-1.0,1.854,-0.19,-1.022,0.038,1.109,-1.944,-0.014,3.12,0.985,-0.028,2.048,1.227,1.882,0.97,-3.0,3.004,1.064,-1.0,-3.0,-3.0,-4.0,2.896,2.028,-2.014,3.386,2.881,-3.002,1.957,-1.0,-1.982,-4.0,-5.0,0.031,2.115,5.067,-0.009,-0.83,-0.062,-4.0,-0.989,1.973,3.089,0.991,0.002,0.993,0.991,-2.0,0.977,-2.0,0.0,-3.0,-1.002,-2.005,0.044,-0.816,-0.001,2.253,-0.009,0.994,0.007,-1.0,4.1,-0.942,6.265,-4.0,-0.987,1.097,-1.03,-1.97,-1.001,0.048,1.04,-1.984,5.002,0.0,2.985,-2.0,1.118,3.011,0.953,1.946,2.076,-2.0,5.452,-5.0,-3.0,1.973,4.056,0.257,2.011,-3.0,5.046,-3.0,1.194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GoldGeo17,XAUUSDc,60,4.849,14.547,2,0.5091,69.78,361,22.7147,0,3,0,0.01,2.0,3.0,0.0,0.5,15,1,4.396,6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.832,-2.0,-2.0,3.371,-3.999,0.013,1.986,-2.0,-3.0,-3.0,2.303,-1.0,6.656,-3.0,-4.0,-0.053,3.219,0.034,1.168,-3.0,-3.0,1.027,2.73,-2.999,2.311,-4.0,-1.999,-0.04,-0.016,1.328,5.237,4.462,3.996,0.029,-3.0,8.053,2.079,-1.0,-3.0,-3.0,-4.0,3.969,-2.621,-5.0,3.739,-3.0,-6.0,4.079,-1.0,0.982,-4.0,-5.0,2.594,3.921,5.254,-2.0,1.247,-2.0,-0.007,0.432,-3.0,-2.0,-1.0,-5.0,2.156,1.141,-2.0,5.543,-2.0,0.0,-3.0,-0.003,-1.007,1.848,-4.0,1.426,11.309,-3.0,-4.0,1.097,-1.0,8.431,0.028,7.303,-4.0,0.032,-2.0,0.351,-5.0,2.716,1.024,-3.0,-0.857,5.345,0.0,6.931,-2.0,2.316,-2.0,5.978,1.294,4.494,-2.0,2.624,-6.0,-3.0,1.196,0.043,-3.0,-3.0,0.292,2.166,-4.0,9.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GoldGeo17,XAUUSDc,44,9.0245,18.049,3,0.6575,56.24,371,22.372,0,3,0,0.01,2.0,3.0,0.0,0.3,15,1,7.898,8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.832,-2.0,-4.0,3.371,-4.0,0.014,1.986,-2.0,-3.0,-4.0,3.842,-0.999,6.656,-3.0,-5.0,-0.052,3.219,0.034,3.124,-3.0,-3.0,1.027,2.731,-2.999,2.311,-4.0,-1.999,-0.04,-1.016,1.767,5.237,4.462,3.996,0.029,-3.0,8.053,2.079,-1.0,-3.0,-3.0,-4.0,4.02,-2.056,-5.0,3.739,-3.0,-6.0,4.079,-1.0,0.982,-4.0,-5.0,2.594,3.921,5.325,-3.0,-3.0,-2.0,0.513,0.432,-3.0,-2.0,1.002,2.383,2.369,1.141,-2.0,5.543,-2.0,-1.0,-3.0,-0.002,-0.984,1.848,-4.0,1.426,11.309,-3.0,-4.0,1.24,-1.0,8.431,0.028,7.303,-4.0,0.032,-2.0,0.733,-5.0,2.716,1.024,-4.0,-0.857,5.613,0.0,6.931,-2.0,2.609,-3.0,6.128,1.294,4.494,-2.0,2.624,-6.0,-2.999,1.196,0.098,-3.0,-3.0,0.291,2.858,-4.0,9.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
