leg,sym,pass,score,nbpR,segpos,rf,oneop,ops,win,sizing,smaP,slowP,mult,step,tpR,trailR,half,mgmtTF,stack,extop1R,nmonster,addtrig,lineplace,nback,buffer,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,w22,w23,w24,w25,w26,w27,w28,w29,w30,w31,w32,w33,w34,w35,w36,w37,w38,w39,w40,w41,w42,w43,w44,w45,w46,w47,w48,w49,w50,w51,w52,w53,w54,w55,w56,w57,w58,w59,w60,w61,w62,w63,w64,w65,w66,w67,w68,w69,w70,w71,w72,w73,w74,w75,w76,w77,w78,w79,w80,w81,w82,w83,w84,w85,w86,w87,w88,w89,w90,w91,w92,w93,w94,w95,w96,w97,w98,w99,w100,w101,w102,w103,w104,w105,w106,w107,w108,w109,w110,w111,w112,w113,w114,w115,w116,w117,w118,w119,w120,w121,w122,w123,w124,w125,w126,w127,w128,w129
GoldShield,XAUUSDc,12,15.6207,23.431,4,0.9891,14.93,254,24.8031,0,7,0,0.01,1.7,3.5,0.0,0.3,15,0,19.932,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.664,-2.0,-2.0,2.455,-3.0,0.499,2.483,0.0,-2.0,-3.0,-1.0,-1.0,2.28,-3.0,0.0,-2.0,-3.0,-1.0,1.302,-1.0,-1.0,0.3,-1.0,2.333,2.346,0.0,2.465,3.262,3.333,-3.0,3.466,2.427,4.776,0.48,-3.0,3.374,5.94,0.0,2.178,-4.0,-4.0,3.873,-2.0,-5.0,1.44,0.0,-2.0,1.435,-1.0,0.874,-4.0,-2.0,2.431,3.423,-1.0,0.0,-3.0,-2.0,0.387,0.448,-3.0,-1.0,0.0,-4.0,2.418,2.32,-2.0,6.895,-2.0,0.0,0.0,0.0,0.0,1.047,0.0,0.0,4.685,-3.0,1.43,1.446,-1.0,0.0,0.0,2.437,0.357,0.462,-1.0,0.418,-5.0,1.415,1.478,-1.0,-0.544,5.867,0.0,7.252,-2.0,-1.0,5.742,2.418,1.415,1.492,-2.0,1.441,-2.0,-3.0,-1.0,3.449,-1.0,-3.0,1.462,2.463,-4.0,2.492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GoldShield,XAUUSDc,17,19.578,29.367,4,1.2587,13.59,234,23.0769,0,7,0,0.01,1.7,4.0,0.0,0.7,15,0,25.375,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.121,-2.0,-2.0,2.949,-3.0,0.926,2.981,0.0,-2.0,-3.0,-1.0,-1.0,3.568,-3.0,0.0,-2.0,-3.0,-1.0,3.66,-1.0,-1.0,0.799,-1.0,3.703,3.73,0.0,2.96,0.0,1.731,-3.0,3.962,2.916,5.769,0.978,-3.0,3.868,6.952,-1.0,-2.0,-4.0,-4.0,1.927,-0.205,-5.0,0.0,1.715,-5.0,3.716,-1.0,1.869,-4.0,-2.0,2.912,3.918,-1.0,0.0,-3.0,-2.0,0.876,1.941,-3.0,-1.0,0.0,-4.0,2.915,2.816,-1.0,7.886,-2.0,0.0,0.0,0.0,0.0,1.526,0.0,0.0,1.761,-3.0,1.926,1.938,-1.0,0.0,0.0,2.932,0.0,0.0,-2.0,-3.0,3.835,0.931,1.975,-1.0,0.952,2.952,3.902,-0.175,-2.0,-1.0,6.719,2.906,1.903,1.991,-2.0,-1.0,2.887,-3.0,-1.0,3.942,-1.0,-3.0,0.0,2.956,-4.0,2.991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GoldShield,XAUUSDc,13,15.6207,23.431,4,0.9891,14.93,254,24.8031,0,7,0,0.01,1.7,3.5,0.0,0.5,15,0,19.932,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.664,-2.0,-2.0,2.455,-3.0,0.499,2.483,0.0,-2.0,-3.0,-1.0,-1.0,2.28,-3.0,0.0,-2.0,-3.0,-1.0,1.302,-1.0,-1.0,0.3,-1.0,2.333,2.346,0.0,2.465,3.262,3.333,-3.0,3.466,2.427,4.776,0.48,-3.0,3.374,5.94,0.0,2.178,-4.0,-4.0,3.873,-2.0,-5.0,1.44,0.0,-2.0,1.435,-1.0,0.874,-4.0,-2.0,2.431,3.423,-1.0,0.0,-3.0,-2.0,0.387,0.448,-3.0,-1.0,0.0,-4.0,2.418,2.32,-2.0,6.895,-2.0,0.0,0.0,0.0,0.0,1.047,0.0,0.0,4.685,-3.0,1.43,1.446,-1.0,0.0,0.0,2.437,0.357,0.462,-1.0,0.418,-5.0,1.415,1.478,-1.0,-0.544,5.867,0.0,7.252,-2.0,-1.0,5.742,2.418,1.415,1.492,-2.0,1.441,-2.0,-3.0,-1.0,3.449,-1.0,-3.0,1.462,2.463,-4.0,2.492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GoldShield,XAUUSDc,14,15.6207,23.431,4,0.9891,14.93,254,24.8031,0,7,0,0.01,1.7,3.5,0.0,0.7,15,0,19.932,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.664,-2.0,-2.0,2.455,-3.0,0.499,2.483,0.0,-2.0,-3.0,-1.0,-1.0,2.28,-3.0,0.0,-2.0,-3.0,-1.0,1.302,-1.0,-1.0,0.3,-1.0,2.333,2.346,0.0,2.465,3.262,3.333,-3.0,3.466,2.427,4.776,0.48,-3.0,3.374,5.94,0.0,2.178,-4.0,-4.0,3.873,-2.0,-5.0,1.44,0.0,-2.0,1.435,-1.0,0.874,-4.0,-2.0,2.431,3.423,-1.0,0.0,-3.0,-2.0,0.387,0.448,-3.0,-1.0,0.0,-4.0,2.418,2.32,-2.0,6.895,-2.0,0.0,0.0,0.0,0.0,1.047,0.0,0.0,4.685,-3.0,1.43,1.446,-1.0,0.0,0.0,2.437,0.357,0.462,-1.0,0.418,-5.0,1.415,1.478,-1.0,-0.544,5.867,0.0,7.252,-2.0,-1.0,5.742,2.418,1.415,1.492,-2.0,1.441,-2.0,-3.0,-1.0,3.449,-1.0,-3.0,1.462,2.463,-4.0,2.492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GoldShield,XAUUSDc,16,19.578,29.367,4,1.2587,13.59,234,23.0769,0,7,0,0.01,1.7,4.0,0.0,0.5,15,0,25.375,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.121,-2.0,-2.0,2.949,-3.0,0.926,2.981,0.0,-2.0,-3.0,-1.0,-1.0,3.568,-3.0,0.0,-2.0,-3.0,-1.0,3.66,-1.0,-1.0,0.799,-1.0,3.703,3.73,0.0,2.96,0.0,1.731,-3.0,3.962,2.916,5.769,0.978,-3.0,3.868,6.952,-1.0,-2.0,-4.0,-4.0,1.927,-0.205,-5.0,0.0,1.715,-5.0,3.716,-1.0,1.869,-4.0,-2.0,2.912,3.918,-1.0,0.0,-3.0,-2.0,0.876,1.941,-3.0,-1.0,0.0,-4.0,2.915,2.816,-1.0,7.886,-2.0,0.0,0.0,0.0,0.0,1.526,0.0,0.0,1.761,-3.0,1.926,1.938,-1.0,0.0,0.0,2.932,0.0,0.0,-2.0,-3.0,3.835,0.931,1.975,-1.0,0.952,2.952,3.902,-0.175,-2.0,-1.0,6.719,2.906,1.903,1.991,-2.0,-1.0,2.887,-3.0,-1.0,3.942,-1.0,-3.0,0.0,2.956,-4.0,2.991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GoldShield,XAUUSDc,15,19.578,29.367,4,1.2587,13.59,234,23.0769,0,7,0,0.01,1.7,4.0,0.0,0.3,15,0,25.375,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.121,-2.0,-2.0,2.949,-3.0,0.926,2.981,0.0,-2.0,-3.0,-1.0,-1.0,3.568,-3.0,0.0,-2.0,-3.0,-1.0,3.66,-1.0,-1.0,0.799,-1.0,3.703,3.73,0.0,2.96,0.0,1.731,-3.0,3.962,2.916,5.769,0.978,-3.0,3.868,6.952,-1.0,-2.0,-4.0,-4.0,1.927,-0.205,-5.0,0.0,1.715,-5.0,3.716,-1.0,1.869,-4.0,-2.0,2.912,3.918,-1.0,0.0,-3.0,-2.0,0.876,1.941,-3.0,-1.0,0.0,-4.0,2.915,2.816,-1.0,7.886,-2.0,0.0,0.0,0.0,0.0,1.526,0.0,0.0,1.761,-3.0,1.926,1.938,-1.0,0.0,0.0,2.932,0.0,0.0,-2.0,-3.0,3.835,0.931,1.975,-1.0,0.952,2.952,3.902,-0.175,-2.0,-1.0,6.719,2.906,1.903,1.991,-2.0,-1.0,2.887,-3.0,-1.0,3.942,-1.0,-3.0,0.0,2.956,-4.0,2.991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GoldShield,XAUUSDc,4,25.138,37.707,4,2.3527,5.3,354,37.5706,0,7,0,0.01,1.7,2.0,0.0,0.5,15,0,35.708,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.972,0.936,1.879,-0.01,2.972,-3.0,3.918,0.99,0.0,-2.0,-3.0,0.831,0.0,-2.0,-3.0,-2.1,1.857,2.818,-4.0,-0.058,-1.0,1.73,-0.198,-0.056,-0.015,0.902,-2.02,-0.014,2.805,0.927,-0.062,0.981,0.958,1.794,0.97,-3.0,2.914,0.986,-1.0,-2.0,-4.0,-5.0,1.88,1.769,-2.057,3.879,2.803,-3.017,1.931,-1.0,-1.115,-4.0,-2.0,0.94,1.935,5.829,-0.07,-1.059,-0.062,-2.0,-2.03,1.864,2.946,0.991,0.808,0.985,3.818,-2.0,3.964,-2.0,0.0,0.0,0.0,1.631,-0.063,-1.047,-0.001,1.931,-1.009,-0.014,4.851,-0.007,3.855,-1.036,3.891,-0.029,-1.022,0.934,-1.069,-1.0,-2.05,4.922,-0.035,-4.0,3.941,2.888,3.67,-2.0,0.955,-0.076,-3.0,1.899,6.73,-1.0,0.0,-0.102,-3.0,2.955,3.902,-0.064,1.936,-2.0,3.905,-3.0,-0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GoldShield,XAUUSDc,3,25.138,37.707,4,2.3527,5.3,354,37.5706,0,7,0,0.01,1.7,2.0,0.0,0.3,15,0,35.708,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.972,0.936,1.879,-0.01,2.972,-3.0,3.918,0.99,0.0,-2.0,-3.0,0.831,0.0,-2.0,-3.0,-2.1,1.857,2.818,-4.0,-0.058,-1.0,1.73,-0.198,-0.056,-0.015,0.902,-2.02,-0.014,2.805,0.927,-0.062,0.981,0.958,1.794,0.97,-3.0,2.914,0.986,-1.0,-2.0,-4.0,-5.0,1.88,1.769,-2.057,3.879,2.803,-3.017,1.931,-1.0,-1.115,-4.0,-2.0,0.94,1.935,5.829,-0.07,-1.059,-0.062,-2.0,-2.03,1.864,2.946,0.991,0.808,0.985,3.818,-2.0,3.964,-2.0,0.0,0.0,0.0,1.631,-0.063,-1.047,-0.001,1.931,-1.009,-0.014,4.851,-0.007,3.855,-1.036,3.891,-0.029,-1.022,0.934,-1.069,-1.0,-2.05,4.922,-0.035,-4.0,3.941,2.888,3.67,-2.0,0.955,-0.076,-3.0,1.899,6.73,-1.0,0.0,-0.102,-3.0,2.955,3.902,-0.064,1.936,-2.0,3.905,-3.0,-0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GoldShield,XAUUSDc,0,14.573,29.146,3,1.3877,5.15,412,43.4466,0,7,0,0.01,1.7,1.5,0.0,0.3,15,0,27.646,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.479,-0.061,0.472,-0.508,1.979,-2.504,2.429,0.493,1.472,-0.504,-3.0,0.333,0.0,-2.0,-3.0,-2.575,-0.138,2.36,-0.008,-0.554,2.421,-0.698,-0.697,-0.518,-1.511,1.893,-4.0,-0.51,0.916,-0.066,0.962,0.986,2.452,-0.58,2.469,-3.0,1.925,0.489,-1.0,-0.549,-3.0,-5.0,0.883,0.284,-2.553,3.828,0.946,-3.513,0.937,0.45,-3.014,-1.51,0.457,0.443,1.439,3.355,-0.557,-1.553,1.947,-2.0,-1.039,2.35,0.966,0.493,-0.025,4.475,1.864,-0.515,4.435,1.972,0.0,0.0,0.0,2.659,0.938,-1.529,1.994,-0.063,-1.507,0.973,3.375,0.97,2.387,-2.527,5.371,1.938,-1.516,0.931,0.948,-1.0,-0.058,4.902,3.408,-4.0,2.45,3.856,1.752,-2.0,0.472,-0.559,-3.0,0.925,6.283,-1.0,-1.568,-2.522,-3.0,1.966,-0.041,-0.56,0.952,-0.557,4.92,-3.0,-0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GoldShield,XAUUSDc,1,14.573,29.146,3,1.3877,5.15,412,43.4466,0,7,0,0.01,1.7,1.5,0.0,0.5,15,0,27.646,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.479,-0.061,0.472,-0.508,1.979,-2.504,2.429,0.493,1.472,-0.504,-3.0,0.333,0.0,-2.0,-3.0,-2.575,-0.138,2.36,-0.008,-0.554,2.421,-0.698,-0.697,-0.518,-1.511,1.893,-4.0,-0.51,0.916,-0.066,0.962,0.986,2.452,-0.58,2.469,-3.0,1.925,0.489,-1.0,-0.549,-3.0,-5.0,0.883,0.284,-2.553,3.828,0.946,-3.513,0.937,0.45,-3.014,-1.51,0.457,0.443,1.439,3.355,-0.557,-1.553,1.947,-2.0,-1.039,2.35,0.966,0.493,-0.025,4.475,1.864,-0.515,4.435,1.972,0.0,0.0,0.0,2.659,0.938,-1.529,1.994,-0.063,-1.507,0.973,3.375,0.97,2.387,-2.527,5.371,1.938,-1.516,0.931,0.948,-1.0,-0.058,4.902,3.408,-4.0,2.45,3.856,1.752,-2.0,0.472,-0.559,-3.0,0.925,6.283,-1.0,-1.568,-2.522,-3.0,1.966,-0.041,-0.56,0.952,-0.557,4.92,-3.0,-0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
