leg,sym,pass,score,nbpR,segpos,rf,oneop,ops,win,sizing,smaP,slowP,mult,step,tpR,trailR,half,mgmtTF,stack,extop1R,nmonster,addtrig,lineplace,nback,buffer,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,w22,w23,w24,w25,w26,w27,w28,w29,w30,w31,w32,w33,w34,w35,w36,w37,w38,w39,w40,w41,w42,w43,w44,w45,w46,w47,w48,w49,w50,w51,w52,w53,w54,w55,w56,w57,w58,w59,w60,w61,w62,w63,w64,w65,w66,w67,w68,w69,w70,w71,w72,w73,w74,w75,w76,w77,w78,w79,w80,w81,w82,w83,w84,w85,w86,w87,w88,w89,w90,w91,w92,w93,w94,w95,w96,w97,w98,w99,w100,w101,w102,w103,w104,w105,w106,w107,w108,w109,w110,w111,w112,w113,w114,w115,w116,w117,w118,w119,w120,w121,w122,w123,w124,w125,w126,w127,w128,w129
GoldShield,XAUUSDc,2,20.4553,30.683,4,1.2994,23.07,349,34.957,0,7,0,0.01,1.7,0.0,1.5,0.7,15,0,23.603,9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,0.318,-0.925,-0.135,-2.508,-2.607,0.586,0.655,-1.622,-0.956,-3.485,0.782,-1.084,-2.24,-2.884,0.073,-0.432,-0.339,-2.257,0.841,0.45,-1.803,1.501,-1.463,-0.172,3.135,-4.0,0.139,0.0,2.855,1.296,-1.276,1.627,2.526,4.055,-2.916,-1.623,6.495,-1.607,-0.813,-2.408,-4.582,1.424,1.336,-1.782,-0.535,-1.228,-2.994,0.29,-0.94,8.106,-2.615,-3.827,-1.532,3.938,2.409,-0.471,-3.0,-0.413,0.545,-1.104,-0.703,0.636,-0.389,-0.65,7.948,0.061,0.226,3.279,-0.098,0.0,-2.252,1.74,-4.0,1.806,-0.283,1.28,2.549,-2.22,-0.778,4.54,2.092,1.924,-3.288,8.847,0.605,0.221,-0.841,0.016,-1.0,5.884,3.151,0.691,-0.426,5.037,8.89,-0.801,1.944,-0.441,-1.773,-0.549,-0.949,5.69,1.758,0.0,0.0,0.0,0.0,-0.134,-1.701,-1.115,-1.104,2.032,-0.933,2.835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GoldShield,XAUUSDc,0,20.4553,30.683,4,1.2994,23.07,349,34.957,0,7,0,0.01,1.7,0.0,1.5,0.3,15,0,23.603,9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,0.318,-0.925,-0.135,-2.508,-2.607,0.586,0.655,-1.622,-0.956,-3.485,0.782,-1.084,-2.24,-2.884,0.073,-0.432,-0.339,-2.257,0.841,0.45,-1.803,1.501,-1.463,-0.172,3.135,-4.0,0.139,0.0,2.855,1.296,-1.276,1.627,2.526,4.055,-2.916,-1.623,6.495,-1.607,-0.813,-2.408,-4.582,1.424,1.336,-1.782,-0.535,-1.228,-2.994,0.29,-0.94,8.106,-2.615,-3.827,-1.532,3.938,2.409,-0.471,-3.0,-0.413,0.545,-1.104,-0.703,0.636,-0.389,-0.65,7.948,0.061,0.226,3.279,-0.098,0.0,-2.252,1.74,-4.0,1.806,-0.283,1.28,2.549,-2.22,-0.778,4.54,2.092,1.924,-3.288,8.847,0.605,0.221,-0.841,0.016,-1.0,5.884,3.151,0.691,-0.426,5.037,8.89,-0.801,1.944,-0.441,-1.773,-0.549,-0.949,5.69,1.758,0.0,0.0,0.0,0.0,-0.134,-1.701,-1.115,-1.104,2.032,-0.933,2.835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GoldShield,XAUUSDc,1,20.4553,30.683,4,1.2994,23.07,349,34.957,0,7,0,0.01,1.7,0.0,1.5,0.5,15,0,23.603,9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,0.318,-0.925,-0.135,-2.508,-2.607,0.586,0.655,-1.622,-0.956,-3.485,0.782,-1.084,-2.24,-2.884,0.073,-0.432,-0.339,-2.257,0.841,0.45,-1.803,1.501,-1.463,-0.172,3.135,-4.0,0.139,0.0,2.855,1.296,-1.276,1.627,2.526,4.055,-2.916,-1.623,6.495,-1.607,-0.813,-2.408,-4.582,1.424,1.336,-1.782,-0.535,-1.228,-2.994,0.29,-0.94,8.106,-2.615,-3.827,-1.532,3.938,2.409,-0.471,-3.0,-0.413,0.545,-1.104,-0.703,0.636,-0.389,-0.65,7.948,0.061,0.226,3.279,-0.098,0.0,-2.252,1.74,-4.0,1.806,-0.283,1.28,2.549,-2.22,-0.778,4.54,2.092,1.924,-3.288,8.847,0.605,0.221,-0.841,0.016,-1.0,5.884,3.151,0.691,-0.426,5.037,8.89,-0.801,1.944,-0.441,-1.773,-0.549,-0.949,5.69,1.758,0.0,0.0,0.0,0.0,-0.134,-1.701,-1.115,-1.104,2.032,-0.933,2.835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GoldShield,XAUUSDc,5,32.5667,48.85,4,2.3834,27.64,283,36.0424,0,7,0,0.01,1.7,0.0,2.0,0.7,15,0,35.347,7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.082,0.0,-0.442,-0.744,-3.283,-0.408,3.775,-1.608,-1.455,-2.981,0.284,0.0,-0.578,-1.966,-0.8,-1.097,-1.849,-2.984,0.687,-0.289,-0.906,1.001,-1.962,1.79,2.642,-4.0,-0.173,-2.289,3.549,1.502,2.626,0.0,3.847,1.49,-3.0,1.166,6.0,0.0,-1.952,-2.471,-5.0,5.665,0.311,-1.858,1.248,-1.23,-4.426,-0.265,-1.0,1.814,-3.166,-1.324,-1.0,6.83,2.349,-1.127,2.43,-1.347,3.811,-2.421,-1.5,-0.344,-0.893,-1.218,6.958,1.166,2.923,3.617,4.776,0.0,0.0,-2.802,-0.388,3.028,0.0,0.986,3.03,-2.717,3.809,3.52,1.137,2.054,-2.375,3.769,-0.531,-2.0,3.496,-0.986,-1.641,0.227,1.883,-1.535,2.442,4.54,8.327,1.27,-2.0,-0.48,1.014,-0.725,-2.467,13.503,1.23,0.0,0.0,0.0,0.0,0.0,-0.813,-1.696,-0.887,2.096,-1.787,2.336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GoldShield,XAUUSDc,3,32.5667,48.85,4,2.3834,27.64,283,36.0424,0,7,0,0.01,1.7,0.0,2.0,0.3,15,0,35.347,7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.082,0.0,-0.442,-0.744,-3.283,-0.408,3.775,-1.608,-1.455,-2.981,0.284,0.0,-0.578,-1.966,-0.8,-1.097,-1.849,-2.984,0.687,-0.289,-0.906,1.001,-1.962,1.79,2.642,-4.0,-0.173,-2.289,3.549,1.502,2.626,0.0,3.847,1.49,-3.0,1.166,6.0,0.0,-1.952,-2.471,-5.0,5.665,0.311,-1.858,1.248,-1.23,-4.426,-0.265,-1.0,1.814,-3.166,-1.324,-1.0,6.83,2.349,-1.127,2.43,-1.347,3.811,-2.421,-1.5,-0.344,-0.893,-1.218,6.958,1.166,2.923,3.617,4.776,0.0,0.0,-2.802,-0.388,3.028,0.0,0.986,3.03,-2.717,3.809,3.52,1.137,2.054,-2.375,3.769,-0.531,-2.0,3.496,-0.986,-1.641,0.227,1.883,-1.535,2.442,4.54,8.327,1.27,-2.0,-0.48,1.014,-0.725,-2.467,13.503,1.23,0.0,0.0,0.0,0.0,0.0,-0.813,-1.696,-0.887,2.096,-1.787,2.336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GoldShield,XAUUSDc,6,24.125,48.25,3,1.6448,36.32,216,31.4815,0,7,0,0.01,1.7,0.0,2.5,0.3,15,0,30.728,8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.375,0.0,-1.436,1.567,-2.782,-2.405,12.431,-3.0,-1.954,-3.0,-0.214,0.0,-2.0,-3.0,-1.291,-1.596,-0.153,-3.482,0.191,-0.787,-0.897,1.142,-2.0,1.296,2.112,-4.0,-0.669,-2.842,2.555,4.044,1.189,0.0,2.862,1.496,-3.0,2.397,1.223,0.0,3.33,-3.0,-5.0,3.29,1.831,-2.354,0.254,-2.228,-5.055,-0.804,-1.0,1.323,-3.663,-1.881,-1.0,0.0,10.696,0.0,-2.049,-1.847,0.0,2.235,-1.994,0.139,-0.517,-1.715,0.194,0.669,1.933,3.122,6.017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.522,1.293,1.159,-2.356,3.019,-0.22,-3.0,2.506,-1.981,-2.135,0.0,3.658,-1.643,1.946,4.043,8.776,0.808,-2.0,-0.962,0.52,-1.208,-2.0,20.566,4.857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.485,-2.568,1.837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GoldShield,XAUUSDc,7,24.125,48.25,3,1.6448,36.32,216,31.4815,0,7,0,0.01,1.7,0.0,2.5,0.5,15,0,30.728,8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.375,0.0,-1.436,1.567,-2.782,-2.405,12.431,-3.0,-1.954,-3.0,-0.214,0.0,-2.0,-3.0,-1.291,-1.596,-0.153,-3.482,0.191,-0.787,-0.897,1.142,-2.0,1.296,2.112,-4.0,-0.669,-2.842,2.555,4.044,1.189,0.0,2.862,1.496,-3.0,2.397,1.223,0.0,3.33,-3.0,-5.0,3.29,1.831,-2.354,0.254,-2.228,-5.055,-0.804,-1.0,1.323,-3.663,-1.881,-1.0,0.0,10.696,0.0,-2.049,-1.847,0.0,2.235,-1.994,0.139,-0.517,-1.715,0.194,0.669,1.933,3.122,6.017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.522,1.293,1.159,-2.356,3.019,-0.22,-3.0,2.506,-1.981,-2.135,0.0,3.658,-1.643,1.946,4.043,8.776,0.808,-2.0,-0.962,0.52,-1.208,-2.0,20.566,4.857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.485,-2.568,1.837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GoldShield,XAUUSDc,11,40.2442,48.293,5,2.2003,37.94,183,29.5082,0,7,0,0.01,1.7,0.0,3.0,0.7,15,0,29.971,9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.217,0.0,-1.817,1.074,-3.0,-2.9,3.718,5.715,-2.453,-3.0,-0.712,0.704,0.0,1.378,0.0,-1.892,-1.148,-3.98,-0.305,-1.0,-0.438,0.643,-2.0,0.802,1.619,-4.0,-1.166,-3.0,4.11,3.544,1.692,0.0,2.875,0.501,-3.0,1.902,0.727,0.0,2.813,-3.0,-5.0,2.792,-1.95,-0.557,-0.176,0.0,-4.036,-0.251,-1.0,0.0,0.0,4.596,-1.0,0.0,10.199,0.0,-1.54,-2.0,0.0,0.495,-2.487,-0.353,-1.0,-3.212,4.644,0.173,0.963,2.628,-1.993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.043,0.794,0.181,-1.776,2.509,-0.719,-3.0,1.517,-3.0,0.0,0.0,5.365,-1.799,1.45,3.546,7.793,0.346,-2.0,-1.0,0.025,-1.701,-2.0,18.322,4.388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GoldShield,XAUUSDc,4,32.5667,48.85,4,2.3834,27.64,283,36.0424,0,7,0,0.01,1.7,0.0,2.0,0.5,15,0,35.347,7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.082,0.0,-0.442,-0.744,-3.283,-0.408,3.775,-1.608,-1.455,-2.981,0.284,0.0,-0.578,-1.966,-0.8,-1.097,-1.849,-2.984,0.687,-0.289,-0.906,1.001,-1.962,1.79,2.642,-4.0,-0.173,-2.289,3.549,1.502,2.626,0.0,3.847,1.49,-3.0,1.166,6.0,0.0,-1.952,-2.471,-5.0,5.665,0.311,-1.858,1.248,-1.23,-4.426,-0.265,-1.0,1.814,-3.166,-1.324,-1.0,6.83,2.349,-1.127,2.43,-1.347,3.811,-2.421,-1.5,-0.344,-0.893,-1.218,6.958,1.166,2.923,3.617,4.776,0.0,0.0,-2.802,-0.388,3.028,0.0,0.986,3.03,-2.717,3.809,3.52,1.137,2.054,-2.375,3.769,-0.531,-2.0,3.496,-0.986,-1.641,0.227,1.883,-1.535,2.442,4.54,8.327,1.27,-2.0,-0.48,1.014,-0.725,-2.467,13.503,1.23,0.0,0.0,0.0,0.0,0.0,-0.813,-1.696,-0.887,2.096,-1.787,2.336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GoldShield,XAUUSDc,10,40.2442,48.293,5,2.2003,37.94,183,29.5082,0,7,0,0.01,1.7,0.0,3.0,0.5,15,0,29.971,9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.217,0.0,-1.817,1.074,-3.0,-2.9,3.718,5.715,-2.453,-3.0,-0.712,0.704,0.0,1.378,0.0,-1.892,-1.148,-3.98,-0.305,-1.0,-0.438,0.643,-2.0,0.802,1.619,-4.0,-1.166,-3.0,4.11,3.544,1.692,0.0,2.875,0.501,-3.0,1.902,0.727,0.0,2.813,-3.0,-5.0,2.792,-1.95,-0.557,-0.176,0.0,-4.036,-0.251,-1.0,0.0,0.0,4.596,-1.0,0.0,10.199,0.0,-1.54,-2.0,0.0,0.495,-2.487,-0.353,-1.0,-3.212,4.644,0.173,0.963,2.628,-1.993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.043,0.794,0.181,-1.776,2.509,-0.719,-3.0,1.517,-3.0,0.0,0.0,5.365,-1.799,1.45,3.546,7.793,0.346,-2.0,-1.0,0.025,-1.701,-2.0,18.322,4.388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
