leg,sym,pass,score,nbpR,segpos,rf,oneop,ops,win,sizing,smaP,slowP,mult,step,tpR,trailR,half,mgmtTF,stack,extop1R,nmonster,addtrig,lineplace,nback,buffer,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,w22,w23,w24,w25,w26,w27,w28,w29,w30,w31,w32,w33,w34,w35,w36,w37,w38,w39,w40,w41,w42,w43,w44,w45,w46,w47,w48,w49,w50,w51,w52,w53,w54,w55,w56,w57,w58,w59,w60,w61,w62,w63,w64,w65,w66,w67,w68,w69,w70,w71,w72,w73,w74,w75,w76,w77,w78,w79,w80,w81,w82,w83,w84,w85,w86,w87,w88,w89,w90,w91,w92,w93,w94,w95,w96,w97,w98,w99,w100,w101,w102,w103,w104,w105,w106,w107,w108,w109,w110,w111,w112,w113,w114,w115,w116,w117,w118,w119,w120,w121,w122,w123,w124,w125,w126,w127,w128,w129
GoldS210,XAUUSDc,27,132.2825,158.739,5,5.6571,61.97,388,20.1031,1,9,200,0.015,2.0,3.0,0.0,0.3,15,1,60.37,23,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.231,-3.0,-2.0,-3.999,-4.0,15.704,1.986,0.0,-3.0,-4.0,8.309,-1.0,2.723,-3.0,-4.0,5.749,1.467,-1.0,19.98,-3.0,-4.0,-4.0,1.579,-4.0,5.446,-4.0,-2.0,0.633,-0.016,2.139,-5.0,5.005,4.096,-1.029,2.384,6.889,2.894,-2.0,1.293,-3.0,-4.0,9.412,1.919,-5.0,3.747,-3.0,-6.0,4.006,-1.0,0.59,-4.0,4.376,2.204,4.561,0.021,-5.0,-3.0,-2.0,-4.0,1.848,-4.0,-1.0,-3.0,3.522,2.576,1.018,-2.0,1.978,-2.999,-3.0,-2.0,-0.003,-1.007,0.463,-3.0,1.448,7.058,-3.0,4.734,1.04,-1.0,8.116,4.904,6.15,-4.0,1.941,-5.0,3.315,-5.0,7.207,1.078,-3.0,-0.952,5.624,0.0,102.56,-2.0,4.687,-4.0,6.002,1.602,0.093,-2.0,3.801,-5.999,-3.0,0.969,0.108,-4.0,-3.0,6.832,4.263,-4.0,7.463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GoldS210,XAUUSDc,48,-0.0,-38.419,0,-0.6991,0.0,391,17.6471,1,5,150,0.015,1.8,3.0,0.0,0.5,15,1,-48.426,13,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.019,-4.0,-1.0,-4.0,-5.999,-0.001,1.986,0.0,-3.0,-4.0,9.007,-1.0,2.768,-3.0,-3.0,0.021,4.302,-4.0,1.47,-3.0,-4.0,2.028,0.662,-5.0,-3.0,-4.0,-2.0,0.909,-1.016,2.866,-5.0,6.046,3.982,1.135,-3.0,8.018,3.937,-1.0,-3.0,-3.0,-4.0,1.701,0.665,-5.0,3.474,-3.0,-5.999,4.003,-1.0,1.544,-4.0,-1.047,2.86,4.609,6.817,-5.0,-3.0,-2.0,-4.0,2.431,-3.0,-1.0,-3.0,-6.0,2.441,1.088,-2.0,5.574,-2.0,-4.0,-2.0,-0.003,-1.007,1.097,-3.0,2.645,7.542,-3.0,4.579,1.04,-1.0,3.189,-4.0,0.988,-4.0,2.755,-5.0,-0.452,-5.0,1.773,1.079,-3.0,-0.956,6.014,0.0,2.683,-2.0,-2.0,-4.0,6.154,3.834,0.153,-2.0,6.667,-6.0,-4.999,1.098,-3.999,-4.0,-3.0,-0.623,3.515,-4.0,8.514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GoldS210,XAUUSDc,43,85.1213,127.682,4,3.6022,77.04,377,20.6897,1,9,200,0.015,1.6,3.0,0.0,0.5,15,1,29.313,18,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.67,-3.0,-2.0,-4.0,-4.0,7.165,1.986,0.0,-3.0,-4.0,8.309,-1.0,2.656,-3.0,-2.0,5.733,1.467,-1.0,7.957,-3.0,-3.0,-3.0,0.521,-4.0,5.381,-4.0,-2.0,0.559,6.065,4.075,-5.0,4.997,4.01,-1.029,-3.0,6.699,2.835,-2.0,1.17,-3.0,-4.0,6.381,-3.153,-5.0,3.747,-2.0,-6.0,4.006,-1.0,0.579,-4.0,-1.047,2.204,4.372,0.021,-5.0,-3.0,-2.0,-4.0,1.848,-4.0,-1.0,-3.0,2.884,2.576,1.009,-2.0,1.96,-3.0,-3.0,-2.0,-0.003,-1.007,0.379,-2.0,1.437,6.942,-3.0,3.591,1.04,-1.0,8.116,4.904,7.934,-4.0,1.941,-5.0,2.464,-5.0,7.207,1.078,-2.0,-0.952,5.624,0.0,102.56,-2.0,4.072,-4.0,6.002,1.602,0.093,-2.0,3.801,-6.0,-3.0,0.969,0.108,-3.0,-4.0,6.771,3.784,-4.0,5.612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GoldS210,XAUUSDc,59,92.6293,138.944,4,4.1938,70.8,382,20.1571,1,9,200,0.015,2.0,3.0,0.0,0.5,15,1,40.575,21,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.231,-3.0,-2.0,-3.999,-4.0,7.237,1.986,0.0,-3.0,-4.0,8.309,-1.0,2.723,-3.0,-3.0,5.749,1.467,-1.0,19.98,-3.0,-4.0,-3.0,0.579,-4.0,5.446,-4.0,-2.0,0.633,-0.016,4.157,-5.0,5.005,4.096,-1.029,-3.0,6.889,2.894,-2.0,1.293,-3.0,-4.0,9.412,-3.153,-5.0,3.747,-2.0,-6.0,4.006,-1.0,0.59,-4.0,-1.047,2.204,4.561,0.021,-5.0,-3.0,-2.0,-4.0,1.848,-4.0,-1.0,-3.0,3.522,2.576,1.018,-2.0,1.978,-2.999,-3.0,-2.0,-0.003,-1.007,0.463,-2.0,1.448,7.058,-3.0,4.734,1.04,-1.0,8.116,4.904,6.15,-4.0,1.941,-5.0,2.464,-5.0,7.207,1.078,-2.0,-0.952,5.624,0.0,102.56,-2.0,4.072,-4.0,6.002,1.602,0.093,-2.0,3.801,-6.0,-3.0,0.969,0.108,-4.0,-3.0,6.832,4.263,-4.0,7.463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GoldS210,XAUUSDc,20,7.7595,15.519,3,0.4911,76.82,389,20.3085,1,5,250,0.015,1.8,3.0,0.0,0.3,15,1,3.597,17,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.007,-3.0,-2.0,-4.0,-4.0,-0.001,1.986,0.0,-3.0,-4.0,5.946,-1.0,2.587,-3.0,-3.0,-0.012,1.287,-4.0,0.231,-4.0,-3.0,4.758,0.219,-4.0,2.986,-4.0,-2.0,-0.003,-0.016,1.832,-4.0,4.504,3.982,-1.029,2.937,8.738,2.736,-2.0,-2.0,-3.0,-4.0,6.9,0.248,-5.0,4.16,-3.0,-5.999,4.154,-1.0,0.401,-4.0,-6.0,2.283,4.699,6.201,-4.0,-3.0,-2.0,0.67,0.629,-4.0,-1.0,2.384,-6.0,4.174,2.088,-2.0,7.885,-2.0,-3.0,-2.0,-0.003,-1.007,1.388,-3.0,1.589,10.947,-3.0,3.343,1.04,-1.0,3.154,8.922,15.433,-4.0,0.452,-5.0,2.592,-5.0,1.577,1.079,-3.0,-0.956,5.891,0.0,1.973,-2.0,2.748,-4.0,6.043,2.06,7.012,-2.0,3.125,-6.0,-3.0,1.098,0.269,-3.0,-4.0,-0.71,1.053,-4.0,6.855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GoldS210,XAUUSDc,15,45.3158,54.379,5,1.7108,36.13,365,21.9178,1,9,300,0.015,1.6,3.0,0.0,0.3,15,1,34.734,13,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.474,-4.0,-1.0,18.645,-4.0,0.0,1.986,0.0,-3.0,-4.0,7.493,-1.0,6.818,-3.0,-3.0,-1.027,0.938,-1.0,6.061,-1.0,-4.0,-3.0,0.176,-4.0,1.841,-4.0,-2.0,0.107,5.581,1.519,7.831,2.527,4.01,-1.029,3.343,1.154,2.748,-2.0,-2.0,-3.0,-4.0,5.954,1.281,-5.0,3.051,-3.0,-6.0,-0.007,-1.0,0.006,-4.0,-5.0,2.14,4.238,1.022,-3.0,0.974,-2.0,-4.0,0.549,-3.0,-1.0,1.007,2.549,11.903,1.01,-2.0,1.96,-2.0,-2.0,-2.0,-0.003,-1.007,1.1,-2.0,1.188,17.55,-3.0,3.591,1.04,-1.0,9.366,-4.0,9.939,-4.0,0.026,-4.0,2.731,-5.0,4.687,1.078,-3.0,-0.864,5.24,0.0,1.903,-2.0,2.381,-2.0,5.912,2.041,4.781,-2.0,1.834,-5.0,0.057,0.969,0.024,-3.0,-4.0,0.739,5.327,-4.0,3.916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GoldS210,XAUUSDc,19,123.5542,148.265,5,5.1957,66.35,386,20.2073,1,9,200,0.015,1.8,3.0,0.0,0.3,15,1,49.896,21,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.924,-3.0,-2.0,-4.0,-3.999,15.575,1.986,0.0,-3.0,-4.0,8.309,-0.997,2.675,-3.0,-3.0,5.75,1.467,-1.0,10.343,-3.0,-4.0,-4.0,1.538,-4.0,5.406,-4.0,-2.0,0.584,-0.016,2.064,-5.0,4.997,4.028,-1.028,2.384,6.776,2.871,-2.0,1.225,-3.0,-4.0,9.412,1.919,-5.0,3.747,-3.0,-6.0,4.006,-1.0,0.579,-4.0,4.376,2.204,4.448,0.021,-5.0,-3.0,-2.0,-4.0,1.848,-4.0,-1.0,-3.0,3.054,2.576,1.018,-2.0,1.971,-3.0,-3.0,-2.0,-0.003,-1.007,0.407,-3.0,1.437,7.012,-3.0,4.001,1.04,-1.0,8.116,4.904,8.333,-4.0,1.941,-5.0,3.315,-5.0,7.207,1.078,-3.0,-0.952,5.624,0.0,102.56,-2.0,4.687,-4.0,6.002,1.602,0.093,-2.0,3.801,-5.999,-3.0,0.969,0.108,-3.0,-4.0,6.771,3.968,-4.0,6.209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GoldS210,XAUUSDc,55,44.8025,53.763,5,1.3906,36.87,361,21.8837,1,9,300,0.015,1.8,3.0,0.0,0.5,15,1,33.943,11,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.728,-4.0,-1.0,18.82,-4.0,-0.001,1.986,0.0,-3.0,-4.0,7.538,-0.998,6.859,-3.0,-3.0,-0.012,0.938,-1.0,10.763,-1.0,-4.0,-3.0,0.212,-4.0,1.845,-4.0,-2.0,0.16,5.509,3.447,7.831,2.544,4.028,-1.029,-3.0,1.239,2.784,-2.0,-2.0,-3.0,-4.0,4.833,-3.153,-5.0,3.051,-2.0,-6.0,-0.007,-1.0,0.029,-4.0,-5.0,2.162,4.314,1.021,-3.0,0.508,-2.0,-4.0,0.549,-3.0,-1.0,1.007,2.815,11.903,1.019,-2.0,1.971,-2.0,-2.0,-2.0,-0.003,-1.007,1.159,-2.0,1.188,17.655,-3.0,4.001,1.04,-1.0,9.366,-4.0,10.551,-4.0,0.051,-4.0,1.925,-5.0,4.687,1.078,-1.999,-0.864,5.24,0.0,1.903,-2.0,2.249,-2.0,5.912,2.041,4.781,-2.0,1.966,-5.0,-0.027,0.969,0.024,-3.0,-4.0,0.741,5.478,-4.0,4.445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GoldS210,XAUUSDc,34,136.9642,164.357,5,6.3801,60.45,377,20.9549,1,5,200,0.015,1.4,3.0,0.0,0.5,15,1,64.999,19,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.53,-3.0,-2.0,-4.0,-5.0,7.564,1.986,0.0,-3.0,-4.0,7.352,-1.0,2.639,-3.0,-2.0,5.733,1.985,-1.0,13.285,-3.0,-3.0,4.296,0.397,-5.0,6.176,-4.0,-2.0,15.227,6.518,1.067,-5.0,4.713,3.939,-1.029,-3.0,6.178,3.119,-2.0,-2.0,-3.0,-4.0,9.88,-1.79,-5.0,4.114,-3.0,-6.0,3.978,-1.0,0.591,-4.0,-1.047,2.296,4.427,23.743,-5.0,-3.0,-2.0,0.385,1.105,-4.0,-1.0,-3.0,-6.0,6.775,2.048,-2.0,1.929,-2.0,-3.0,-2.0,-0.003,-1.007,0.303,-2.0,1.981,7.293,-3.0,3.155,1.04,-1.0,8.225,4.875,7.783,-4.0,1.941,-5.0,2.356,-5.0,1.612,1.079,-3.0,-0.956,5.502,0.0,103.818,-2.0,4.055,-4.0,6.043,1.671,0.093,-2.0,3.52,-6.0,-3.0,1.098,0.506,-3.0,-3.0,-0.727,2.95,-4.0,6.042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GoldS210,XAUUSDc,35,84.4293,126.644,4,3.5597,77.67,376,20.7447,1,9,200,0.015,1.4,3.0,0.0,0.5,15,1,28.275,18,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.488,-3.0,-2.0,-4.0,-4.0,7.162,1.986,0.0,-3.0,-4.0,8.309,-0.999,2.64,-3.0,-2.0,5.733,1.467,-1.0,7.118,-3.0,-3.0,-3.0,0.521,-4.0,5.381,-4.0,-2.0,0.559,6.051,4.063,-5.0,4.997,3.954,-1.029,-3.0,6.65,2.823,-2.0,1.139,-3.0,-4.0,6.352,-3.153,-5.0,3.747,-2.0,-6.0,3.981,-1.0,0.579,-4.0,-1.047,2.204,4.372,0.021,-5.0,-3.0,-2.0,-4.0,1.848,-4.0,-1.0,-3.0,2.843,2.576,1.009,-2.0,1.955,-3.0,-3.0,-2.0,-0.003,-1.007,0.351,-2.0,1.437,6.942,-3.0,3.293,1.04,-1.0,8.116,4.904,7.775,-4.0,1.941,-5.0,2.464,-5.0,7.207,1.078,-2.0,-0.952,5.624,0.0,102.56,-2.0,4.072,-4.0,6.002,1.602,0.093,-2.0,3.801,-6.0,-3.0,0.969,0.108,-3.0,-3.0,6.771,3.708,-4.0,5.448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
